,Title,Total,Price,Location
0,Car Charger Colokan Mobil 2 Ports QC3.0 3.1A JOYSEUS Qualcomm Black White - JM0001 JM0002,10RB+ Terjual,Rp39.900,KOTA JAKARTA UTARA
1,Baseus Car Charger 30w Type-C Pd+Usb Quick Charge 3.0,"9,7RB Terjual",Rp89.000,KOTA TANGERANG
2,Charger Mobil Aukey CC-Q1 Enduro Duo Series USB-A - 501245,"1,6RB Terjual",Rp65.000,KOTA JAKARTA BARAT
3,USAMS C21 Charger Mobil FM Modulator Bluetooth Digital Display 3.4A 15W Fast Charge,"9,2RB Terjual",Rp99.000,KOTA TANGERANG
4,Charger Mobil Aukey CC-Y11 with PD + QC 3.0 - 500918,"2,8RB Terjual",Rp132.900,KOTA JAKARTA BARAT
5,AMINO AM-C01 Car Charger Fast Charger 3 Port USB QC 3.0 Type C Output Saver Mobil Lampu,10RB+ Terjual,Rp32.000,KOTA JAKARTA BARAT
6,Car Charger Baseus Charger Mobil Quick Charge USB TYPE C 40W,82 Terjual,Rp49.900,KOTA JAKARTA UTARA
7,ROBOT RT-C07 Car Charger Colokan Mobil - 2 Port USB - Free Kabel Micro USB - Garansi Resmi 1 Tahun,10RB+ Terjual,Rp42.900,KOTA JAKARTA UTARA
8,Acome Car Charger 2 Port Fast Charging 3.4A Garansi Resmi 1 tahun ACC03,10RB+ Terjual,Rp36.900,KOTA JAKARTA UTARA
9,ROBOT RT-C08 Car Charger Colokan Mobil - 3 Port USB & Type C - Garansi Resmi 1 Tahun,"4,7RB Terjual",Rp62.900,KOTA JAKARTA UTARA
10,ROBOT RT-C06 Car Charger Colokan Mobil - 2 Port USB - Garansi Resmi 1 Tahun,10RB+ Terjual,Rp39.900,KOTA JAKARTA UTARA
11,Ugreen Adapter Charger Mobil USB Tipe-C Fast Charging 20W QC3.0 Untuk iPhone 14 13 pro Max 13 / 12 / 11 / XS / XS Max / XR / X / 8 / 7 plus / 8 plus,"2,3RB Terjual",Rp193.330,Luar Negeri
12,Xiaomi Official Mi 37W Pengisi Daya Mobil Port Ganda Indikator LED Moonlight Pengisian Daya Cepat,"3,5RB Terjual",Rp104.900,KOTA JAKARTA UTARA
13,ACMIC CC02 Dual USB 2.4A Car Charger Fast Charging 24 Watt,"1,8RB Terjual",Rp59.000,KOTA TANGERANG
14,Acome Car Charger 2 Port Fast Charging 2.4A LED Display Garansi Resmi 1 tahun ACC05,"1,1RB Terjual",Rp36.900,KOTA JAKARTA UTARA
15,Baseus Dual USB Car Charger FM Transmitter Modulator MP3 Player,"4,2RB Terjual",Rp139.000,KOTA TANGERANG
16,Xiaomi Mi 37W Dual-Port Car Charger,99 Terjual,Rp109.000,KAB. TANGERANG
17,Car Charger VIVAN CC02C 3.4A Dual USB Smart IC Quick Charging Mobil Original Garansi Resmi 1 Tahun,"4,3RB Terjual",Rp66.900,KOTA JAKARTA UTARA
18,AUXOM Car Charger Fast Charging 3 Port USB QC 3.0 TYPE C Output LED Lampu Charger Mobil,205 Terjual,Rp29.000,KOTA JAKARTA PUSAT
19,Brooklyn Car Charger PD20W Quick Charge 3.0 BK-CC1,190 Terjual,Rp79.000,KOTA JAKARTA BARAT
20,JOYSEUS Car Charger Colokan Mobil Mini 2 USB/ 3 USB/ 4 USB Fast Charging QC3.0,"3,3RB Terjual",Rp84.900,KOTA JAKARTA UTARA
21,Car Charger Free Kabel Micro Colokan Mobil 2 Ports 2.4A DAP Black Grey – D-CC2,"4,7RB Terjual",Rp28.000,KOTA JAKARTA BARAT
22,ROBOT RT-C06 Car Charger Colokan Mobil - 2 Port USB - Garansi Resmi 1 Tahun,17 Terjual,Rp43.900,KOTA JAKARTA UTARA
23,"Car Charger DAP D-CCP5 , 38w Type-C Pd+Usb Quick Charge 3.0 . Original - Garansi Resmi 1 Tahun",144 Terjual,Rp63.584,KOTA JAKARTA BARAT
24,Car Charger Aukey Expedition Duo Series CC-Y16 USB-C - 501260,251 Terjual,Rp239.000,KOTA JAKARTA BARAT
25,ROBOT RT-C08 Car Charger Colokan Mobil - 3 Port USB & Type C - Garansi Resmi 1 Tahun,229 Terjual,Rp57.960,KOTA BEKASI
26,BESTOOL Car Charger Adapter Socket Colokan Mobil 4 Ports QC3.0+2.4A+3.1A USB Quick Charge QC3.0 1.7 Meter Extension Cable,349 Terjual,Rp68.500,KAB. TANGERANG
27,Choetech TC0008 Car Charger Mobil 40W 20W Dual USB Type C PD QC,17 Terjual,Rp79.000,KOTA JAKARTA UTARA
28,Baseus - Charger Mobil - Circular Plastic 30W Type-C Quick charger 4.0 Car Charger,59 Terjual,Rp89.500,KOTA SURABAYA
29,Taffware Power Car Inverter 150W 220V AC EU Plug 5V USB Charger T150W,24 Terjual,Rp144.800,KOTA JAKARTA BARAT
30,Car Charger DAP 2 Port Usb Quick Charge 2.4 – D-CC1 1 Pcs,1RB Terjual,Rp17.250,KOTA JAKARTA BARAT
31,Car Charger Colokan Mobil 3 Ports QC3.0 3.1A Qualcomm Black White,339 Terjual,Rp20.805,KOTA JAKARTA BARAT
32,Baseus Dual USB Car Charger FM Transmitter Modulator MP3 Player,"7,2RB Terjual",Rp139.000,KOTA TANGERANG
33,CHARGER USB HONDA (ORIGINAL),"1,1RB Terjual",Rp30.000,KOTA TANGERANG
34,REMAX Single USB & Type-c 2.4A Car Charger RCC306,491 Terjual,Rp37.800,KOTA JAKARTA UTARA
35,Car Charger V-GeN VCC4-02 Fast Charging QC3.0 Charger Mobil VGEN,48 Terjual,Rp113.000,KOTA DEPOK
36,DAP Car Charger 20w Type-C Pd+Usb Quick Charge 3.0 – D-CCP4N,"2,7RB Terjual",Rp56.000,KOTA JAKARTA BARAT
37,Car Charger Colokan Charger Mobil 2 Ports 3.1A 12V-24V Output,10RB+ Terjual,Rp14.400,KOTA JAKARTA PUSAT
38,Mobil Charger HP 4 Port USB 2 Port USB HP Car Charger Super Fast Charging 3.1A Qualcomm QC3.0 8A 4 in 1,639 Terjual,Rp39.000,KAB. TANGERANG
39,Baseus Car Charger GRAIN PRO 2 Dual USB Port Ouput 4.8A Adapter Saver Casan Mobil Adaptor Ori Original,7 Terjual,Rp70.000,KAB. TANGERANG
