,Title,Total,Price,Location
0,Coretech Unofan Cooling Pad Kipas Fan Pendingin Laptop Portable,"9,8RB Terjual",Rp69.900,KOTA TANGERANG
1,Cooling Pad Laptop 5 Kipas TAFFWARE ICE FAN - K5,421 Terjual,Rp179.000,KOTA BEKASI
2,Memo DL05 Fancooler Pendingin Hp Gaming Cooler RGB For Mobile Phone,10RB+ Terjual,Rp198.000,KOTA JAKARTA BARAT
3,UNEED Laptop Stand Holder with Cooling Fan Aluminium Alloy - ULS902,147 Terjual,Rp309.380,KOTA JAKARTA PUSAT
4,Rokeet Cooling Pad Kipas Fan Pendingin Laptop Portable Cooler Pad Laptop Komputer,"1,6RB Terjual",Rp57.900,KOTA JAKARTA UTARA
5,Rexus Cooling Pad / Coolingpad Breeze B150 5 Fan With RGB,868 Terjual,Rp309.000,KOTA JAKARTA UTARA
6,Cooling Pad MC Laptop 6 Fan / Silent Noise/ Notebook Cooling Bracket,538 Terjual,Rp116.000,KOTA JAKARTA PUSAT
7,"Cooling Pad Laptop 6 Fan Adjustable Ergostand 17"" Dual Port USB HUB CLIPtec RZC180",601 Terjual,Rp145.000,KOTA JAKARTA PUSAT
8,Cooling Pad Laptop Kipas Fan Pendingin Laptop Portable 6 Fan LED Silent Noise,"4,3RB Terjual",Rp159.000,KOTA JAKARTA SELATAN
9,Cooling Pad Laptop 2 Fan - Fixed dan Adjustable Speed - Taffware Q100,7RB Terjual,Rp95.800,KOTA TANGERANG
10,NYK Nemesis Cooling Pad X4 STORMBREAKER,"1,2RB Terjual",Rp140.000,KOTA JAKARTA PUSAT
11,(BISA COD) Taffware Cooling Pad Laptop Adjustable Stand 2 Kipas 140mm - N99,"2,4RB Terjual",Rp92.299,KOTA JAKARTA BARAT
12,Soru Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,92 Terjual,Rp149.000,KOTA BANDUNG
13,NETPAC X20 Fan Cooler Radiator Adjust Gear Pendingin Hp Kipas Hp Coolingfan Gaming Funcooler Radiator,"2,1RB Terjual",Rp89.900,KAB. TANGERANG
14,JERTECH Coolerpad Laptop Gaming KL331 Kipas Pendingin Laptop Tornado 5 Fan Tidak Licin,239 Terjual,Rp123.900,KAB. TANGERANG
15,NYK Nemesis Cooling Pad X8 ARTEMIS,"1,7RB Terjual",Rp340.000,KOTA JAKARTA PUSAT
16,"Cooling Pad Exclusive Notebook Adjustable Ergostand 14"" CLIPtec RZC170","1,4RB Terjual",Rp77.000,KOTA JAKARTA PUSAT
17,Cooling Fan Pad Cooler Kipas Alat Pendingin Radiator Hp Gaming Game Xiomi Iphone Oppo Redmi Android,"4,2RB Terjual",Rp34.500,KOTA JAKARTA BARAT
18,Goto Coretech Penta-Fan Cooling Pad Kipas Fan Pendingin Laptop Portable,275 Terjual,Rp219.900,KOTA TANGERANG
19,Cooling Pad Laptop Gaming Laptop 6 Fan LED Silent Noise - Coolingpad / Kipas laptop gaming / Pendingin Laptop / Kipas Laptop / Stand Laptop / Coolingpad Laptop,"7,5RB Terjual",Rp170.000,KOTA JAKARTA UTARA
20,Coretech Twinfan Cooling Pad Kipas Fan Pendingin Laptop Portable,10RB+ Terjual,Rp119.900,KOTA TANGERANG
21,NYK Nemesis Cooling Pad Winterstorm X-3,"1,1RB Terjual",Rp160.000,KOTA JAKARTA PUSAT
22,MINISO Laptop Cooling Stand with Lights and Fan,3 Terjual,Rp92.900,KOTA JAKARTA UTARA
23,Taffware Cooling Pad Laptop Adjustable Stand 2 Kipas 140mm - N99,119 Terjual,Rp105.800,KOTA JAKARTA BARAT
24,AKACC COOLING FAN X13 RADIATOR / KIPAS PENDINGIN HP GAMING / COOLER ANTI PANAS,"3,1RB Terjual",Rp15.500,KAB. TANGERANG
25,TaffGO Smartphone Cooling Fan Kipas Pendingin Radiator Heat Sink - H-15 - Black,49 Terjual,Rp38.800,KOTA JAKARTA BARAT
26,Legendary Heatsink Aluminium Pad Pendingin HP,377 Terjual,Rp30.500,KOTA JAKARTA BARAT
27,Cooling Pad Laptop 6 Fan K6 dan 5 Fan K5 - Pendingin Laptop - ICE COOREL K6 K5,"2,6RB Terjual",Rp189.900,KOTA TANGERANG
28,PENDINGIN HP COOLING FAN HANDPHONE AH101 ORIGINAL - PHONE FAN COOLER HP GAMING ROG ORI RONDAFUL,2RB Terjual,Rp37.400,KOTA JAKARTA BARAT
29,NETPAC Fancooler X18 Radiator Pendingin HP Magnet Fan Cooler Cooling Fan HP,146 Terjual,Rp125.900,KAB. TANGERANG
30,Coolingpad Pendingin Kipas Laptop Portable Aluminium 2 Fan Adjustable Height Aksesoris Desktop Termurah Berkualitas,6RB Terjual,Rp110.000,KOTA JAKARTA UTARA
31,Laptop 6 Kipas Biru Silent Cooler Kipas Pendingin Laptop Cooling Pad,159 Terjual,Rp139.000,KOTA JAKARTA SELATAN
32,JERTECH Coolerpad Laptop Gaming Pendingin Laptop 2 Kipas KL-330,281 Terjual,Rp82.000,KAB. TANGERANG
33,MINI COOLING FAN DC 3CM - 12CM 3010 4010 4020 5012 6010 6015 6025 7015 8025 9025 12025 12V 1A Dc CPU include connector 2 PIN,"3,4RB Terjual",Rp15.925,KOTA JAKARTA BARAT
34,TaffGO Smartphone Cooling Fan Kipas Pendingin Radiator Heat Sink - H-15 - Silver,25 Terjual,Rp32.800,KOTA JAKARTA BARAT
35,Cooling Pad Laptop 6 Fan - Pendingin Laptop 6 Kipas - Taffware Q3,"2,1RB Terjual",Rp112.900,KOTA TANGERANG
36,Cooling Pad NYK X5 KINGFISHER Coolingpad Gaming 6 Kipas/Kipas Laptop Gaming 6 Fan,"1,4RB Terjual",Rp255.000,KAB. TANGERANG
37,GAMEN Gaming Fancooler Radiator Coolingfan Smartphone Siberia II Black Garansi Resmi 1 tahun,269 Terjual,Rp178.888,KOTA JAKARTA UTARA
38,MINI COOLING FAN DC 3010 4010 4020 5012 6010 6015 6025 7015 8025 9025 12025 3CM - 12CM 12V CPU include connector 2 PIN,"8,4RB Terjual",Rp17.500,KOTA JAKARTA BARAT
39,COOLING PAD LED RGB LAPTOP BY MC GAMING Q3 6 FAN SILENT SUPER DINGIN,117 Terjual,Rp112.500,KOTA JAKARTA BARAT
40,Cooling Pad Notebook RGB 6 Fans Adjustable Ergostand Dual Port CLIPtec RZC190,89 Terjual,Rp280.000,KOTA JAKARTA PUSAT
41,{ZEN1} COOLING PAD HP GAMEPAD / GAMING SMARTPHONE MOBILE RADIATOR X3 COOLER / KIPAS PENDINGIN HANDPHONE FAN HOLDER,"1,4RB Terjual",Rp15.888,KOTA TANGERANG
42,KIPAS PENDINGIN LAPTOP 1 BIG FAN / COOLING PAD 1 KIPAS BESAR M-TECH,"4,3RB Terjual",Rp33.900,KOTA JAKARTA BARAT
43,Taffware MC Gaming Cooling Pad Laptop 6 Fan - Q3,19 Terjual,Rp132.800,KOTA JAKARTA BARAT
44,Cooling Fan USB Kipas Pendingin TV Box Wifi Router AQUASCAPE AQUARIUM,"1,1RB Terjual",Rp39.500,KOTA BEKASI
45,NETPAC Fancooler X3B Fan Cooler Radiator Pendingin Hp Cooling Fan Gaming,336 Terjual,Rp105.000,KAB. TANGERANG
46,Cooling Pad Fan X13 Radiator Kipas Pendingin Hp Gaming,"1,7RB Terjual",Rp15.000,KOTA JAKARTA PUSAT
