,Title,Total,Price,Location
0,Jovitech TWS Wireless Earphone Earbuds In Ear Headset Bluetooth 5.0 Dengan Mikrofon HIFI Stereo 9D With 3000 mAh Powerbank - F9,10RB+ Terjual,Rp79.900,KOTA JAKARTA BARAT
1,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD - Black,"2,7RB Terjual",Rp184.900,KOTA JAKARTA BARAT
2,Nokia E3103 ENC True Wireless Earphones TWS Less Latency HD - White,380 Terjual,Rp288.900,KOTA JAKARTA BARAT
3,Baseus Bowie E3 True Wireless Bluetooth Earphone Earbuds,10RB+ Terjual,Rp299.000,KOTA TANGERANG
4,Thinkplus Lenovo LP40 True Wireless Bluetooth Earphone Mini Earbuds TWS,10RB+ Terjual,Rp169.000,KOTA TANGERANG
5,[NEW PRODUCT] TWS Earphone Anker Soundcore R50i - A3949,"3,8RB Terjual",Rp199.000,KOTA JAKARTA UTARA
6,MINIBEST Headset Bluetooth inpods 12 TWS Macaron Earphone True Wireless Stereo HIFI Sentuh Earbud i12 MB-555,10RB+ Terjual,Rp39.900,KOTA JAKARTA BARAT
7,Xiaomi Official Redmi Buds Essential Bluetooth® 5.2 IPX4 Suara Superior Baterai Hingga 18 jam Koneksi Mudah,"9,6RB Terjual",Rp199.000,KOTA JAKARTA UTARA
8,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD - White,"1,2RB Terjual",Rp184.900,KOTA JAKARTA BARAT
9,Nokia E3100 Plus True Wireless Earbuds Bluetooth Earphone TWS HD,"6,8RB Terjual",Rp198.900,KOTA JAKARTA BARAT
10,MINIBEST TWS MB Pods-M4 Wireless Charging Spatial Audio Feature Better Sound + More Features ️‍FREE CASE,573 Terjual,Rp146.895,KOTA JAKARTA BARAT
11,JBL C150SI In-Ear Earphone cable with Mic - Garansi Resmi,10RB+ Terjual,Rp99.000,KOTA JAKARTA UTARA
12,[NEW PRODUCT] TWS Earbuds Anker Soundcore A20i - A3948,385 Terjual,Rp199.000,KOTA JAKARTA UTARA
13,"Acome Headset Earphone Bluetooth TWS5.3 ENC Call Noise Reduction 3,5 Gram Ultra Light - Garansi Resmi 1 Tahun Quietpods Q1","3,1RB Terjual",Rp149.900,KOTA JAKARTA UTARA
14,MINIBEST TWS MB-Pods Pro M5 [2nd Generation with H2 CHIP] IPX4 Wireless Earphone Bluetooth 5.3 Active Noise Cancellation,"3,2RB Terjual",Rp175.000,KOTA JAKARTA BARAT
15,Baseus H17 Headset Handsfree Encok Jack 3.5mm Wired Earphone MIC,"8,5RB Terjual",Rp89.000,KOTA TANGERANG
16,ROBOT Earphone Wireless / Mini Earbuds / Earbud / True Wireless Stereo / TWS Bluetooth 5.1 T50 Waterproof IPX4 Semi-In-Ear Original - Garansi Resmi 1 Tahun,"6,4RB Terjual",Rp279.900,KOTA JAKARTA UTARA
17,SoundPEATS TrueFree 2 True Wireless Earbuds - Black,10RB+ Terjual,Rp359.000,KOTA JAKARTA PUSAT
18,Lenovo thinkplus LP40 True Wireless Bluetooth Earphone Mini Earbuds TWS Noise Reduction Headset,10RB+ Terjual,Rp141.550,KAB. TANGERANG
