,Title,Total,Price,Location
0,UNEED 7 in 1 Multifunction Pen Cleaner for Earbud Smartphone Keyboard,"1,2RB Terjual",Rp109.450,KOTA JAKARTA PUSAT
1,HP OPPO F9 PRO ram 6/64GB & 6/128GB Kapasitas Tinggi + Dual Kamera HD Android smartphone murah garansi,513 Terjual,Rp833.680,KAB. TANGERANG
2,promo Office 2021 Mac Original Resmi - Office 2021 Home Business Bind Email - Lifetime,278 Terjual,Rp588.000,KOTA JAKARTA PUSAT
3,Uneed Universal Capacitive Stylus Pen With Clip Android Apple Windows - USY105,80 Terjual,Rp214.020,KOTA JAKARTA PUSAT
4,Hp OPO Reno 8 Pro 5G 8/256GB 12/512GB Layar 7 inch Full screen 24+48MP FHD Kamera 4G LTE 5G WIFI Bagus jaringan hp murah android dibawah 1 juta termurah 900 ribuan baru Smartphone Reno8 Dual SIM Gaming Phone ram besar cuci gudang Handphone 700rb 800ribu,403 Terjual,Rp899.900,KOTA JAKARTA BARAT
5,KGMN Gadget Bag Tas Handphone Pouch Powerbank Travel Organizer Stylish Waterproof,940 Terjual,Rp49.900,KOTA JAKARTA BARAT
6,realme narzo 50A Prime 4GB+64GB [5000mAh Massive Battery | 18W Quick Charge | Powerful Unisoc T612 Processor],10RB+ Terjual,Rp1.799.000,KOTA JAKARTA UTARA
7,Xiaomi Official Redmi Note 12 (4GB/128GB) | (6GB/128GB) | (8GB/128GB) 50MP Triple Kamera 120Hz AMOLED NFC IP53 ROM 128GB,"9,1RB Terjual",Rp2.999.000,KOTA JAKARTA UTARA
8,Cooling Fan Pad Cooler Kipas Alat Pendingin Radiator Hp Gaming Game Xiomi Iphone Oppo Redmi Android,"4,2RB Terjual",Rp34.500,KOTA JAKARTA BARAT
9,COPPER Tas Gadget Powerbank Waterproof / Travel Organizer Large,"2,8RB Terjual",Rp59.900,KOTA JAKARTA BARAT
10,realme C55 6GB+6GB* | 128GB (64MP AI Camera | Up to 12GB Dynamic RAM | 33W SUPERVOOC Charge | 5000mAh Battery | 7.89mm Ultra Slim | G88 Chipset),"1,9RB Terjual",Rp2.499.000,KOTA JAKARTA UTARA
11,Hp realme 10 4+128GB 8+128GB 8+256GB Handphone (Helio G99 Chipset | 90Hz Super AMOLED Display | 7.95mm Ultra-slim | 5000mAh Battery | 50MP Color AI Camera | Up to 1TB External Memory) Smartphone,"1,8RB Terjual",Rp3.599.000,KAB. TANGERANG
