,Title,Total,Price,Location
0,"Xiaomi 12X 5G [ QualcommSnapdragon 870 ] 6.28', 8GB+128GB/8GB+256GB/12GB+256GB Garansi sinyal permanen Second Like New Original 100%",253 Terjual,Rp7.650.000,KOTA JAKARTA BARAT
1,INFINIX HOT 12 PLAY NFC 4GB 64GB 4/128GB GARANSI RESMI INFINIX,1 Terjual,Rp1.881.000,KAB. TANGERANG
2,handphone vivo V15 ram8 256GB 6.53-inch hp smartphone 100% baru original,4RB Terjual,Rp1.250.000,KOTA JAKARTA UTARA
3,"[ONLINE EXCLUSIVE] vivo iQOO Z7 (8/128) | (12/256) - SDM 782G, 120W FlashCharge + 5000mAh, 64MP OIS",46 Terjual,Rp4.899.000,KAB. TANGERANG
4,OPPO A15S RAM 6GB INTERNAL 128GB GARANSI 1 TAHUN,425 Terjual,Rp860.000,KOTA JAKARTA TIMUR
5,"TECNO POP 5 LTE [3GB + 32GB, 6.5"" HD+, 5000 mAh, Finger Print Social Turbo, Garansi 12+1 Bulan]",465 Terjual,Rp999.000,KOTA JAKARTA UTARA
6,Evercoss U6 Xtream 1 Plus,892 Terjual,Rp499.000,KOTA JAKARTA UTARA
7,Samsung Galaxy A04e 3/32GB - Light Blue,"8,2RB Terjual",Rp1.299.000,KOTA JAKARTA UTARA
8,"Xiaomi Official Redmi 10 2022 (4/64GB) Helio G88 50MP AI Quad Kamera Layar FHD+ 6,5"" 90Hz 5000mAh",10RB+ Terjual,Rp1.849.000,KOTA JAKARTA UTARA
9,Xiaomi Official Redmi Note 12 (4GB/128GB) | (6GB/128GB) | (8GB/128GB) 50MP Triple Kamera 120Hz AMOLED NFC IP53 ROM 128GB,"9,1RB Terjual",Rp2.999.000,KOTA JAKARTA UTARA
10,"Xiaomi Official Redmi A1 (2+2GB/32GB | 3+2GB/32GB) Total RAM hingga 5GB 8MP AI Dual Kamera Layar HD+ 6,52"" 5000mAh",10RB+ Terjual,Rp1.099.000,KOTA JAKARTA UTARA
11,"[NEW ARRIVAL] vivo Y1s 2GB / 32GB - MT6765, 6,22"" Ultra All Screen, 4030mAh","3,7RB Terjual",Rp1.099.000,KAB. TANGERANG
12,"Xiaomi Official Redmi 12C (3GB/32GB) | (4GB/64GB) | (4GB/128GB) MediaTek Helio G85 50MP AI Dual Kamera Layar HD+ 6,71"" 5000mAh","5,1RB Terjual",Rp1.799.000,KOTA JAKARTA UTARA
13,realme C55 6GB+6GB* | 128GB (64MP AI Camera | Up to 12GB Dynamic RAM | 33W SUPERVOOC Charge | 5000mAh Battery | 7.89mm Ultra Slim | G88 Chipset),"1,9RB Terjual",Rp2.499.000,KOTA JAKARTA UTARA
14,Advan Nasa Pro 2GB/32GB Garansi Resmi Original,"1,1RB Terjual",Rp881.000,KOTA BANDUNG
15,Evercoss Xtream 2 S45B,505 Terjual,Rp439.000,KOTA JAKARTA UTARA
16,Samsung Galaxy A04e 3/32GB - Black,10RB+ Terjual,Rp1.299.000,KOTA JAKARTA UTARA
17,Realme narzo 50i Prime 4+64GB / 3+32GB Powerful Octa-core Processor | 5000mAh Massive Battery | 6.5'' Fullscreen | 8.5mm Ultra Slim | 8MP AI Camera),344 Terjual,Rp1.450.000,KOTA JAKARTA TIMUR
18,Era 2000-Xiaomi Redmi A1 Garansi Resmi,53 Terjual,Rp1.049.000,KOTA BANDUNG
19,Nokia 150 (2020) – Cyan,"3,6RB Terjual",Rp435.000,KAB. TANGERANG
20,"OPPO A16 3GB/32GB [13MP Triple Camera, HD+ Eye-care Display, 5000mAh]",10RB+ Terjual,Rp1.499.000,KOTA TANGERANG
21,"[NEW ARRIVAL] vivo Y16 (4/128) - 5000mAh + USB Type-C, RAM 4GB+4GB Extended, ROM 128GB, Ultra Fast Side Fingerprint",74 Terjual,Rp1.999.000,KAB. TANGERANG
22,"Xiaomi Official Redmi 10A (3/32GB) Kamera Ganda 13MP 5000mAh Layar Dot Drop 6,53"" HD+ Prosesor Octa-core",10RB+ Terjual,Rp1.399.000,KOTA JAKARTA UTARA
23,"OPPO A55 4GB/64GB [50MP AI Camera, 16MP Selfie Camera, 5000mAh Battery, 18W Fast Charge, IPX4 Splash Waterproof]","8,9RB Terjual",Rp1.899.000,KOTA TANGERANG
24,realme narzo 50A Prime 4GB+128GB [5000mAh Massive Battery | 18W Quick Charge | Powerful Unisoc T612 Processor],10RB+ Terjual,Rp1.999.000,KOTA JAKARTA UTARA
25,"TECNO SPARK 10 – 4+4GB*+128GB, 50MP+AI Main Rear with Dual LED Flash + 8MP Front Camera, Helio G37, 6,56” HD+ 90Hz, 5000mAh + 18watt + Type C, Android 13, Garansi 12+1",Rp1.699.000,10,KOTA JAKARTA UTARA
26,realme narzo 50A Prime 4GB+64GB [5000mAh Massive Battery | 18W Quick Charge | Powerful Unisoc T612 Processor],10RB+ Terjual,Rp1.799.000,KOTA JAKARTA UTARA
27,"[FLASH SALE] vivo Y1s 2GB / 32GB - MT6765, 6,22"" Ultra All Screen, 4030mAh",75 Terjual,Rp1.099.000,KAB. TANGERANG
28,"[DISKON 700RB] vivo Y33T/ Y33s - ROM128GB , 50MP Night Camera, 5000mAh+18W Fastcharge","9,8RB Terjual",Rp2.699.000,KAB. TANGERANG
29,Infinix Smart 7 3/64GB + 4/64GB Garansi Resmi,881 Terjual,Rp1.249.000,KOTA JAKARTA BARAT
30,"Xiaomi Official Redmi 10 2022 (6/128GB) Helio G88 50MP AI Quad Kamera Layar FHD+ 6,5"" 90Hz 5000mAh",10RB+ Terjual,Rp2.199.000,KOTA JAKARTA UTARA
31,"[NEW!] OPPO A17 4GB/64GB [50MP AI Camera, 5000mAh Long-lasting Battery, Premium Leather-feel Design]",10RB+ Terjual,Rp1.999.000,KOTA TANGERANG
32,"OPPO A16 4GB/64GB [13MP Triple Camera, HD+ Eye-care Display, 5000mAh]",10RB+ Terjual,Rp1.699.000,KOTA TANGERANG
33,EVERCOSS Xtream 1 S45 4.5 Inchi Android 7 Nougat Dual SIM 4G RAM 1GB ROM 8GB,"1,2RB Terjual",Rp399.000,KOTA JAKARTA UTARA
34,Samsung Galaxy A04e 3/32GB - Copper,"6,6RB Terjual",Rp1.299.000,KOTA JAKARTA UTARA
35,"EVERCOSS M60 2GB/16GB Dual SIM 4G 5.7"" IPS HD+ 8MP + AF + Flash Dual Camera Android 10 Go 3000 mAh","1,4RB Terjual",Rp739.000,KOTA JAKARTA UTARA
36,Infinix Hot 20i Ram 4/128gb-4/64gb (Extended Ram 4gb+3gb) Garansi Resmi,492 Terjual,Rp1.425.000,KOTA JAKARTA TIMUR
37,realme C30s 4GB+4GB* | 64GB (5000mAh Massive Battery | 6.5'' Fullscreen | Powerful Octa Core Processor | 8.5mm Ultra Slim | 8MP AI Camera),173 Terjual,Rp1.599.000,KOTA JAKARTA UTARA
38,Handphone VIV0 V27e RAM (8/256GB) 5000mah Baru ori gan hp murah,87 Terjual,Rp1.220.000,KOTA BEKASI
39,Hp A31 Ram 6GB Internal 128GB Garansi 1 Tahun,"3,5RB Terjual",Rp930.000,KOTA JAKARTA UTARA
40,"Xiaomi Official Redmi 10C (4/128GB) Snapdragon® 680 50MP AI Super Kamera Layar Dot Drop 6,71"" 5000mAh",10RB+ Terjual,Rp1.899.000,KOTA JAKARTA UTARA
41,HP realme C55 6+128GB | 8+256GB Headphone ( 33W SUPERVOOC Charge | 64MP AI Camera | Helio G88 Chipset | 90Hz FHD+ | 5000mAh Battery | Multi-functional NFC) Smartphone,"1,3RB Terjual",Rp2.499.000,KAB. TANGERANG
42,"Xiaomi Official POCO M4 Pro (6/128GB) Helio G96 64MP Triple Kamera Layar Super AMOLED FHD+ 6,43"" 90Hz 5000mAh NFC","1,2RB Terjual",Rp2.799.000,KOTA JAKARTA UTARA
43,Hp realme 10 4+128GB 8+128GB 8+256GB Handphone (Helio G99 Chipset | 90Hz Super AMOLED Display | 7.95mm Ultra-slim | 5000mAh Battery | 50MP Color AI Camera | Up to 1TB External Memory) Smartphone,"1,8RB Terjual",Rp3.599.000,KAB. TANGERANG
44,"Xiaomi Official POCO X5 5G (6GB+5GB/128GB) | (8GB+5GB/256GB) Snapdragon 695 5G Layar 120Hz AMOLED 6,67"" 5000mAh 33W 48MP AI Triple Kamera NFC",332 Terjual,Rp3.949.000,KOTA JAKARTA UTARA
45,Infinix Hot 20S 8/128GB – Up to 13GB Extended RAM – Helio G96 - 6.78” 120Hz FHD+ Display – 5000 mAh,"7,5RB Terjual",Rp2.349.000,KOTA JAKARTA UTARA
46,Realme C55 RAM 6/128GB & 8/256GB - Garansi Resmi Realme Indonesia,154 Terjual,Rp2.868.000,KOTA JAKARTA BARAT
47,Nokia C31 | 4/64 GB | Android 12 | Kamera 13MP | Mint,209 Terjual,Rp1.398.000,KAB. TANGERANG
48,Samsung Galaxy M23 5G 6/128GB - Light Blue,10RB+ Terjual,Rp3.309.000,KOTA JAKARTA UTARA
49,realme C55 8GB+8GB* | 256GB (64MP AI Camera | Up to 16GB Dynamic RAM | 33W SUPERVOOC Charge | 5000mAh Battery | 7.89mm Ultra Slim | G88 Chipset),KOTA JAKARTA UTARA,Rp2.999.000,Produk Serupa
50,Nokia 105 (2022) - Charcoal,"1,7RB Terjual",Rp250.000,KAB. TANGERANG
51,realme 10 8+128GB (Helio G99 Chipset | 90Hz Super AMOLED Display | 7.95mm Ultra-slim | 5000mAh Battery | 50MP Color AI Camera | Up to 1TB External Memory),997 Terjual,Rp3.199.000,KOTA JAKARTA UTARA
52,"Infinix Note 12 2023 8/128GB - Up to 13GB Extended RAM - Helio G99 - 6.7"" Amoled FHD+ - 5000 mAh - Hard Gyroscope - NFC","1,8RB Terjual",Rp2.599.000,KOTA JAKARTA UTARA
53,Samsung Galaxy M23 5G 6/128GB - Deep Green,10RB+ Terjual,Rp3.309.000,KOTA JAKARTA UTARA
54,"[FREE Enco Buds2] OPPO Reno8 T 4G 8GB/256GB [100MP Portrait Camera, 33W SuperVOOC 5000mAh, Fiberglass-Leather]","1,5RB Terjual",Rp4.899.000,KOTA TANGERANG
55,"vivo iQOO Z7x (8/128) | (8/256) - 80 watt + 6000 mAH, Snapdragon 695, 5 Layer Liquid Cooling System","1,6RB Terjual",Rp3.699.000,KAB. TANGERANG
56,Hp Realmi 10 Pro Plus layar 7.5 inch Waterdrop IPS HD full screen ram 8gb 256GB 128GB 512GB hpmurah ram besar cuci gudang cod 32+48MP Smartphone terbaru 2023 hp android dibawah 1 juta 4g 5g handphone promo termurah di bawah 500 Phone 700 ribuan original,32 Terjual,Rp695.000,KAB. TANGERANG
57,Samsung Galaxy A03 Core - Onyx,"3,6RB Terjual",Rp1.129.000,KOTA SURABAYA
58,【COD】HP VIV0 Y30s Ram 16GB/512GB Smartphone Android 12.0 5G 7.5 inches Dual SIM 24MP+48MP Handphone terbaru asli murah Phone gaming Ponsel nfc promosi gudang,23 Terjual,Rp699.000,KAB. TANGERANG
59,OPPO F9 RAM 6GB/128GB-GARANSI 12 BULAN,"2,3RB Terjual",Rp748.000,KAB. TANGERANG
