,Title,Total,Price,Location
0,ZOLA OPEN EAR TWS AIR BONE CONDUCTION HEADPHONE EARPHONE BLUETOOTH 5.1,162 Terjual,Rp245.900,KOTA JAKARTA PUSAT
1,Shokz Openrun Wireless Bone Conduction Headphone - Aftershokz Open Run,135 Terjual,Rp2.199.000,KOTA JAKARTA BARAT
2,LED Color Light Cute Cat Ear Headphone with Mic B39M Foldable Wireless Headphones Bluetooth Earphone HiFi Stereo Headset Bluetooth Headset Gaming No Delay Henset Bloetooth,"9,9RB Terjual",Rp109.900,KOTA JAKARTA TIMUR
3,Nakamichi OP-SP801 Open Ear Wireless Earphone HD IPX4 Earphone TWS HD,215 Terjual,Rp169.000,KOTA JAKARTA BARAT
4,Shokz Openmove Wireless Bone Conduction Headphone Aftershokz Open Move,97 Terjual,Rp1.299.000,KOTA JAKARTA BARAT
5,Fingertime Wireless Headphone Bone Conduction Bluetooth Earphone Open Ear K69,"3,8RB Terjual",Rp69.900,KOTA TANGERANG
6,Fingertime Wireless Headphone Air Bone Conduction Bluetooth Earphone Open Ear BL09,75 Terjual,Rp99.900,KOTA TANGERANG
7,Lighthundred Open Ear headset Earphone Bluetooth 5.0 Air Conduction USA Technology,670 Terjual,Rp52.250,KOTA TANGERANG
8,Remax Open Ear Bluetooth 5.0 Wireless Air-Transmitting Sport RB-S32,"1,1RB Terjual",Rp199.000,KOTA JAKARTA PUSAT
9,Open Ear Earphone Bluetooth 5.0 Air Conduction USA Technology,"7,3RB Terjual",Rp88.499,KOTA BEKASI
10,New Upgrade VG02 VG03 VG05 Open Ear Headset Bluetooth Sport Air Conduction,40 Terjual,Rp95.000,KAB. TANGERANG
11,Open Ear Earphone Bluetooth 5.2 Air Conduction USA Technology Earphone Headset Bluetooth 5.2 Tahan Air Headset In-ear Stereo Konduksi Tulang/headset stereo/audio/ear/headphone,99 Terjual,Rp60.000,KOTA JAKARTA BARAT
12,Fingertime Wireless Headphone Air Bone Conduction Bluetooth Earphone Open Ear Digital Display BL13E,26 Terjual,Rp129.900,KOTA TANGERANG
