,Title,Total,Price,Location
0,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD - Black,"2,7RB Terjual",Rp184.900,KOTA JAKARTA BARAT
1,Jovitech TWS Wireless Earphone Earbuds In Ear Headset Bluetooth 5.0 Dengan Mikrofon HIFI Stereo 9D With 3000 mAh Powerbank - F9,10RB+ Terjual,Rp79.900,KOTA JAKARTA BARAT
2,Thinkplus Lenovo TH10 Headphone Bluetooth Wireless Headset Earphone 5.0,10RB+ Terjual,Rp209.000,KOTA TANGERANG
3,Baseus Encok WM01 True Wireless Bluetooth Earphone Mini Earbuds TWS,10RB+ Terjual,Rp289.000,KOTA TANGERANG
4,Baseus Bowie E3 True Wireless Bluetooth Earphone Earbuds,10RB+ Terjual,Rp299.000,KOTA TANGERANG
5,MINIBEST Headset Bluetooth inpods 12 TWS Macaron Earphone True Wireless Stereo HIFI Sentuh Earbud i12 MB-555,10RB+ Terjual,Rp39.900,KOTA JAKARTA BARAT
6,Xiaomi Official Redmi Buds Essential Bluetooth® 5.2 IPX4 Suara Superior Baterai Hingga 18 jam Koneksi Mudah,"9,6RB Terjual",Rp199.000,KOTA JAKARTA UTARA
7,ROBOT Earphone Wireless / Mini Earbuds / Earbud / True Wireless Stereo / TWS Bluetooth 5.1 T50 Waterproof IPX4 Semi-In-Ear Original - Garansi Resmi 1 Tahun,"6,4RB Terjual",Rp279.900,KOTA JAKARTA UTARA
8,Nokia E3100 Plus True Wireless Earbuds Bluetooth Earphone TWS HD,"6,8RB Terjual",Rp198.900,KOTA JAKARTA BARAT
9,Lenovo thinkplus LP40 True Wireless Bluetooth Earphone Mini Earbuds TWS Noise Reduction Headset,10RB+ Terjual,Rp141.550,KAB. TANGERANG
10,Minibest Headset Bluetooth Inpods I12 & I13 PRO Earphone Bluetooth Wireless Android MB-555,10RB+ Terjual,Rp55.900,KOTA JAKARTA BARAT
11,❤❤NEW HEADSET BLUETOOTH TWS INPODS I12 MACARON EARPHONE BLUETOOTH 5.0 WARNA MACARON,10RB+ Terjual,Rp34.999,KOTA JAKARTA BARAT
12,[NEW PRODUCT] TWS Earphone Anker Soundcore R50i - A3949,"3,8RB Terjual",Rp199.000,KOTA JAKARTA UTARA
13,TWS Handsfree Headset Earphone Bluetooth Wireless Inpods,10RB+ Terjual,Rp27.300,KOTA JAKARTA PUSAT
14,OLIKE TRUE WIRELESS BLUETOOTH EARPHONE EARBUDS TWS EJ1,10RB+ Terjual,Rp91.000,KAB. TANGERANG
