,Title,Total,Price,Location
0,ROBOT Kabel Data RTM/RTL100/RTC Type C Micro USB Lighting 1M Data Cable Original,"6,4RB Terjual",Rp37.900,KOTA JAKARTA UTARA
1,Kivee Kabel Data kabel Lightning charger Fast Charging Kompatibel untuk ios 6 7 8 X XS XR 11 Pro Max,10RB+ Terjual,Rp18.900,KOTA JAKARTA UTARA
2,Kivee Kabel Data 5A Android Micro USB Fast Charging 15W/18W/22.5W Xiaomi Vivo Oppo,10RB+ Terjual,Rp17.200,KOTA JAKARTA UTARA
3,LENTIVEN 120W kabel data Fast Charging Micro usb Type-C Cable FOR iPhone ios usb Android Cable Data,"2,4RB Terjual",Rp35.000,KAB. TANGERANG
4,MOCHO 120W 6A Super Fast Charge Type C Kabel Silikon Cair Pengisian Super Cepat/Kabel Data Micro USB Charger Untuk Android & Iphone Zinc USB Line,871 Terjual,Rp29.000,KOTA JAKARTA UTARA
5,【12 BULAN GARANSI】UGREEN Original 1M QC 3.0 Kabel Data Micro USB Fast Charging Kable For Android,10RB+ Terjual,Rp22.785,KOTA JAKARTA UTARA
6,Ugreen Kabel Data / Charger USB Tipe C 3A QC3.0 Fast Charging Bahan Nilon Kepang,10RB+ Terjual,Rp55.573,KOTA JAKARTA UTARA
7,Acome Kabel Data Gaming iPhone Fast Charging 2.4A AWL,"2,4RB Terjual",Rp37.500,KOTA TANGERANG SELATAN
8,"ACOME Gaming Cable Data Fast Charging Kabel Data Micro USB, Type C, Lightning QC3.0 2.4 A Garansi 1 Thn Seri AW",10RB+ Terjual,Rp33.900,KOTA JAKARTA UTARA
9,AMINO Micro USB Cable Universal Android Kabel Data Fast Charging Speed 2.4A Untuk MI VIVO SAMSUNG OPPO REALME,10RB+ Terjual,Rp11.900,KOTA JAKARTA BARAT
10,VIVAN Kabel Data Lightning Kabel Fast Charging Gaming Siku 2.4A - 1M - Garansi 1 Tahun - BWL100S,10RB+ Terjual,Rp34.900,KOTA JAKARTA UTARA
11,ROBOT Kabel Data RSM/RSM100/RSL Type C Micro USB Lighting 1M Data Cable Original,10RB+ Terjual,Rp40.900,KOTA JAKARTA UTARA
12,ACOME Kabel Data Type-C 100cm Fast Charging 5A LED Display Garansi Resmi 1 Tahun AIC100,"1,7RB Terjual",Rp60.900,KOTA JAKARTA UTARA
13,VIVAN Kabel Type C Kabel Data Fast Charging 3A Gaming Siku Panjang 1M - Garansi 1 Tahun - BWC100S,10RB+ Terjual,Rp34.900,KOTA JAKARTA UTARA
14,vivo Original USB Data Cable 2A Micro USB,10RB+ Terjual,Rp39.000,KAB. TANGERANG
15,ACOME Bundling Hemat Charger 20W PD USB-C (AC07) + Kabel Data Type-C / Lightning Fast Charging (AD-C Series) Original - Garansi 1 Tahun,"1,3RB Terjual",Rp84.900,KOTA JAKARTA UTARA
16,Minibest Kabe Data Lightning Fast Charging For Lightning High Quality DC001,468 Terjual,Rp24.900,KOTA JAKARTA BARAT
17,Ugreen Kabel Data / Charger Fast Charging 3A Micro USB to USB Panjang,10RB+ Terjual,Rp71.900,KOTA JAKARTA UTARA
18,Ugreen Kabel Data / Charger USB Tipe C Ke Ligtning MFi Untuk iPhone 14 13 pro Max 13 / 12 / 11 / XS / XR / X / 8 / 7 plus,"8,9RB Terjual",Rp177.219,KOTA JAKARTA UTARA
19,ACOME Gaming Cable Data iPhone Fast Charging Kabel Data iPhone 2.4 A Garansi 1 Thn AWL,"3,7RB Terjual",Rp36.300,KOTA JAKARTA UTARA
20,Acome Data Cable Micro-USB Type C Lightning Original Fast Charging 2.4A 100cm Garansi Resmi 1 Tahun Seri AD,10RB+ Terjual,Rp12.900,KOTA JAKARTA UTARA
21,AMINO Kabel Data 4A Micro USB / 4A TYPE C Fast charging Cable QC 3.0 Quick Charge Ori For xiaomi redmi oppo vivo huawei,10RB+ Terjual,Rp19.800,KOTA JAKARTA BARAT
22,【Stok Produk di Indonesia】Ugreen Kabel Data / Charger Micro USB 3A Fast Charging Bahan Nilon Untuk Samsung / Xiaomi / HTC,8RB Terjual,Rp77.000,KOTA JAKARTA UTARA
23,ACOME Charger QC3.0 AiC Fast Charging (AC01) Free Kabel Data Micro USB Type-C iPhone (AD Series) Original,85 Terjual,Rp56.900,KOTA JAKARTA UTARA
24,Ugreen Kabel Data / Charger USB 2.4A Fast Charging Untuk iPhone 13 / 12 / 11 / XS Max / XR / X / 7 / 8 plus,"3,3RB Terjual",Rp137.026,KOTA JAKARTA UTARA
25,OPPO USB Cable DL129 Type C VOOC Flash Charge - OPPO Official Accessories,"1,4RB Terjual",Rp79.000,KOTA TANGERANG
26,Kivee Kabel Data Iphone kabel charge iphone Fast Charging 2.4A for ios 5 6 7 8 10 Iphone X,"3,4RB Terjual",Rp6.450,KOTA JAKARTA UTARA
27,ROBOT Kabel Data RBM100S Android Micro USB 1M Data Cable Original - Garansi Resmi 1 Tahun (Warna Dikirim Random),10RB+ Terjual,Rp8.900,KOTA JAKARTA UTARA
28,Vention Kabel Data Micro Usb 3A Fast Charging Quick Charge,"5,3RB Terjual",Rp59.220,KOTA JAKARTA BARAT
29,Ugreen PD Kabel Data / Charger USB Tipe-C 60W QC4.0 3.0 Fast Charging Untuk,"7,7RB Terjual",Rp86.308,Luar Negeri
30,IPHONE [Apple Mfi Bersertifikat ][ Gratis Ongkir] KUULAA 1meter MFi Lightning Cable Handphone Fast Charging USB Charger Cable Untuk Iphone13 12 Mini8 7 6 Plus 5kabel USB Charge Kabel Telepon,"1,1RB Terjual",Rp48.333,Luar Negeri
31,Car Charger Baseus Charger Mobil Quick Charge USB TYPE C 40W,82 Terjual,Rp49.900,KOTA JAKARTA UTARA
32,Baseus Kabel Data Micro Cafule Cable For Micro Quick Charge 2.4a 1m,10RB+ Terjual,Rp59.000,KOTA TANGERANG
33,KIVEE Kabel Data charger 20W Type C to L 18W Quick Charger Kompatibel untuk 13 8 Plus X Xs Xs Max 11 12 Pro Max,595 Terjual,Rp34.500,KOTA JAKARTA UTARA
34,Kabel Data Fast Charging Micro USB VIVAN Gaming Siku 2.4A 100CM - Garansi Resmi 1 Tahun - BWM100S,10RB+ Terjual,Rp30.900,KOTA JAKARTA UTARA
35,【Stok Produk di Indonesia】Ugreen MFi Kabel Data / Charger USB 2.4A Fast Charging Untuk iPhone 14 13 pro Max 13 / 12 / 11 / XS Max / XR / X / 8 / 8 plus / 7 / 7 plus,"6,5RB Terjual",Rp181.000,KOTA JAKARTA UTARA
36,VEGER Kabel Data Cable VP-20 USB Type C Type-C QC 3.0 Gaming Fast Charging 1200MM Garansi 18 Bulan,621 Terjual,Rp20.000,KOTA JAKARTA UTARA
37,【Stok Produk di Indonesia】Ugreen MFi Kabel Data / Charger USB 2.4A Fast Charging Untuk iPhone 12 Mini / 2.4A / 14 / 13pro Max 13 / 12 / 11 / XS / XS Max / XR / X / 8 / 7plus / 8plus,10RB+ Terjual,Rp159.000,KOTA JAKARTA UTARA
38,ACOME Kabel Data Type-C to USB-C / Type-C to Lightning / Data Cable PD 60W 3A Super Fast Charging iPhone / Macbook / Android (AD-C Series) Original - Garansi 1 Tahun,"2,5RB Terjual",Rp29.900,KOTA JAKARTA UTARA
39,【Stok Produk di Indonesia】(New Arrival) UGREEN Kabel Data / Charger USB Tipe C Ke Lightning MFi Bahan Silikon Panjang 1M Untuk iPhone 14 13 Pro Max 7 8 11 12 13 Pro Max,532 Terjual,Rp178.000,KOTA JAKARTA UTARA
40,BASIKE Kabel Data Fast Charging Lightning cable charger for ios ip 6 7 8 X XS XR 11 Pro Max Mobile Cables Converters,797 Terjual,Rp18.900,KOTA JAKARTA UTARA
41,【Stok Produk di Indonesia】Ugreen Kabel Data / Charger USB Tipe C 20W Untuk iPhone 14 / 13pro Max 13 / 12 / 11 / XS / XR / 7 / 8 + / 7 / X,10RB+ Terjual,Rp167.000,KOTA JAKARTA UTARA
42,ROBOT RBM100S Kabel Data Android Micro USB 1M Data Cable 2A Colorful - Garansi Resmi 1 Tahun,9RB Terjual,Rp15.000,KOTA JAKARTA BARAT
43,ACOME Kabel Data Fast Charging 66W Type-C Micro USB Garansi Resmi 1 Tahun seri AV,"6,8RB Terjual",Rp29.900,KOTA JAKARTA UTARA
44,ACOME Kabel Data Micro USB 1 Meter Cable  AiC Fast Charging Garansi Resmi 1 Tahun Seri AS,10RB+ Terjual,Rp23.900,KOTA JAKARTA UTARA
45,Baseus Kabel Data Iphone Cafule Cable For Lightning,10RB+ Terjual,Rp59.000,KOTA TANGERANG
46,Kabel Charger Aukey CB-CMD39 USB A to C 30 CM NO PACKING & NO WARRANTY,"4,4RB Terjual",Rp29.900,KOTA JAKARTA BARAT
