,Title,Total,Price,Location
0,AMINO 2 Port USB Fast Charger 2.1A Micro USB Quick Charger Adapter MH-22,10RB+ Terjual,Rp24.900,KOTA JAKARTA BARAT
1,GROTIC Charger PD 20W 2.4A Fast Charging Adaptor QC3.0 Type-C Lightning Adapter untuk Iphone 12 X Xs 8 Oppo Xiaomi Phone,10RB+ Terjual,Rp89.000,KAB. TANGERANG
2,UNEED QuickPlug Wall Charger Quick Charge 3.0 Max 18watt – UCH411,10RB+ Terjual,Rp64.500,KOTA JAKARTA PUSAT
3,KIVEE Kepala Charger fast charging 36W 22.5W 20W 18W Charger Adaptor Type C original Universal EU Plug Quick 4.0 Wall Charger Mini Dual Usb,10RB+ Terjual,Rp72.000,KOTA JAKARTA UTARA
4,Baseus Kepala Charger Super Si Quick Charger Type C PD 20W,10RB+ Terjual,Rp159.000,KOTA TANGERANG
5,Robot Adapter Charger RT K4 Batok Charger Garansi Original Resmi ( Per 1pcs ),10RB+ Terjual,Rp10.500,KOTA JAKARTA BARAT
6,ROBOT RT-K4 Adaptor Kepala Travel Charger 5V/1A USB Port Charging Android - Garansi Resmi 1 Tahun,"5,1RB Terjual",Rp12.000,KOTA JAKARTA BARAT
7,ROBOT RT-K6 Travel Charger Adaptor Batok Charger Dual Output 2.4A Original - Garansi Resmi 1 Tahun,"7,2RB Terjual",Rp26.900,KOTA JAKARTA BARAT
8,KIVEE Kepala Charger adapter fast charging 12W 18W 22.5w 5.0A original for xiaomi oppo,"5,4RB Terjual",Rp52.250,KOTA JAKARTA UTARA
9,ROBOT RT-K8 Adaptor Kepala Batok Travel Cherger 10W 2A Singel Output - Garansi Resmi 1 Tahun,"3,7RB Terjual",Rp23.900,KOTA JAKARTA BARAT
10,【Stok Produk di Indonesia】Ugreen Kepala Charger USB 5V 2.1A Fast Charging Untuk iPhone X 8 7 iPad Samsung S9 Xiaomi Mi 8,8RB Terjual,Rp67.896,KOTA JAKARTA UTARA
11,ROBOT RT-K4 1A ORIGINAL / Batok charger ROBOT RT K4,10RB+ Terjual,Rp10.000,KOTA JAKARTA UTARA
12,Adaptor Charger Single USB Port 2A LED Travel Batok Kepala Casan OPPO Xiaomi Redmi Vivo Murah Cas,10RB+ Terjual,Rp3.800,KOTA JAKARTA SELATAN
13,ROBOT Adaptor Charger RT-K8 Batok Charger 10W 2A Small & Portable Garansi Original Resmi (Per 1Pcs),4RB Terjual,Rp20.000,KOTA JAKARTA BARAT
14,GROTIC Charger Adaptor 3A QC3.0 4USB Port Fast Charging Adapter Kepala Charger BK-376,"6,8RB Terjual",Rp55.000,KAB. TANGERANG
15,ACOME Special Bundling Charger AC03 2.4A AiC Fast Charging Free Cable Micro / Type-C / Lightning Seri AS Original - Garansi 1 Tahun,"1,3RB Terjual",Rp57.900,KOTA JAKARTA UTARA
16,Ugreen Kepala Charger USB Fast Charging Untuk Samsung Xiaomi Redmi VIVO OPPO LG ASUS,"2,7RB Terjual",Rp152.190,Luar Negeri
