,Title,Total,Price,Location
0,Lenovo Ideapad Gaming 3i GeForce RTX™ 3050 - i5 12500H 32GB RAM 512GB SSD 100% SRGB,132 Terjual,Rp16.036.000,KOTA JAKARTA UTARA
1,MSI MODERN 14 I5 1155G7 8GB 512SSD IRISXE W11 14.0FHD IPS BLIT 2YR BLK -C11M.004,102 Terjual,Rp8.067.000,KOTA JAKARTA UTARA
2,HP Victus 15 FA0011TX GeForce RTX™ 3050 - i5 12500H 16GB RAM 512GB SSD,23 Terjual,Rp12.923.000,KOTA JAKARTA UTARA
3,Laptop gaming MSI GF63 Intel i5 11400H RAM 32GB SSD 1TB SSD NVIDIA GTX1650 4GB MAX Q DESIGN WINDOWS 11 ORIGINAL Terlaris | Termurah | Berkualitas,2 Terjual,Rp11.199.000,KOTA DEPOK
4,LAPTOP GAMING MURAH BARU MSI GF63 THIN I5 10500H RAM 32GB 512GB GTX 1650 MAX Q DESIGN 15.6 INCH FULL HD 1080 WINDOWS ORIGINAL,8 Terjual,Rp10.999.000,KAB. TANGERANG
5,Lenovo V14 G2 AMD Ryzen 3 5300 8GB 256SSD Non Windows 14.0 inch HD Laptop Gaming Murah,367 Terjual,Rp6.729.000,KOTA JAKARTA UTARA
6,HP VICTUS GAMING 15 FA0116TX GTX1650 4GB/ I5 12500H 8GB 512SSD W11+OHS 15.6FHD IPS 144HZ BLIT 2YR+ADP SLV,50 Terjual,Rp11.962.000,KOTA JAKARTA UTARA
7,Second Macbook Pro Retina 13inch Early 2015 Core i7 3.1GHz Ram 16GB SSD 256 GB,12 Terjual,Rp8.800.000,KOTA JAKARTA PUSAT
8,ASUS VIVOBOOK 14X M1403QA VIPS551 RYZEN 5 5600H 8GB 512SSD VEGA7 W11+OHS 14.0WUXGA IPS BLU,122 Terjual,Rp8.683.000,KOTA JAKARTA UTARA
9,SALE Macbook Pro Non Touchbar 13-inch 2017 Two Thunderbolt 3 port Core i5 2.3ghz - Ram 8GB,32 Terjual,Rp7.885.000,KOTA JAKARTA PUSAT
10,INFINIX X1 PRO I7 1065G7 16GB 512SSD W10 14.0FHD IPS 100SRGB GRN,156 Terjual,Rp7.993.000,KOTA JAKARTA UTARA
11,HP VICTUS GAMING 15 FA0011TX I5 12500H 16GB 512SSD RTX3050 4GB W11+OHS 15.6FHD IPS 144HZ BLIT 2YR+ADP SLV,12 Terjual,Rp12.672.000,KOTA JAKARTA UTARA
