,Title,Total,Price,Location
0,"Cicilan 0% - Laptop HP 14s-dq0510TU/14""/Intel® Celeron® N4120/4 GB/IntelUHDGraphics/256 GB SSD / W11 / OHS/Promo Ter Murah",4RB Terjual,Rp4.799.000,KOTA JAKARTA UTARA
1,"Cicilan 0% - HP 15s-fq2705TU Laptop/15.6""/Intel® Core™ i3-1115G4/4 GB/Intel® UHD Graphics/512 GB/Promo Ter Murah",186 Terjual,Rp6.199.000,KOTA JAKARTA UTARA
2,"Cicilan 0% - HP Laptop 14s-fq0591AU Laptop/14""/AMD Ryzen™ 3 3250U/4 GB / 8 GB/AMD Radeon™ Graphics/256 GB/Promo Ter Murah",447 Terjual,Rp5.899.000,KOTA JAKARTA UTARA
3,MSI MODERN 14 I5 1155G7 8GB 512SSD IRISXE W11 14.0FHD IPS BLIT 2YR BLK -C11M.004,102 Terjual,Rp8.067.000,KOTA JAKARTA UTARA
4,"Cicilan 0% - HP Laptop 14s-fq0562AU Natural silver Laptop Kosumer (671P2PA) /14""/AMD Athlon™ Silver 3050U/4 GB/AMD Radeon™ Graphics/512 GBSSD/W11/Promo Ter Murah (Gratis Wireless Mouse)",916 Terjual,Rp5.249.000,KOTA JAKARTA UTARA
5,"HP 11 CHROMEBOOK / N4020 / 4GB / 160GB / 11.6""HD LAPTOP PELAJAR TERMURAH NEW ORIGINAL",5RB Terjual,Rp2.750.000,KOTA JAKARTA UTARA
6,SALE Macbook Pro Non Touchbar 13-inch 2017 Two Thunderbolt 3 port Core i5 2.3ghz - Ram 8GB,32 Terjual,Rp7.885.000,KOTA JAKARTA PUSAT
7,[BEST DEAL EVER] HUAWEI MateBook D 15 i3-1115G4 8+256GB SSD / Win11 laptop/ Wi-Fi 6/ Sleek Metal Body / Super Device,855 Terjual,Rp6.699.000,KOTA JAKARTA SELATAN
8,Lenovo V14 G2 AMD Ryzen 3 5300 8GB 256SSD Non Windows 14.0 inch HD Laptop Gaming Murah,367 Terjual,Rp6.729.000,KOTA JAKARTA UTARA
9,HP 11 CHROMEBOOK G8 - INTEL N4020 RAM 4GB 32GB/160GB 11.6 INCHI HD CHROME OS,597 Terjual,Rp2.665.000,KOTA JAKARTA UTARA
10,Second Macbook Pro Retina 13inch Early 2015 Core i7 3.1GHz Ram 16GB SSD 256 GB,12 Terjual,Rp8.800.000,KOTA JAKARTA PUSAT
11,Lenovo Ideapad Slim 3i Core i3-1115G4 8GB 512SSD Windows 11 OHS Full HD 14 inch FQID J2ID Laptop 14ITL6,948 Terjual,Rp7.344.000,KOTA JAKARTA UTARA
12,ASUS VIVOBOOK 14X M1403QA VIPS551 RYZEN 5 5600H 8GB 512SSD VEGA7 W11+OHS 14.0WUXGA IPS BLU,122 Terjual,Rp8.683.000,KOTA JAKARTA UTARA
13,ASUS A416MAO HD424 N4020 4GB 256SSD W10+OHS 14.0 BLIT GRY,30 Terjual,Rp4.582.000,KOTA JAKARTA UTARA
14,LAPTOP AXIOO SLIMBOOK 14A N4020 RAM 6GB 128GB SSD DOS 14.0 GRY -21YANRM8S,100 Terjual,Rp2.999.000,KOTA JAKARTA UTARA
15,ASUS VivoBook A416MAO-FHD425 - Transparent Silver [Intel® Celeron® N4020 / Intel® UHD Graphics 600 / 4GB / 256GB / 14inch / WIN11 / OHS],103 Terjual,Rp4.599.000,KOTA JAKARTA TIMUR
16,Lenovo V14 G2 ITL i3 1115G4 8GB 512SSD Windows 11 + Office Home Student 14.0 HD HFID Laptop,145 Terjual,Rp7.436.000,KOTA JAKARTA UTARA
17,PROMO LAPTOP super slim laptop samsung chromebook n3060 Ram 4gb SSD 32gb,72 Terjual,Rp1.100.000,KOTA JAKARTA PUSAT
18,Laptop Chromebook Second ORI Normal Lancar Muluss,76 Terjual,Rp1.100.000,KOTA JAKARTA PUSAT
19,"(NEW) HP 11 CHROMEBOOK / N4020 / 4GB / 160GB / 11.6""HD LAPTOP PELAJAR TERMURAH NEW ORIGINAL GARANSI RESMI",320 Terjual,Rp2.750.000,KOTA JAKARTA UTARA
20,INFINIX X1 PRO I7 1065G7 16GB 512SSD W10 14.0FHD IPS 100SRGB GRN,156 Terjual,Rp7.993.000,KOTA JAKARTA UTARA
21,"MSI Modern 14 C11M | i3-1115G4 | 256GB - 512GB SSD | 8GB | UHD Graphics | 14"" | Win11Home | 2 Years",118 Terjual,Rp6.499.000,KOTA JAKARTA BARAT
22,Laptop Lenovo Thinkpad X1 Carbon Core i7 Gen 8 - 16GB - SSD 256GB - Full HD IPS murah berkualitas,11 Terjual,Rp7.350.000,KOTA JAKARTA BARAT
23,Lenovo V14 Gen 3 IAP Core i3 1215U 8GB 256SSD 14 Inch Non-Windows Laptop Gaming Murah CBID,354 Terjual,Rp6.929.000,KOTA JAKARTA UTARA
24,[Voucher s/d 5%] HUAWEI MateBook D 15 i3 Laptop [i3/8GB/256GB SSD] | Layar IPS FullView 15.6 inci | Huawei Share | Battery Life & Fast Charge | Notebook [Promo Spesial],395 Terjual,Rp6.699.000,KOTA JAKARTA SELATAN
25,Lenovo Ideapad Slim 1 Ryzen 3 7320 8GB 512SSD Windows 11 OHS 14 FHD Laptop 14AAM7,253 Terjual,Rp6.865.000,KOTA JAKARTA UTARA
26,Lenovo Ideapad Slim 3i Intel N4020 4GB RAM 512GB SSD Windows 11 OHS 14 Inch HD Laptop,"1,2RB Terjual",Rp4.683.000,KOTA JAKARTA UTARA
27,ASUS VIVOBOOK 14X M1403QA RYZEN 5 5600H 16GB 512SSD W11+OHS 14.0 WUXGA - BLUE / SILVER,472 Terjual,Rp9.429.000,KOTA JAKARTA UTARA
28,HP 14S DQ2614TU I3 1115G4 8GB 512SSD W11+OHS 14.0FHD IPS BLIT 2YR SLV,79 Terjual,Rp6.451.000,KOTA JAKARTA UTARA
29,MSI MODERN 14 I5 1155G7 16GB 512SSD IRISXE W11 14.0FHD IPS 100SRGB BLIT 2YR BLK -C11M.054,9 Terjual,Rp9.175.000,KOTA JAKARTA UTARA
30,ASUS VIVOBOOK FLIP TP1400KA HD421 2IN1 TOUCH N4500 4GB 256SSD W11+OHS 14.0 BLU,117 Terjual,Rp9.999.000,KOTA JAKARTA UTARA
31,MSI MODERN 14 I3 1115G4 8GB 512SSD W11 14.0FHD IPS BLIT 2YR BLK -C11M.005,216 Terjual,Rp6.943.000,KOTA JAKARTA UTARA
32,ASUS VIVOBOOK 14 A1400EA FHD7524 PENTIUM GOLD 7505 8GB 256SSD W11+OHS 14.0FHD FP BLIT BLK,42 Terjual,Rp5.953.000,KOTA JAKARTA UTARA
33,Cicilan 0% - Laptop HP 14s-dq2614TU 14 inch / Intel Core i3-1115G4 / Intel UHD Graphics / 4GB RAM / 512GB SSD / Gratis Tas & OHS 2021 - Garansi 2 Tahun,341 Terjual,Rp7.599.000,KOTA JAKARTA UTARA
34,LAPTOP EZBOOK X3 CELERON 8GB 512SSSD W10 13.3FHD GREY,96 Terjual,Rp3.478.000,KOTA JAKARTA UTARA
35,"HP 11 CHROMEBOOK / N4020 / 4GB / 32GB / 11.6""HD LAPTOP PELAJAR TERMURAH",2RB Terjual,Rp2.750.000,KOTA JAKARTA UTARA
36,HP 14S FQ1032AU RYZEN 3 5300 8GB 512SSD VEGA6 W10+OHS 14.0FHD IPS BLIT 2YR SLV,91 Terjual,Rp6.865.000,KOTA JAKARTA UTARA
37,Samsung Chromebook 4 - 4GB Ram / 32GB / 160GB - 11.6 inch - Garansi Resmi SEIN,"2,3RB Terjual",Rp2.130.000,KOTA JAKARTA BARAT
38,MSI Modern 14 C11M (9S7-14J312-059) [Intel Core i5-1155G7/8GB/512GB SSD/14″ FHD IPS/Win 11 Home/Classic Black],Rp7.999.000 - Rp8.439.000,MSI Modern 14 C11M (9S7-14J312-059) [Intel Core i5-1155G7/8GB/512GB SSD/14″ FHD IPS/Win 11 Home/Classic Black],KOTA JAKARTA TIMUR
39,Lenovo Ideapad Slim 1 AMD Athlon Silver 3050 8GB RAM 256SSD Windows 11 + OHS 14 inch Laptop Gaming Office Home Student Murah,"1,6RB Terjual",Rp5.845.000,KOTA JAKARTA UTARA
40,HP VICTUS GAMING 15 FA0116TX GTX1650 4GB/ I5 12500H 8GB 512SSD W11+OHS 15.6FHD IPS 144HZ BLIT 2YR+ADP SLV,50 Terjual,Rp11.962.000,KOTA JAKARTA UTARA
41,ASUS A416MAO FHD425 N4020 8GB 256SSD W11+OHS 14.0FHD,56 Terjual,Rp5.185.000,KOTA JAKARTA UTARA
42,MSI MODERN 14 RYZEN 5 5625U 16GB 512SSD VEGA7 W11 14.0FHD IPS BLIT 2YR BLK -C5M.006,28 Terjual,Rp7.720.000,KOTA JAKARTA UTARA
43,ASUS VIVOBOOK 14 M415DAO FHD321 RYZEN 3 3250 8GB 256SSD VEGA3 W11+OHS 14.0FHD GRY,18 Terjual,Rp6.448.000,KOTA JAKARTA UTARA
44,HUAWEI MateBook D 14 i5-1135G7 8GB/512GB SSD/ Win11 laptop/Sleek Metal Body/ 14inch FHD Ultrabook/56Wh /2 years warranty,337 Terjual,Rp8.299.000,KOTA JAKARTA SELATAN
45,ASUS M415DAO FHD352 RYZEN 3 3250 8GB/16GB 512SSD VEGA3 W11+OHS 14.0FHD SLV,569 Terjual,Rp7.124.000,KOTA JAKARTA UTARA
46,HP VICTUS GAMING 15 FA0011TX I5 12500H 16GB 512SSD RTX3050 4GB W11+OHS 15.6FHD IPS 144HZ BLIT 2YR+ADP SLV,12 Terjual,Rp12.672.000,KOTA JAKARTA UTARA
47,Lenovo V14 Gen 3 Core I3-1215u 4GB 256GB SSD 14 inch Full HD CBID Laptop Gaming Murah,17 Terjual,Rp6.555.000,KOTA JAKARTA UTARA
48,(FREE WIRELESS SPEAKER ) ACER LAPTOP ASPIRE 3 A314-36M-36NA (12TH GEN) 14HD INTEL i3-N305 RAM 8G 512G SSD,23 Terjual,Rp6.799.000,KOTA JAKARTA TIMUR
49,MSI MODERN 14 I7 1195G7 8GB 512SSD IRISXE W11 14.0FHD IPS BLIT 2YR BLK -C11M.003,KOTA JAKARTA UTARA,Rp10.286.000,Produk Serupa
50,Laptop Xiaomi RedmiBook 15 FHD intel i3 1115G4 Windows 10 RAM 8/256GB Garansi resmi Free Tas laptop + Mouse / laptop kekinian / laptop murah,22 Terjual,Rp4.825.000,KOTA JAKARTA BARAT
51,OBRAL..MEC PRO RETINA 13 IN 2017.RAM 8.SSD 128.CORE I5 .MULUSS,34 Terjual,Rp7.999.990,KOTA JAKARTA BARAT
52,AXIOO SLIMBOOK 13 S1 N4020 6GB 256SSD W10PRO 13.3WQXGA 2.5K GRY,115 Terjual,Rp3.418.000,KOTA JAKARTA UTARA
53,XIAOMI REDMIBOOK 15 8GB 256GB i3 8/256 GB Laptop Redmi Book Garansi,54 Terjual,Rp4.949.000,KOTA JAKARTA BARAT
54,HP Laptop 15s-fq2705TU i3 - 1115G4 UMA 4GB 512GB W11 15.6 IPS 250 Silver OHS 2021 + bag (74Y84PA),55 Terjual,Rp7.049.000,KOTA JAKARTA UTARA
55,Lenovo Ideapad Gaming 3i GeForce RTX™ 3050 - i5 12500H 32GB RAM 512GB SSD 100% SRGB,132 Terjual,Rp16.036.000,KOTA JAKARTA UTARA
56,LAPTOP HP 14S DQ5001TU / I5 1235U / 8GB 512SSD / IRISXE / W11+OHS / 14.0FHD IPS FP BLIT / 2YR,26 Terjual,Rp9.524.000,KOTA JAKARTA UTARA
57,LAPTOP AXIOO MYBOOK Z10 METAL i5 1235U 8GB 256SSD W11 14FHD,12 Terjual,Rp8.167.000,KOTA JAKARTA UTARA
58,Lenovo Ideapad Slim 3i 14 i3 1115G4 8GB 512SSD W11+OHS 14.0FHD BLIT -J1ID,5 Terjual,Rp6.695.000,KOTA JAKARTA UTARA
59,LENOVO IDEAPAD SLIM 3i 14 N4020 4GB 256SSD W11+OHS 14.0 2YR PREM GRY -A4ID,750 Terjual,Rp4.983.000,KOTA JAKARTA UTARA
