,Title,Total,Price,Location
0,MIni PC Mac Mini M2 Pro 2023 512GB RAM 16GB 16-Core GPU MacMini M 2,3 Terjual,Rp23.688.000,KOTA JAKARTA PUSAT
1,IPASON Office MINI Pc Desktop Computer Intel N5095 256G SSD 8GB RAM Office MINI Pc Desktop Computer,10 Terjual,Rp2.963.999,KOTA JAKARTA BARAT
2,Parallels Desktop 18 / 17 | Mac - M1 - M2 Parallel,500 Terjual,Rp85.000,KOTA BANDUNG
3,MSI Cubi N JSL Kit or Barebone - Intel Celeron N4500 Dual Core Mini PC,Rp2.315.000 - Rp2.919.000,MSI Cubi N JSL Kit or Barebone - Intel Celeron N4500 Dual Core Mini PC,KOTA SEMARANG
4,Orderan Pesanan Penyewaan Software C.H.E.A.T PC,Rp15.000 - Rp105.000,Penyewaan,KAB. KARAWANG
5,Mini PC Acer Veriton N281G intel Atom D245 Ram 4GB HDD 320GB,47 Terjual,Rp700.000,KAB. BEKASI
6,Mini PC Acer Veriton N2620G,238 Terjual,Rp1.350.000,KAB. BEKASI
7,Mini PC Beelink GK35 8/128GB Intel Quadcore J4105 Dual HDMI WIFI Windows 10,168 Terjual,Rp2.250.000,KOTA JAKARTA BARAT
8,PC LENOVO ThinkCentre M910s Core i5-7600|Skylike DDR4,41 Terjual,Rp2.250.000,KAB. SLEMAN
9,Mini PC Lenovo DDR3 HDMI,134 Terjual,Rp1.520.000,KAB. BEKASI
10,Intel Nuc Mini Pc NUC7CJYH Kit Barebone - Intel Celeron Quadcore J4005,31 Terjual,Rp2.723.000,KOTA JAKARTA PUSAT
11,Mini PC HP T620 Ram 4GB DDR3 SSD,273 Terjual,Rp1.275.000,KAB. BEKASI
12,Mini PC Beelink T4 Pro Intel Apollo Lake N3350 4/64GB Dual HDMI 4K WiFi Windows 10,158 Terjual,Rp1.550.000,KOTA JAKARTA BARAT
13,Mini PC HP DDR3 Wifi,157 Terjual,Rp795.000,KAB. BEKASI
14,MINI PC DELL CORE I7 RAM 8GB SLIM HEMAT TEMPAT,26 Terjual,Rp2.750.000,KAB. SUKOHARJO
15,PC Mini HP T5740 Ram 4 GB DDR 3 Hardisk 250 GB Siap Pakai Win 7,14 Terjual,Rp600.000,KOTA TANGERANG SELATAN
16,Mini PC HP RAM 8GB WIFI HEMAT TEMPAT HEMAT LISTRIK ANTI LEMOT HDMI SIMPLE,108 Terjual,Rp1.450.000,KAB. SUKOHARJO
17,Komputer Mini PC Core i3 i5 Gen 6,26 Terjual,Rp2.600.000,KAB. BEKASI
18,Mini PC Acer Veriton DDR3,185 Terjual,Rp965.000,KAB. BEKASI
19,Mini Pc Beelink GK35 8/256GB SSD Intel Quad J4105 Dual HDMI Windows 10 Dual Display,80 Terjual,Rp2.400.000,KOTA JAKARTA PUSAT
20,Paket Alat Mining Crypto Bitcoin Murah - Mini Pc dari STB - Dipandu sampai bisa,141 Terjual,Rp1.769.999,KAB. BLORA
21,PROMO PC MINI T 510 RAM 2 GB DDR 3 HDD 120 GB WIN 7 SIAP PAKAI,22 Terjual,Rp599.000,KOTA TANGERANG SELATAN
22,Mini PC HP 4GB DDR3,428 Terjual,Rp675.000,KAB. BEKASI
23,Mini PC NUC Celeron Ram 4GB,72 Terjual,Rp1.695.000,KAB. BEKASI
24,Mini PC Z83V Windows 10 64bit Intel X5 Z8350 64GB Dual VGA+HDMI Dual Wifi 2.4/5.8ghz Vesa mount,265 Terjual,Rp1.699.000,KOTA JAKARTA BARAT
25,Mini PC GK3 Pro / GK3V Pro 16+512GB SSD Intel Celeron N5105 UHD Graphics Windows 11 Pro,14 Terjual,Rp3.000.000,KOTA JAKARTA PUSAT
26,HDMI to AV RCA Converter MINI HDMI2AV MINI BOX HDMI2AV Adapter,478 Terjual,Rp26.990,KOTA TANGERANG SELATAN
27,MINI PC Rakitan core i5 3470 | 8GB | SSD 256GB,10 Terjual,Rp1.815.000,KOTA BANDUNG
28,Mini Pc Beelink SER5 Pro 5800H AMD Ryzen7 32/500GB SSD NVMe Windows 11,7 Terjual,Rp7.199.000,KOTA JAKARTA PUSAT
29,Closure mini 4 core,498 Terjual,Rp13.900,KOTA BEKASI
30,Mini PC Beelink SER3 2023 AMD Ryzen 3200U 8/500GB NVMe Windows 11 Pro,63 Terjual,Rp4.299.000,KOTA JAKARTA BARAT
31,Mini PC Beelink GK35 4/64GB Intel Apollo Lake N3350 Dual HDMI Windows 10 Pro,45 Terjual,Rp1.799.000,KOTA JAKARTA BARAT
32,PC Mini irit Listrik Acer Veriton N2620G ssd 120 gb Ram 4 GB Wireless,27 Terjual,Rp1.000.000,KOTA TANGERANG SELATAN
33,mini pc hp thinclient t630 quad core auto on ddr4,26 Terjual,Rp1.418.000,KOTA JAKARTA BARAT
34,PiPo X2 2023 Mini All in One PC Windows 10 8inch 2/64GB HD Touchscreen WiFi LAN HDMI USB,15 Terjual,Rp2.299.000,KOTA JAKARTA BARAT
35,Mini PC Beelink J34 J3455 8GB Ram 128GB SSD Intel Quadcore Apollo Lake Windows 10 Dual HDMI USB 3.0,40 Terjual,Rp2.350.000,KOTA JAKARTA BARAT
