,Title,Total,Price,Location
0,"PlayStation Store : IDR 300,000 Gift Card - Instant Delivery Digital Code",539 Terjual,Rp333.000,KOTA JAKARTA SELATAN
1,"PlayStation Store : IDR 600,000 Gift Card - Instant Delivery Digital Code",264 Terjual,Rp666.000,KOTA JAKARTA SELATAN
2,"PlayStation Store : IDR 100,000 Gift Card - Instant Delivery Digital Code","1,1RB Terjual",Rp111.000,KOTA JAKARTA SELATAN
3,"PlayStation Store : IDR 400,000 Gift Card - Instant Delivery Digital Code",323 Terjual,Rp444.000,KOTA JAKARTA SELATAN
4,PLAYSTATION 4 PS4 PRO / SLIM / FAT BISA ONLINE 500GB/1TB PES22 FIFA GARANSI MESIN ps4 slim fat pro 500 1 tb fullgame 2022,"1,1RB Terjual",Rp5.999.999,KOTA JAKARTA BARAT
5,PS-2 S0NY Fat HDD 250GB/160GB/120GB - Gratis Garansi 1Tahun,10RB+ Terjual,Rp765.000,KOTA JAKARTA UTARA
6,Ps2 slim paket komplit super murah,"1,8RB Terjual",Rp665.000,KOTA JAKARTA UTARA
7,PLAYSTATION 4 PS4 FAT / SLIM / PRO HDD 500GB / 1TB BONUS FULL GAME 2022 BISA ONLINE,"3,8RB Terjual",Rp6.270.000,KOTA JAKARTA SELATAN
8,GTA. San Andreas. game jadul Playstation 2,10RB+ Terjual,Rp10.388,KAB. OGAN ILIR
9,Sony PlayStation®5 Digital Edition,43 Terjual,Rp7.780.900,KOTA JAKARTA UTARA
10,Playstation Store Turkey / PSN Turki,10RB+ Terjual,Rp1.000,KOTA TANGERANG SELATAN
11,PS3 SLIM CFW 62 Games HDD 120+500GB FULL GAME+ HARGA PROMO BOS,648 Terjual,Rp1.940.000,KOTA JAKARTA BARAT
12,USB4 GARANSI 3 BLN TUKAR UNIT PREMIUM USB4 PS3 FAT 500GB PAKET 2 STIK,135 Terjual,Rp1.515.000,KOTA TANGERANG
13,PS4 PRO/SLIM/FAT BISA ONLINE 500GB/1TB PES22 FIFA GARANSI MESIN ps 4,223 Terjual,Rp4.999.000,KOTA JAKARTA BARAT
14,Sony Playstation 5 Console Disc Version PS5,231 Terjual,Rp9.699.000,KOTA JAKARTA SELATAN
15,Sony PlayStation®5 Garansi Resmi Sony Indonesia,358 Terjual,Rp9.408.900,KOTA JAKARTA UTARA
16,PS4 PRO 1TB + Full Game.Bisa Main ONLINE / OFFLINE,182 Terjual,Rp4.500.000,KOTA JAKARTA BARAT
17,"PS3 ASLI SUPERSLIM SERI 4000 HDD 1500gb(1.5tb), 1000gb(1Tb), 500gb, 320gb, 250gb & 160gb",822 Terjual,Rp2.550.000,KOTA JAKARTA BARAT
18,PS4 Slim 1TB Console Playstation Garansi Resmi Sony Indonesia,6 Terjual,Rp5.199.000,KOTA JAKARTA PUSAT
19,PS3 SUPER SLIM ASLI HFW CFW KUALITAS GRADE A/ HDD/ 1.5TB (1500GB)/ 1TB (1000GB)/ 500GB / 250GB/ 160GB BONUS FULL GAME,472 Terjual,Rp2.750.000,KOTA JAKARTA BARAT
20,"[Ready Stock] X12 Plus 7 "" Game Retro Built-In 1000 + Game Layar 16G Dengan Dual Rocke Joystick Mini Video Player",335 Terjual,Rp629.000,KAB. TANGERANG
21,Gamepad Gaming Wireless Rexus Gladius GX100 Gaming - Joystick,38 Terjual,Rp249.000,KOTA BANDUNG
22,PS2 SLIM 120GB 160GB FULL GAME PAKET KOMPLIT,37 Terjual,Rp720.000,KOTA JAKARTA UTARA
23,Ps3 slim CFW 25xx 500 gb +2 stick full game pes 2023...mantap,212 Terjual,Rp2.125.000,KOTA JAKARTA BARAT
24,"X12 Plus 7 "" Game Retro Built-In 10000 + Game Layar 16G Dengan Dual Rocke Joystick Mini Video Player",156 Terjual,Rp563.350,KOTA JAKARTA BARAT
