,Title,Total,Price,Location
0,Powerbank 20000 mah 10000 mAh Power Bank Fast Charging Murah Mini LCD with Kabel Data Type C Micro USB BASIKE murah Kompatibel untuk xiaomi Samsung Oppo Vivo hp murah Realme Redmi infinix,10RB+ Terjual,Rp199.000,KOTA JAKARTA UTARA
1,Aukey Powerbank PB-N73 Basix Slim Powerbank 10.000mAh - 500489,10RB+ Terjual,Rp179.999,KOTA JAKARTA BARAT
2,PowerBank ROBOT 10000mah RT180 2.1A Dual Input Port Type C & Micro USB Original Fast Charging Real Capacity - Garansi Resmi 1 Tahun,10RB+ Terjual,Rp299.900,KOTA JAKARTA UTARA
3,PowerBank VIVAN 10000mah VPB-M10 18W 3 Output Dual Input Port Type C & Micro USB Original Fast Charging Quick Charging PD 3.0 QC 3.0 Real Capacity - Garansi Resmi 1 Tahun,10RB+ Terjual,Rp201.900,KOTA JAKARTA UTARA
4,KIVEE 5 Warna Powerbank 20000 mAh Real Power Bank 10000 mAh mini original Dual Output Dual Input Tipe C & Micro - Garansi Resmi 1 Tahun,10RB+ Terjual,Rp186.508,KOTA JAKARTA UTARA
5,PowerBank Anker PowerCore 10K mAh - Y1121,"1,4RB Terjual",Rp150.000,KOTA JAKARTA UTARA
6,LENTIVEN powerbank 30000 mAh mini with 4 usb fast charging BH31,"8,2RB Terjual",Rp108.000,KAB. TANGERANG
7,LENTIVEN PowerBank 20000mAh World Cup Piala Donia Fast Charging,"1,7RB Terjual",Rp59.000,KAB. TANGERANG
8,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB Garansi Original Resmi,10RB+ Terjual,Rp115.000,KOTA JAKARTA BARAT
9,Xiaomi Official 22.5W Power Bank 10000mAh Pengisian Cepat 22.5W MAX Triple Port USB-A & Port USB-C Mendukung PD & QC3+,"1,6RB Terjual",Rp249.000,KOTA JAKARTA UTARA
10,PUNING Powerbank 50000mAh 4 Kabel Cute LED Portable Fast Charger,"4,9RB Terjual",Rp175.000,KAB. TANGERANG
11,PowerBank Anker PowerCore Slim 10K PD - A1245,"2,7RB Terjual",Rp299.000,KOTA JAKARTA UTARA
12,ACOME x ROBOT PowerBank 10000mah RT180 2.1A Dual Input Port Type C & Micro USB Original Fast Charging Real Capacity -Garansi 1 Tahun,"7,9RB Terjual",Rp132.900,KOTA JAKARTA UTARA
13,LENTIVEN PowerBank 20000mAh Mini Digital Display Fast Charging,10RB+ Terjual,Rp83.600,KAB. TANGERANG
