,Title,Total,Price,Location
0,"Xiaomi 12X 5G [ QualcommSnapdragon 870 ] 6.28', 8GB+128GB/8GB+256GB/12GB+256GB Garansi sinyal permanen Second Like New Original 100%",253 Terjual,Rp7.650.000,KOTA JAKARTA BARAT
1,OPPO A15S RAM 6GB INTERNAL 128GB GARANSI 1 TAHUN,425 Terjual,Rp860.000,KOTA JAKARTA TIMUR
2,hp handphone ram6 128GB 6.52-inch smartphone diskon s/d 70%,460 Terjual,Rp968.000,KOTA JAKARTA UTARA
3,HP Murah Oppo A53s RAM 8GB/ 256GB 6.52 Inch Baru SmartPhones Handphone,Rp2.050.000,Rp3.958.000,KOTA JAKARTA UTARA
4,HP OPPO Reno2 Z Ram 8/256 GB Original handphone 100% Baru smartphone,"1,3RB Terjual",Rp1.580.000,KOTA JAKARTA UTARA
5,Xiaomi Official Redmi Note 12 (4GB/128GB) | (6GB/128GB) | (8GB/128GB) 50MP Triple Kamera 120Hz AMOLED NFC IP53 ROM 128GB,"9,1RB Terjual",Rp2.999.000,KOTA JAKARTA UTARA
6,"Xiaomi Official Redmi 12C (3GB/32GB) | (4GB/64GB) | (4GB/128GB) MediaTek Helio G85 50MP AI Dual Kamera Layar HD+ 6,71"" 5000mAh","5,1RB Terjual",Rp1.799.000,KOTA JAKARTA UTARA
7,"Xiaomi Official Redmi 10 2022 (4/64GB) Helio G88 50MP AI Quad Kamera Layar FHD+ 6,5"" 90Hz 5000mAh",10RB+ Terjual,Rp1.849.000,KOTA JAKARTA UTARA
8,"Xiaomi Official Redmi A1 (2+2GB/32GB | 3+2GB/32GB) Total RAM hingga 5GB 8MP AI Dual Kamera Layar HD+ 6,52"" 5000mAh",10RB+ Terjual,Rp1.099.000,KOTA JAKARTA UTARA
9,Evercoss U6 Xtream 1 Plus,892 Terjual,Rp499.000,KOTA JAKARTA UTARA
10,"TECNO POP 5 LTE [3GB + 32GB, 6.5"" HD+, 5000 mAh, Finger Print Social Turbo, Garansi 12+1 Bulan]",465 Terjual,Rp999.000,KOTA JAKARTA UTARA
11,Era 2000-Xiaomi Redmi A1 Garansi Resmi,53 Terjual,Rp1.049.000,KOTA BANDUNG
12,Samsung Galaxy A04e 3/32GB - Light Blue,"8,2RB Terjual",Rp1.299.000,KOTA JAKARTA UTARA
13,"Xiaomi Official Redmi 10 2022 (6/128GB) Helio G88 50MP AI Quad Kamera Layar FHD+ 6,5"" 90Hz 5000mAh",10RB+ Terjual,Rp2.199.000,KOTA JAKARTA UTARA
14,Samsung Galaxy A04e 3/32GB - Black,10RB+ Terjual,Rp1.299.000,KOTA JAKARTA UTARA
15,"OPPO A16 3GB/32GB [13MP Triple Camera, HD+ Eye-care Display, 5000mAh]",10RB+ Terjual,Rp1.499.000,KOTA TANGERANG
16,"TECNO SPARK 10 – 4+4GB*+128GB, 50MP+AI Main Rear with Dual LED Flash + 8MP Front Camera, Helio G37, 6,56” HD+ 90Hz, 5000mAh + 18watt + Type C, Android 13, Garansi 12+1",Rp1.699.000,10,KOTA JAKARTA UTARA
17,"Xiaomi Official Redmi 10C (4/128GB) Snapdragon® 680 50MP AI Super Kamera Layar Dot Drop 6,71"" 5000mAh",10RB+ Terjual,Rp1.899.000,KOTA JAKARTA UTARA
18,"[NEW ARRIVAL] vivo Y1s 2GB / 32GB - MT6765, 6,22"" Ultra All Screen, 4030mAh","3,7RB Terjual",Rp1.099.000,KAB. TANGERANG
19,realme C55 6GB+6GB* | 128GB (64MP AI Camera | Up to 12GB Dynamic RAM | 33W SUPERVOOC Charge | 5000mAh Battery | 7.89mm Ultra Slim | G88 Chipset),"1,9RB Terjual",Rp2.499.000,KOTA JAKARTA UTARA
20,Evercoss Xtream 2 S45B,505 Terjual,Rp439.000,KOTA JAKARTA UTARA
21,"Infinix Smart 6 2/32GB – 6.6"" HD+ - 5000mAh - New",7RB Terjual,Rp1.180.000,KOTA JAKARTA UTARA
22,"Xiaomi Official POCO M5 (4/64GB) | (4/128GB) Helio G99 50MP AI Triple Kamera Layar 90Hz FHD+ 6,58” 5000mAh NFC","8,6RB Terjual",Rp2.249.000,KOTA JAKARTA UTARA
23,"Xiaomi Official POCO X5 5G (6GB+5GB/128GB) | (8GB+5GB/256GB) Snapdragon 695 5G Layar 120Hz AMOLED 6,67"" 5000mAh 33W 48MP AI Triple Kamera NFC","4,4RB Terjual",Rp3.949.000,KOTA JAKARTA UTARA
24,"OPPO A16 4GB/64GB [13MP Triple Camera, HD+ Eye-care Display, 5000mAh]",10RB+ Terjual,Rp1.699.000,KOTA TANGERANG
25,"OPPO A55 4GB/64GB [50MP AI Camera, 16MP Selfie Camera, 5000mAh Battery, 18W Fast Charge, IPX4 Splash Waterproof]","8,9RB Terjual",Rp1.899.000,KOTA TANGERANG
26,Infinix Hot 20S 8/128GB – Up to 13GB Extended RAM – Helio G96 - 6.78” 120Hz FHD+ Display – 5000 mAh,"7,5RB Terjual",Rp2.349.000,KOTA JAKARTA UTARA
27,"HP MAXTRON P12i BOMBA -- HP CANDYBAR 2,4"" - HP OUTDOOR - HP GUNUNG - HP MAXTRON P12 BOMBA","1,2RB Terjual",Rp290.000,KOTA JAKARTA BARAT
28,LUNA V6 smartphone android 12 6/128 fingerprint garansi resmi,88 Terjual,Rp1.599.000,KOTA JAKARTA UTARA
29,"Xiaomi Official POCO M4 Pro (6/128GB) Helio G96 64MP Triple Kamera Layar Super AMOLED FHD+ 6,43"" 90Hz 5000mAh NFC",10RB+ Terjual,Rp2.799.000,KOTA JAKARTA UTARA
30,realme 10 8+128GB (Helio G99 Chipset | 90Hz Super AMOLED Display | 7.95mm Ultra-slim | 5000mAh Battery | 50MP Color AI Camera | Up to 1TB External Memory),997 Terjual,Rp3.199.000,KOTA JAKARTA UTARA
31,realme narzo 50A Prime 4GB+64GB [5000mAh Massive Battery | 18W Quick Charge | Powerful Unisoc T612 Processor],10RB+ Terjual,Rp1.799.000,KOTA JAKARTA UTARA
32,Infinix Smart 7 3/64GB + 4/64GB Garansi Resmi,881 Terjual,Rp1.249.000,KOTA JAKARTA BARAT
33,EVERCOSS Xtream 1 S45 4.5 Inchi Android 7 Nougat Dual SIM 4G RAM 1GB ROM 8GB,"1,2RB Terjual",Rp399.000,KOTA JAKARTA UTARA
34,realme narzo 50A Prime 4GB+128GB [5000mAh Massive Battery | 18W Quick Charge | Powerful Unisoc T612 Processor],10RB+ Terjual,Rp1.999.000,KOTA JAKARTA UTARA
35,"Infinix Zero 5G 2023 8/256GB – Dimensity 920 5G - Up to 13GB Extended RAM - 6.78"" FHD+ - 5000 mAh - Hard Gyroscope - NFC","3,3RB Terjual",Rp3.449.000,KOTA JAKARTA UTARA
36,Xiaomi Official Redmi Note 12 Pro 5G (8GB+5GB/256GB) Kamera 50MP SONY IMX766 OIS Dimensity 1080 120Hz P-OLED,80 Terjual,Rp4.599.000,KOTA JAKARTA UTARA
37,Nokia 105 (2022) - Charcoal,"1,7RB Terjual",Rp250.000,KAB. TANGERANG
38,"Infinix Note 12 2023 8/128GB - Up to 13GB Extended RAM - Helio G99 - 6.7"" Amoled FHD+ - 5000 mAh - Hard Gyroscope - NFC","1,8RB Terjual",Rp2.599.000,KOTA JAKARTA UTARA
39,"Xiaomi Official Redmi 10 5G (6/128GB) MediaTek Dimensity 700 50MP Kamera Layar FHD+ 6,58” 90Hz 5000mAh","3,7RB Terjual",Rp2.549.000,KOTA JAKARTA UTARA
40,"[DISKON 700RB] vivo Y33T/ Y33s - ROM128GB , 50MP Night Camera, 5000mAh+18W Fastcharge","9,8RB Terjual",Rp2.699.000,KAB. TANGERANG
41,"EVERCOSS M6A 3GB/16GB 8MP Selfie Camera 8MP Camera Android 10 Dual SIM 4G Layar 6"" IPS 3200 mAh","1,1RB Terjual",Rp849.000,KOTA JAKARTA UTARA
42,Alcatel 1SE 5030U Smartphone ( Ram 4GB / Rom 64GB ) Green - Garansi Resmi,73 Terjual,Rp1.199.000,KOTA JAKARTA PUSAT
43,"Xiaomi Official Redmi 10A (3/32GB) Kamera Ganda 13MP 5000mAh Layar Dot Drop 6,53"" HD+ Prosesor Octa-core",10RB+ Terjual,Rp1.399.000,KOTA JAKARTA UTARA
44,Advan Nasa Pro 2GB/32GB Garansi Resmi Original,"1,1RB Terjual",Rp881.000,KOTA BANDUNG
