,Title,Total,Price,Location
0,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,10RB+ Terjual,Rp99.000,KOTA TANGERANG
1,Jovitech Speaker Bluetooth 5.0 Jam Alarm LED Display Ultra Bass - S10,"9,2RB Terjual",Rp119.000,KOTA JAKARTA BARAT
2,Nakamichi Soundbox LITE Speaker Portable Audio Wireless Bluetooth,358 Terjual,Rp599.000,KOTA JAKARTA BARAT
3,Speaker Bluetooth Robot RB100 Bluetooth 5.0 TWS Hi-Fi Sound Portable Audio Wireless Super Bass Mini Stereo Original - Garansi 1 Tahun,10RB+ Terjual,Rp239.900,KOTA JAKARTA UTARA
4,Speaker Bluetooth VIVAN VS12 Wireless Audio Portable Mega Bass Waterproof IPX6 Hi-Fi AUX TWS Bluetooth 5.0 Surround Sound 360° Speaker Laptop Garansi Resmi 1 Tahun,"4,6RB Terjual",Rp449.900,KOTA JAKARTA UTARA
5,ACOME Super Bass Speaker Bluetooth 5.2 10W High Power 3 Playback Modes Garansi Resmi 1 Thn A16,10RB+ Terjual,Rp139.900,KOTA JAKARTA UTARA
6,Speaker Bluetooth J006 Spiker Portable Charge Mini 2+ Subwoofer Super Bass,"8,2RB Terjual",Rp55.000,KOTA JAKARTA UTARA
7,ROBOT TWS Speaker Bluetooth 5.1 Mini Portable RB20 With RGB Light Pink/Blue - Garansi Resmi 1 Tahun,"7,5RB Terjual",Rp54.900,KOTA JAKARTA UTARA
8,Speaker Portable Bluetooth LED 3 Inches Mobile Phone With Mic,10RB+ Terjual,Rp45.300,KOTA TANGERANG
9,"Speaker Bluetooth Portable 3"" type 5009 Free Microphone",10RB+ Terjual,Rp42.500,KOTA JAKARTA BARAT
10,MIINII Speaker T5/T5B Bluetooth Wireless Mini Music Box Portable Super Bass,10RB+ Terjual,Rp32.346,KOTA JAKARTA BARAT
11,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE FLASHDISK & MICROSD OBS-400,10RB+ Terjual,Rp83.000,KAB. TANGERANG
12,"Speaker Bluetooth Portable 6,5inch KM-3381 Plus Microphone",10RB+ Terjual,Rp79.000,KOTA JAKARTA BARAT
13,Speaker Bluetooth Lampu Tidur CL671 Wireless Speaker Portable Touch CL 671,10RB+ Terjual,Rp40.000,KOTA JAKARTA PUSAT
14,COD SPEAKER WIRELESS BLUETOOTH PORTABEL 6'5 INCH KIMISO 3381 PLUS MIC KARAOKE X-BASS//SPEAKER KIMISO X-BASS//SPEAKER SALON AKTIF//SPEAKER WIRELESS//SPEAKER KARAOKE,10RB+ Terjual,Rp77.000,KOTA JAKARTA TIMUR
15,Advance S50 Speaker Bluetooth Gratis Mic Karoke Murah Garansi 1 Tahun,8RB Terjual,Rp149.000,KOTA JAKARTA UTARA
16,KISONLI - Surround Bass Mini Speaker Stereo Multimedia Komputer Portabel - U3100,"2,7RB Terjual",Rp141.550,KAB. TANGERANG
17,Speaker Bluetooth Simbadda CST 800N Music Player Power Sound,"3,5RB Terjual",Rp285.000,KOTA JAKARTA BARAT
18,Soundplus 9Soul - Speaker Bluetooth Led 5W / Portable Speaker / Mini Speaker Bluetooth,"1,4RB Terjual",Rp439.000,KOTA TANGERANG SELATAN
19,Robot Speaker Karaoke Bluetooth 5.1 RB300 With RGB Light Microphone Original - Garansi 1 Tahun,"4,9RB Terjual",Rp664.900,KOTA JAKARTA UTARA
20,【33LV.ID】Speaker t5b bluetooth wireless mini portable,"8,9RB Terjual",Rp24.000,KOTA JAKARTA BARAT
21,Advance Speaker Bluetooth CLS-201BT Multimedia Aktif 2.1 Stereo Music Box Subwoofer Karaoke USB Garansi 1 Tahun,"3,6RB Terjual",Rp145.000,KOTA JAKARTA UTARA
22,Robot Speaker Bluetooth RB580 Soundbar 10W Wireless Bluetooth 5.1 TF Card Radio Portable Audio Speaker Original Resmi,"6,2RB Terjual",Rp199.000,KOTA JAKARTA BARAT
23,ACOME Super Bass Speaker Bluetooth 5.0 20W IPX7 Waterproof RGB Light Rhyme Rave Party A20,"6,3RB Terjual",Rp339.888,KOTA JAKARTA UTARA
24,Speaker Bluetooth S10 CRECK Effect Motif Retak Mini S-10 Lampu LED Super Bass Corak Kaca Crack A2DP,10RB+ Terjual,Rp18.800,KOTA JAKARTA SELATAN
25,Speaker Bluetooth Chip 5.1 Portable ROBOT RB30 TWS True Wireless Stereo Original - Garansi 1 Tahun,"1,4RB Terjual",Rp79.900,KOTA JAKARTA UTARA
26,MIINII Speaker BG-S7 Bluetooth Jam Digital Alarm Stand LED Display,"3,1RB Terjual",Rp67.799,KOTA JAKARTA BARAT
27,SPEAKER BLUETOOTH ADVANCE M10BT Speaker Stereo Bluetooth Xtra Bass Multimedia BASS Subwoofer Garansi Resmi 1 Tahun,343 Terjual,Rp250.000,KOTA JAKARTA UTARA
28,ADVANCE M10BT Speaker Stereo Bluetooth Xtra Bass Subwoofer Garansi Resmi 1 Tahun,"3,1RB Terjual",Rp275.000,KOTA JAKARTA UTARA
29,CORN Speaker Bluetooth Portable Wireless SUPER Mega BASS Speker TWS 1200mAh 6W Dual Driver Speakers HiFi Waterproof Support USB/TF/Micro SD Card/U disk Play for Laptop TV Phone Outdoor,"4,1RB Terjual",Rp91.500,KOTA JAKARTA UTARA
30,ROBOT Speaker Wireless / Speaker Bluetooth RB520 / Speaker Bluetooth 5.0 Portable Audio Wireless Super Bass Stereo Original - Garansi 1 Tahun,314 Terjual,Rp200.900,KOTA JAKARTA UTARA
31,"Speaker Bluetooth Karaoke Free Mic 8,5Inchi QS7801/ Salon Aktif Portable Radio Fm Mp3 Super Bass Speaker Aktif Wireless",10RB+ Terjual,Rp175.000,KOTA JAKARTA PUSAT
32,WEYON Speaker Bluetooth Aktif Portable Wireless Free Karaoke Microphone,50 Terjual,Rp59.000,KAB. TANGERANG
33,Jovitech Speaker Jam Led Bluetooth Portable Stereo Original Display Alarm Wireless S16,246 Terjual,Rp99.000,KOTA JAKARTA BARAT
34,Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,"1,6RB Terjual",Rp80.000,KOTA JAKARTA BARAT
35,MIINII Speaker Bluetooth G2 Portable Mini Bluetooth Wireless,"2,6RB Terjual",Rp19.250,KOTA JAKARTA BARAT
36,SPEAKER BLUETOOTH A2DP SC208 / SPEAKER STEREO MEGA BASS,"7,9RB Terjual",Rp37.500,KOTA JAKARTA BARAT
37,MIINII Speaker TG162 Bluetooth Wireless Portable Nyala Lampu LED Bass,"3,7RB Terjual",Rp36.943,KOTA JAKARTA BARAT
38,OLIKE SPEAKER BLUETOOTH 5.3 WIRELESS PORTABLE TWS STEREO MIC OBS-600,10RB+ Terjual,Rp98.000,KAB. TANGERANG
39,Lenovo thinkplus K3 Pro Portable HiFi Wireless Bluetooth Speaker 1200mAh Siaga Panjang Outdoor Loudspeaker Musik Surround Bass Kotak,114 Terjual,Rp92.636,KAB. TANGERANG
40,Speaker Mini Bluetooth Portabel Retak Lampu Led Music Box,"4,2RB Terjual",Rp18.800,KOTA JAKARTA BARAT
