,Title,Total,Price,Location
0,W-KING Speaker Bluetooth Wireless Karaoke Portable Traveling T9 T9ii 2 MIC WKING speker karoke party Box Speaker Travelling Party Box,39 Terjual,Rp3.050.000,KOTA JAKARTA BARAT
1,Wireless Microphone Portable Bluetooth Speaker karaoke with Two Microphone 3D Stereo Family Party Ktv Equipment Audio Car/Outdoor/Indoor,70 Terjual,Rp430.000,KOTA JAKARTA UTARA
2,KARAOKE Bluetooth Speaker Wireless 2 MIC TV AUX SPEAKER HF Bluetooth KTV Equipment 3D Stereo Microphone For Family Party,185 Terjual,Rp430.000,KOTA JAKARTA UTARA
3,E ONE karaoke speaker bluetooth portable wireless 2 mic (Produk peningkatan baru) - Garansi 1 tahun,1RB Terjual,Rp625.000,KAB. TANGERANG
4,Nakamichi Soundbox LITE Speaker Portable Audio Wireless Bluetooth,358 Terjual,Rp599.000,KOTA JAKARTA BARAT
5,Robot Speaker Karaoke Bluetooth 5.1 RB300 With RGB Light Microphone Original - Garansi 1 Tahun,"4,9RB Terjual",Rp664.900,KOTA JAKARTA UTARA
6,Speaker Portable Bluetooth LED 3 Inches Mobile Phone With Mic,10RB+ Terjual,Rp45.300,KOTA TANGERANG
7,Advance S50 Speaker Bluetooth Gratis Mic Karoke Murah Garansi 1 Tahun,8RB Terjual,Rp149.000,KOTA JAKARTA UTARA
8,"Speaker Bluetooth Portable 6,5inch KM-3381 Plus Microphone",10RB+ Terjual,Rp79.000,KOTA JAKARTA BARAT
9,"Samsung Soundbar HW-T420 2.1 Ch, 150 W 2020","1,1RB Terjual",Rp989.000,KOTA JAKARTA UTARA
10,Advance Speaker Bluetooth Portable H801N Free Mic Wireless Garansi Resmi advance 1 tahun,2RB Terjual,Rp399.000,KOTA JAKARTA UTARA
11,Winland speaker bluetooth 2 MIC 1 SET Wireless 2 Warna (Dapat terhubung ke HP/TV，Komputer) Garansi 1 tahun,28 Terjual,Rp330.000,KAB. TANGERANG
12,Speaker Bluetooth Portable Advance K1506 15 Inch Free 2 Bh Mic Werles,"1,4RB Terjual",Rp1.100.000,KOTA JAKARTA UTARA
13,Advance T101BT - Multimedia Speaker with Subwoofer System 5 inch + Bluetooth | Garansi Resmi 1Tahun,"2,5RB Terjual",Rp212.500,KOTA JAKARTA UTARA
14,Speaker Bluetooth Robot RB490 Karaoke with Microphone Original - Garansi 1 Tahun,"1,1RB Terjual",Rp424.900,KOTA JAKARTA UTARA
