,Title,Total,Price,Location
0,Nakamichi Soundbox LITE Speaker Portable Audio Wireless Bluetooth,358 Terjual,Rp599.000,KOTA JAKARTA BARAT
1,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,10RB+ Terjual,Rp99.000,KOTA TANGERANG
2,Bose SoundLink Mini II Special Edition Portable Wireless Bluetooth Speaker,520 Terjual,Rp3.299.000,KOTA JAKARTA UTARA
3,LENYES S105 waterproof ipx7 outdoor wireless bluetooth hifi stereo mini portable speaker original,"6,1RB Terjual",Rp189.000,KOTA JAKARTA PUSAT
4,Speaker Bluetooth VIVAN VS12 Wireless Audio Portable Mega Bass Waterproof IPX6 Hi-Fi AUX TWS Bluetooth 5.0 Surround Sound 360° Speaker Laptop Garansi Resmi 1 Tahun,"4,6RB Terjual",Rp449.900,KOTA JAKARTA UTARA
5,ACOME Super Bass Speaker Bluetooth 5.2 10W High Power 3 Playback Modes Garansi Resmi 1 Thn A16,10RB+ Terjual,Rp139.900,KOTA JAKARTA UTARA
6,"Speaker Bluetooth Portable 6,5inch KM-3381 Plus Microphone",10RB+ Terjual,Rp79.000,KOTA JAKARTA BARAT
7,ROBOT TWS Speaker Bluetooth 5.1 Mini Portable RB20 With RGB Light Pink/Blue - Garansi Resmi 1 Tahun,"7,5RB Terjual",Rp54.900,KOTA JAKARTA UTARA
8,Robot Speaker Karaoke Bluetooth 5.1 RB300 With RGB Light Microphone Original - Garansi 1 Tahun,"4,9RB Terjual",Rp664.900,KOTA JAKARTA UTARA
9,Speaker Bluetooth J006 Spiker Portable Charge Mini 2+ Subwoofer Super Bass,"8,2RB Terjual",Rp55.000,KOTA JAKARTA UTARA
10,Speaker Portable Bluetooth LED 3 Inches Mobile Phone With Mic,10RB+ Terjual,Rp45.300,KOTA TANGERANG
11,Advance S50 Speaker Bluetooth Gratis Mic Karoke Murah Garansi 1 Tahun,8RB Terjual,Rp149.000,KOTA JAKARTA UTARA
12,Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,"1,6RB Terjual",Rp80.000,KOTA JAKARTA BARAT
13,Speaker Bluetooth Simbadda CST 800N Music Player Power Sound,"3,5RB Terjual",Rp285.000,KOTA JAKARTA BARAT
14,Advance Speaker Bluetooth Portable H801N Free Mic Wireless Garansi Resmi advance 1 tahun,2RB Terjual,Rp399.000,KOTA JAKARTA UTARA
15,Speaker Bluetooth Robot RB580 Sounbar 10W Ultra Bass with RGB Light Bluetooth Chip 5.1 AUX TF Card Portable Audio Wireless Original - Garansi 1 Tahun,"2,5RB Terjual",Rp239.900,KOTA JAKARTA UTARA
16,ACOME Speaker Bluetooth 5.0 10W IPX6 Waterproof RGB Light Rhyme Rave Party Garansi Resmi 1 thn A10,"8,7RB Terjual",Rp209.900,KOTA JAKARTA UTARA
17,JBL Clip 3 Portable Bluetooth Speaker,"5,1RB Terjual",Rp598.000,KOTA JAKARTA UTARA
18,Speaker Bluetooth Chip 5.1 Portable ROBOT RB30 TWS True Wireless Stereo Original - Garansi 1 Tahun,"1,4RB Terjual",Rp79.900,KOTA JAKARTA UTARA
19,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE FLASHDISK & MICROSD OBS-400,10RB+ Terjual,Rp83.000,KAB. TANGERANG
20,Advance T101BT - Multimedia Speaker with Subwoofer System 5 inch + Bluetooth | Garansi Resmi 1Tahun,"2,5RB Terjual",Rp212.500,KOTA JAKARTA UTARA
21,ROBOT Speaker Wireless / Speaker Bluetooth RB520 / Speaker Bluetooth 5.0 Portable Audio Wireless Super Bass Stereo Original - Garansi 1 Tahun,314 Terjual,Rp200.900,KOTA JAKARTA UTARA
22,ROBOT Speaker USB RS200 Multimedia Portable Music Speaker Gaming - Garansi Resmi 1 Tahun,3RB Terjual,Rp119.900,KOTA JAKARTA UTARA
23,Sony SRS-XB13 EXTRA BASS Portable Wireless Speaker,536 Terjual,Rp689.000,KOTA JAKARTA SELATAN
24,Advance Speaker Portable H801N Wireless Black V2 / Mic Wireless / Garansi Resmi advance 1 tahun,"1,1RB Terjual",Rp390.000,KOTA JAKARTA UTARA
25,WEYON Speaker Bluetooth Aktif Portable Wireless Free Karaoke Microphone,50 Terjual,Rp59.000,KAB. TANGERANG
26,"Speaker Bluetooth Portable 3"" type 5009 Free Microphone",10RB+ Terjual,Rp42.500,KOTA JAKARTA BARAT
27,"Speaker Bluetooth Karaoke Free Mic 8,5Inchi QS7801/ Salon Aktif Portable Radio Fm Mp3 Super Bass Speaker Aktif Wireless",10RB+ Terjual,Rp175.000,KOTA JAKARTA PUSAT
28,Soundplus 9Soul - Speaker Bluetooth Led 5W / Portable Speaker / Mini Speaker Bluetooth,"1,4RB Terjual",Rp439.000,KOTA TANGERANG SELATAN
29,Robot Speaker Bluetooth RB580 Soundbar 10W Wireless Bluetooth 5.1 TF Card Radio Portable Audio Speaker Original Resmi,"6,2RB Terjual",Rp199.000,KOTA JAKARTA BARAT
30,Advance Speaker Meeting Portable Bluetooth K881N.V3 Garansi Resmi 1 Tahun,643 Terjual,Rp599.000,KOTA JAKARTA UTARA
31,ADVANCE PORTEBLE SPEAKER METING K6D | Garansi Resmi 1 Tahun,316 Terjual,Rp629.000,KOTA JAKARTA UTARA
32,Logitech Z121 2.0 Stereo Speaker USB Compact,10RB+ Terjual,Rp185.000,KOTA JAKARTA PUSAT
33,Speaker Bluetooth Go 2 Wireless Portable Waterproof,147 Terjual,Rp44.500,KOTA JAKARTA PUSAT
34,OontZ Angle solo Super Portable Bluetooth Speaker,"1,7RB Terjual",Rp239.000,KOTA JAKARTA PUSAT
35,【33LV.ID】Speaker t5b bluetooth wireless mini portable,"8,9RB Terjual",Rp24.000,KOTA JAKARTA BARAT
36,【FREE MIC】ADVANCE 8 inchs Wireless Bluebooth Speaker Portable 2400mah FM Radio Xtra Power Sound H801N Mic Speaker Meeting Rumah dan Luar Ruangan Garansi Resmi 1 tahun,2RB Terjual,Rp385.000,KOTA JAKARTA UTARA
37,ROBOT RS200 E-Sports Gaming Speaker 3.5mm AUX with 2 Channel Stereo and RGB Flow Lighting Effect,"2,1RB Terjual",Rp104.000,KOTA JAKARTA BARAT
38,Rolton K400 Speaker Megaphone Mini dengan Kabel Audio,657 Terjual,Rp159.430,KOTA JAKARTA UTARA
39,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes Garansi Resmi 1 Tahun,10RB+ Terjual,Rp349.900,KOTA JAKARTA UTARA
40,Speaker Bluetooth Portable Advance K1506 15 Inch Free 2 Bh Mic Werles,"1,4RB Terjual",Rp1.100.000,KOTA JAKARTA UTARA
41,Speaker ROBOT RB500 Karaoke Bluetooth 5.0 Audio Wireless Super Bass Portable LED - Garansi resmi 1 Tahun,779 Terjual,Rp664.900,KOTA JAKARTA UTARA
42,MIINII Speaker TG162 Bluetooth Wireless Portable Nyala Lampu LED Bass,"3,7RB Terjual",Rp36.943,KOTA JAKARTA BARAT
43,Advance AMS-18 Speaker Mic Karoke Bluetooth Murah Garansi 1 tahun,2RB Terjual,Rp159.000,KOTA JAKARTA UTARA
44,Lenovo Audio K3 Mini Wireless Portable Bluetooth Speaker HiFi with Mic Heavy Bass,"2,8RB Terjual",Rp82.500,KAB. TANGERANG
45,ROBOT Speaker USB RS180 Multimedia Portable / Speaker Music Mini for Gaming Computer Laptop etc Original - Garansi Resmi 1 Tahun,"1,4RB Terjual",Rp59.900,KOTA JAKARTA UTARA
46,Speaker Bluetooth Robot RB150 Alarm LED Indicator Bluetooth 5.0 Hi-Fi Sound Portable Audio Wireless Super Bass Mini Stereo Original - Garansi 1 Tahun,10RB+ Terjual,Rp119.900,KOTA JAKARTA UTARA
47,KISONLI Speaker Gaming Laptop / Komputer S555 Strong Bass And Compatibility,"2,4RB Terjual",Rp55.670,KAB. TANGERANG
48,Speaker Bluetooth Robot RB490 Karaoke with Microphone Original - Garansi 1 Tahun,"1,1RB Terjual",Rp424.900,KOTA JAKARTA UTARA
49,Advance M180BT - Multimedia Speaker with Subwoofer System With FM Radio | Garansi Resmi Advance,986 Terjual,Rp308.000,KOTA JAKARTA UTARA
50,"Speaker Bluetooth Portable LED 5"" X-2010 Free Microphone",3RB Terjual,Rp78.000,KOTA JAKARTA BARAT
51,Speaker Bluetooth Robot RB220 Bluetooth 5.0 Hi-Fi Sound Portable Audio Wireless Super Bass Mini Stereo Original - Garansi 1 Tahun,"5,3RB Terjual",Rp135.900,KOTA JAKARTA UTARA
52,(HOT) ECLE BSE-1602 Round Speaker Bluetooth 1200 mAh Speaker Musik Portable Holder HP 2 in 1 Bass Audio,KAB. BEKASI,Rp112.900,Produk Serupa
53,Speaker Advance S-50 4 Inch Bluetooth Wireless Portable - Free Mic Kabel,"2,2RB Terjual",Rp131.000,KOTA JAKARTA UTARA
54,ACOME Super Bass Speaker Bluetooth 5.0 20W IPX7 Waterproof RGB Light Rhyme Rave Party A20,"6,3RB Terjual",Rp339.888,KOTA JAKARTA UTARA
55,BareTone Speaker Portable MAX15MHWR Speaker Bluetooth 15 Inch Mini Portable Support Micro SD & USB -Garansi Resmi 1Tahun,295 Terjual,Rp2.850.000,KOTA JAKARTA PUSAT
56,[NEW RELEASE] ThePods Soundbar Bluetooth Speaker F-560LED - RGB 5 Colors LED Light Computer TV Phone TF Multifunction 5.0 Bluetooth Speaker by Pods Indonesia,570 Terjual,Rp420.000,KOTA JAKARTA UTARA
57,LENYES S819 20W RGB colorfull lights waterproof ipx6 wireless bluetooth 5.0 hifi stereo portable speaker tws original,452 Terjual,Rp249.000,KOTA JAKARTA PUSAT
58,Speaker Sony SRS-XB13 Speaker Bluetooth Extra Super Bass Battery Up to 16h For Android & IOS - Blue Portable Wireless Speaker,247 Terjual,Rp699.000,KOTA JAKARTA PUSAT
59,Thinkplus Lenovo K3 Plus Bluetooth Speaker Portable Stereo Wireless Speaker,"2,3RB Terjual",Rp99.000,KOTA TANGERANG
