,Title,Total,Price,Location
0,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD - Black,"2,7RB Terjual",Rp184.900,KOTA JAKARTA BARAT
1,Nokia E3100 Plus True Wireless Earbuds Bluetooth Earphone TWS White,245 Terjual,Rp198.900,KOTA JAKARTA BARAT
2,Jovitech TWS Wireless Earphone Earbuds In Ear Headset Bluetooth 5.0 Dengan Mikrofon HIFI Stereo 9D With 3000 mAh Powerbank - F9,10RB+ Terjual,Rp79.900,KOTA JAKARTA BARAT
3,Baseus Bowie E3 True Wireless Bluetooth Earphone Earbuds,10RB+ Terjual,Rp299.000,KOTA TANGERANG
4,Baseus Encok WM01 True Wireless Bluetooth Earphone Mini Earbuds TWS,10RB+ Terjual,Rp289.000,KOTA TANGERANG
5,[NEW PRODUCT] TWS Earphone Anker Soundcore R50i - A3949,"3,8RB Terjual",Rp199.000,KOTA JAKARTA UTARA
6,Xiaomi Official Redmi Buds Essential Bluetooth® 5.2 IPX4 Suara Superior Baterai Hingga 18 jam Koneksi Mudah,"9,6RB Terjual",Rp199.000,KOTA JAKARTA UTARA
7,MINIBEST Headset Bluetooth inpods 12 TWS Macaron Earphone True Wireless Stereo HIFI Sentuh Earbud i12 MB-555,10RB+ Terjual,Rp39.900,KOTA JAKARTA BARAT
8,Lenovo thinkplus LP40 True Wireless Bluetooth Earphone Mini Earbuds TWS Noise Reduction Headset,10RB+ Terjual,Rp141.550,KAB. TANGERANG
9,MINIBEST TWS MB-Pods Pro M5 [2nd Generation with H2 CHIP] IPX4 Wireless Earphone Bluetooth 5.3 Active Noise Cancellation,"3,2RB Terjual",Rp175.000,KOTA JAKARTA BARAT
10,ROBOT Earphone Wireless / Mini Earbuds / Earbud / True Wireless Stereo / TWS Bluetooth 5.1 T50 Waterproof IPX4 Semi-In-Ear Original - Garansi Resmi 1 Tahun,"6,4RB Terjual",Rp279.900,KOTA JAKARTA UTARA
11,Headset / TWS Bluetooth Aukey EP-T25 High Fidelity Audio - 500538,10RB+ Terjual,Rp184.900,KOTA JAKARTA BARAT
12,"Acome Headset Earphone Bluetooth TWS5.3 ENC Call Noise Reduction 3,5 Gram Ultra Light - Garansi Resmi 1 Tahun Quietpods Q1","3,1RB Terjual",Rp149.900,KOTA JAKARTA UTARA
13,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 True Wireless Headset Bluetooth Earbuds - Garansi 1 Tahun,10RB+ Terjual,Rp279.900,KOTA JAKARTA UTARA
14,(New Launch) True Wireless Earbuds Anker Soundcore R50i - A3949,"4,1RB Terjual",Rp199.000,KOTA JAKARTA UTARA
15,Rexus TWS Earphone Wireless Bluetooth FX2,"1,3RB Terjual",Rp195.000,KOTA JAKARTA UTARA
16,Acome True Wireless Earbuds Headset Bluetooth 5.3 TWS LED Garansi Resmi 1 Tahun Airdots T6,10RB+ Terjual,Rp120.900,KOTA JAKARTA UTARA
17,SOUL S-MOVE TWS Waterproof Bluetooth 5.0 - Kontrol Sentuh Hitam,"2,6RB Terjual",Rp95.000,KOTA JAKARTA BARAT
18,OLIKE TRUE WIRELESS BLUETOOTH EARPHONE GAMING EARBUDS TWS HEADSET T1H,"6,3RB Terjual",Rp109.000,KAB. TANGERANG
19,Thinkplus Lenovo LP2 True Wireless Bluetooth Earphone TWS Noise Reduction,"9,2RB Terjual",Rp179.000,KOTA TANGERANG
20,Infinilapan TWS Wireless Earphone Low Latency | True Wireless Headset Bluetooth Earpods | Low Power Headset + ENC call noise reduction Bluetooth5.3 Headset,"5,7RB Terjual",Rp149.999,KOTA JAKARTA UTARA
21,Eggel QuietBuds ANC + ENC TWS Bluetooth Earbuds with Low Latency Mode,"1,6RB Terjual",Rp299.000,KOTA BANDUNG
22,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD,"6,9RB Terjual",Rp185.000,KOTA JAKARTA BARAT
23,Nakamichi TW018ENC True Wireless Earbuds Bluetooth Earphone TWS HD,"2,6RB Terjual",Rp279.000,KOTA JAKARTA BARAT
24,Robot Wireless Earphone Bluetooth 5.3 Airbuds TWS T20S Black Original - Garansi 1 Tahun,10RB+ Terjual,Rp279.900,KOTA JAKARTA UTARA
25,Headset/TWS EP-T31 Wireless Charging Earbud With AAC Decodec & IPX 5,"3,5RB Terjual",Rp188.900,KOTA JAKARTA BARAT
26,TWS Anker SoundCore Life P2i - A3991,"2,1RB Terjual",Rp299.000,KOTA JAKARTA UTARA
27,MINIBEST Inpods 12 Black Headset Bluetooth TWS IOS & Android MB-I12,"7,8RB Terjual",Rp39.900,KOTA JAKARTA BARAT
28,Thinkplus Lenovo TH10 Headphone Bluetooth Wireless Headset Earphone 5.0,10RB+ Terjual,Rp209.000,KOTA TANGERANG
29,Thinkplus Lenovo LP1 Pro True Wireless Bluetooth Earbuds TWS,10RB+ Terjual,Rp169.000,KOTA TANGERANG
30,TWS Earbuds Anker Soundcore Life Dot 3i - A3982,"1,9RB Terjual",Rp550.000,KOTA JAKARTA UTARA
31,❤❤NEW HEADSET BLUETOOTH TWS INPODS I12 MACARON EARPHONE BLUETOOTH 5.0 WARNA MACARON,10RB+ Terjual,Rp34.999,KOTA JAKARTA BARAT
32,MIISOO i12 PRO Macaron TWS Earphone IZIN POSTEL TRUE Wireless STEREO Bluetooth HiFi,10RB+ Terjual,Rp67.000,KAB. TANGERANG
33,(HOT) MINIBEST Round TWS Pro 6 Earphone Sport Waterproof Headset Bluetooth 5.0 Wireless Headphone Noise Reduction,"6,2RB Terjual",Rp87.900,KOTA JAKARTA BARAT
34,Disney LK01 Nirkabel Bluetooth Earphone dengan Dual Mics ENC Pengurangan Kebisingan TWS Bluetooth 5.0 Earphone Kontrol Sentuh Earphone,"4,7RB Terjual",Rp109.000,KAB. TANGERANG
35,Headset - Earphone Bluetooth TWS F9-5.1 LED Display Smart Touch Finger,"9,4RB Terjual",Rp56.500,KOTA JAKARTA BARAT
36,Robot TWS Flybuds T10 Headset Wireless Bluetooth 5.3 True Earbuds Earphone Garansi Original Resmi 1 Tahun,"1,6RB Terjual",Rp121.000,KOTA JAKARTA BARAT
37,TWS Anker SoundCore R100 - A3981,10RB+ Terjual,Rp299.000,KOTA JAKARTA UTARA
38,2023 NEW Upgrade TWS Pro 4 Headset Bluetooth 5.1 True Wireless Earphone 9D HiFi Stereo Sound Volume Control With Mic,10RB+ Terjual,Rp93.000,KOTA TANGERANG
39,I13 Pro TWS Headset Bluetooth Bass 9D HiFi Stereo Sound Earphone Wireless Waterproof Headphone Henset Bloetooth with Microphone Sport Handset Hedset Handsfree Earbuds Hendset Hanset Hetset Heandset,"1,5RB Terjual",Rp49.800,KAB. TANGERANG
