,Title,Total,Price,Location
0,VOOVA Laptop Sleeve Case 12- 16 Inch Cover Computer Liner Bag for Macbook Tablet Notebook Waterproof Wear Pure Color Computer Bag,10RB+ Terjual,Rp65.500,KAB. TANGERANG
1,HOOLIGANS Bag Gullit Black,6RB Terjual,Rp99.000,KOTA BANDUNG
2,Planet Ocean - Tas Punggung Pria - TPR 526301 black,31 Terjual,Rp350.000,KAB. BANDUNG
3,"VOOVA Tas Laptop, Softcase laptop Pria dan Wanita Cool Color Bag 12-16 Inch Jinjing Laptop Bag Waterproof Cover Unisex Notebook Tahan Air Tahan Lama",10RB+ Terjual,Rp85.900,KAB. TANGERANG
4,Pamole - Tas Selempang Sling Bag Bahan Kanvas Premium Lapis Furing Tutup Resleting - Veronna Series,3RB Terjual,Rp153.000,KOTA BANDUNG
5,Macbook Case - Laptop Sleeve 13 Inch - Sinno Visval - Tas Laptop,227 Terjual,Rp120.000,KOTA BANDUNG
6,BRODO - Tas Ino Backpack Hitam,600 Terjual,Rp195.000,KOTA BANDUNG
7,TAS LAPTOP - Sarung Softcase Laptop 13 14 INCH Produk Lokal Sleeve Sarung SoftCase ASUS ACER MACBOOK Murah KANDER,850 Terjual,Rp28.500,KAB. BANDUNG
8,TAS LAPTOP CLUTCH HANDLE dompet Jinjing TAHAN ANTI AIR WATERPROOF WATER RESISTANT Laptop Bag / Sleeve Laptop case / Tablet Bag / CASE MACBOOK ACER HP DELL ASUS LENOVO VIVO NETBOOK NEW AIR PRO M1 11 13 14 15 16 inch 2019 2020 2021 2022,404 Terjual,Rp78.000,KOTA BANDUNG
9,Rhodey Felt Sleeve Case Laptop 13 Inch,262 Terjual,Rp15.900,KOTA JAKARTA BARAT
10,Troveast Tas Sarung Laptop Case Hima Series,631 Terjual,Rp60.871,KOTA TANGERANG
11,TAS LAPTOP TAS IPAD WATERPROOF ANTI AIR STYLIST DESIGN PREMIUM BAG,615 Terjual,Rp70.000,KOTA SURABAYA
12,ANT PROJECT - Tas Ransel Two in One ZENECA - Tote Backpack Slot Laptop,8RB Terjual,Rp63.000,KOTA BANDUNG
13,Troveast Tas Sarung Laptop Case Ocean Series,656 Terjual,Rp60.265,KOTA TANGERANG
14,Naku Laptop Sleeve By Celah Langit,"2,2RB Terjual",Rp64.000,KAB. BANDUNG
15,Tas Ransel Laptop Backpack Oxford Series,538 Terjual,Rp112.375,KOTA TANGERANG
16,HEYLOOK Official - Tas Laptop Sydney Soft Case Cover Pelindung Leptop Sleeve Notebook,"5,8RB Terjual",Rp66.000,KOTA TANGERANG
