,Title,Total,Price,Location
0,AMINO Anti Spy Tempered Glass Untuk Iphone 14 Pro Max 14 Plus 13 Pro Max 12 Pro Max 11 Pro Max X XS MAX XR XS Fullcover Screen Protector Full Cover Anti Gores,10RB+ Terjual,Rp39.800,KOTA JAKARTA BARAT
1,GKK Superfit Tempered glass iPhone 7 8 X XR Xs Max 11 12 13 14 Pro Max Easy Install Anti Gores Anti Spy,10RB+ Terjual,Rp45.000,KOTA JAKARTA TIMUR
2,TEMPERED GLASS OPPO A1K A11K A12 A15 A15S A16 A16E A16K A17 A17K A3S A31 A33 A37 A5S A5 2020 A52 A53 A54 A55 A57 2022 A7 A74 4G A74 5G A76 A77S A9 2020 A91 A92 A95 A96 ANTI GORES KACA BENING OPPO,10RB+ Terjual,Rp1.950,KOTA JAKARTA UTARA
3,HYDRA+ Semua Tipe HP - Anti Gores Hydrogel - Not Tempered Glass - Full Screen,10RB+ Terjual,Rp95.040,KOTA JAKARTA BARAT
4,Tempered Glass Bening / Clear 0.3mm Grosir Non-Packing,10RB+ Terjual,Rp1.475,KOTA JAKARTA BARAT
5,BESTOOL TEMPERED GLASS 9D Full Cover Glass Screen Protector untuk iPhone 11 12 13 Pro Max X XR XS Max 7 8 6 S Plus SE,10RB+ Terjual,Rp10.800,KAB. TANGERANG
6,Brooklyn VER2 Tempered Glass iPhone 14/13/12/11/X XR XS MAX Mini Pro Max Full Cover Protection,10RB+ Terjual,Rp89.000,KOTA JAKARTA BARAT
7,Tempered Glass SUPERFIT IPHONE X XS XR XS MAX 11 11 PRO 11 PRO MAX 12 MINI 12 PRO 12 PRO MAX 13 13 PRO 13 PRO MAX 14 14 PLUS 14 PRO 14 PRO MAX Tempered glass Clear Hd Bening Screen Protector Anti Gores kaca / Easyfit Pemasangan Gampang,"4,6RB Terjual",Rp21.000,KOTA JAKARTA UTARA
8,EASY INSTALL Tempered glass iPhone 11 pro max 12 PRO MAX 13 PRO MAX 14 MINI 15 XR X XS MAX ANTI SPY ANTI GORES KACA INTIP KEPO BENING FULL LAYAR SCREEN GUARD SUPERFIT KRAKEN,10RB+ Terjual,Rp28.900,KOTA JAKARTA BARAT
9,PREMIUM! Superfit Anti-Spy Tempered glass for iPhone X XR XSMAX 11 11PRO 11PROMAX 12 12PRO 12PROMAX 13 13PRO 13PROMAX 14 14PLUS 14PRO 14PROMAX,"8,1RB Terjual",Rp49.999,KOTA JAKARTA BARAT
10,TEMPERED GLASS CERAMIC SPY MATTE FILM SAMSUNG A04/A04S/A04 CORE/A04E/A13/A13 5G/A23/A33 5G/A53 5G/A73 5G/A03/A03s/A03 CORE/A02/A02S/A01 CORE/A01/A12/A21S/A21/A31/A51/A71/A22 4G/A22 5G/A32 5G/A52 4G/A52 5G/A52s 5G/A52s/A72/A72 5G/A32 4G/A52 4G/A7 2018,10RB+ Terjual,Rp4.860,KOTA JAKARTA BARAT
11,Kung Fu Case - Tempered glass & Ceramic Anti Spy for iPhone 6 7 8 PLUS X XR XSMAX 11 11PRO 11PROMAX 12 12PRO 12PROMAX 13 13PRO 13PROMAX MINI 14 14PRO 14PROMAX,84 Terjual,Rp14.999,KOTA JAKARTA PUSAT
12,SUPERFIT ANTI SPY IPHONE X XS XR XS MAX 11 11 PRO 11 PRO MAX 12 MINI 12 PRO 12 PRO MAX 13 13 PRO 13 PRO MAX 14 14 PLUS 14 PRO 14 PRO MAX Tempered glass Screen Protector Anti Gores kaca SPY / Easyfit Pemasangan Gampang / Pemasangan Sangat Cepat Anti Miring,"4,4RB Terjual",Rp21.000,KOTA JAKARTA UTARA
13,Caseme Anti Gores Superfit iPhone 7 8 X XR Xs Max 11 12 13 14 Pro Max Easy Install Tempered Glass Anti Spy,"4,6RB Terjual",Rp45.240,KOTA JAKARTA TIMUR
14,Anti Spy Ceramic Matte Spy Iphone 6/6+/6s/6s+/7/8/7+/8+/X/Xr/Xs/Xs Max/11/11pro/11 pro max/12pro/12 Pro max anti gores spy IP 13 _IP 13 PRO _IP 13 PROMAX _IP 13 MINI_ip 14 _ip 14 plus_ip 14 pro_ip 14 promax,10RB+ Terjual,Rp4.970,KOTA JAKARTA BARAT
15,Tempered Glass Anti SPY iPhone 6 6Plus 7 8 7Plus 8Plus X XR XS MAX 11 PRO MAX Plus Full Screen 9D,10RB+ Terjual,Rp25.000,KOTA JAKARTA BARAT
16,Brooklyn Poniless Tempered Glass iPhone 14/13/12/11/X XR XS MAX Mini Pro Max Plus,10RB+ Terjual,Rp69.000,KOTA JAKARTA BARAT
17,Matte Glass 9H Anti Glare IPhone X / XS / XS Max / XR / 11 / 11 pro / 11 pro max / 12 / 12 pro / 12 pro max / 12 mini / 13 / 13 pro / 13 pro max / 13 mini / 14 / 14pro / 14plus / 14max / 14promax Tempered Glass Full Layar/Anti Minyak,10RB+ Terjual,Rp10.670,KOTA JAKARTA BARAT
