,Title,Total,Price,Location
0,Baseus Encok WM01 True Wireless Bluetooth Earphone Mini Earbuds TWS,10RB+ Terjual,Rp289.000,KOTA TANGERANG
1,Nokia E3110 True Wireless Earbuds Bluetooth Earphone TWS HD - Black,"2,7RB Terjual",Rp184.900,KOTA JAKARTA BARAT
2,Headset/TWS EP-T31 Wireless Charging Earbud With AAC Decodec & IPX 5,"3,5RB Terjual",Rp188.900,KOTA JAKARTA BARAT
3,Nokia E3100 Plus True Wireless Earbuds Bluetooth Earphone TWS White,245 Terjual,Rp198.900,KOTA JAKARTA BARAT
4,Baseus Bowie E3 True Wireless Bluetooth Earphone Earbuds,10RB+ Terjual,Rp299.000,KOTA TANGERANG
5,Nokia Essential True Wireless Earphones TWS E3101 - White,729 Terjual,Rp249.000,KOTA JAKARTA BARAT
6,Nokia E3100 Plus True Wireless Earbuds Bluetooth Earphone TWS HD,"6,8RB Terjual",Rp198.900,KOTA JAKARTA BARAT
7,Xiaomi Official Redmi Buds Essential Bluetooth® 5.2 IPX4 Suara Superior Baterai Hingga 18 jam Koneksi Mudah,"9,6RB Terjual",Rp199.000,KOTA JAKARTA UTARA
8,True Wireless Earbuds Anker Soundcore A20i - A3948,206 Terjual,Rp199.000,KOTA JAKARTA UTARA
9,MINIBEST Headset Bluetooth inpods 12 TWS Macaron Earphone True Wireless Stereo HIFI Sentuh Earbud i12 MB-555,10RB+ Terjual,Rp39.900,KOTA JAKARTA BARAT
10,(New Launch) True Wireless Earbuds Anker Soundcore R50i - A3949,"4,1RB Terjual",Rp199.000,KOTA JAKARTA UTARA
11,Lenovo thinkplus LP40 True Wireless Bluetooth Earphone Mini Earbuds TWS Noise Reduction Headset,10RB+ Terjual,Rp141.550,KAB. TANGERANG
12,[NEW PRODUCT] TWS Earphone Anker Soundcore R50i - A3949,"3,8RB Terjual",Rp199.000,KOTA JAKARTA UTARA
13,SoundPEATS TrueFree 2 True Wireless Earbuds - Black,10RB+ Terjual,Rp359.000,KOTA JAKARTA PUSAT
14,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 True Wireless Headset Bluetooth Earbuds - Garansi 1 Tahun,10RB+ Terjual,Rp279.900,KOTA JAKARTA UTARA
