,Title,Total,Price,Location
0,X Box Series S XBox S Microsoft Digital Edition,241 Terjual,Rp4.650.000,KOTA MALANG
1,PLAYSTATION 4 PS4 PRO / SLIM / FAT BISA ONLINE 500GB/1TB PES22 FIFA GARANSI MESIN ps4 slim fat pro 500 1 tb fullgame 2022,"1,1RB Terjual",Rp5.999.999,KOTA JAKARTA BARAT
2,NINTENDO WII FULLSET SUDAH + HDD 250GB/500GB+ FULLGAMES,22 Terjual,Rp1.350.000,KOTA JAKARTA BARAT
3,PC Game Pass : 3 Months Subscription - Instant Delivery,275 Terjual,Rp149.999,KOTA JAKARTA SELATAN
4,"Xbox GamePass Ultimate for PC,CONSOLE,CLOUD",15 Terjual,Rp91.000,KOTA JAKARTA PUSAT
5,XBOX GP Ultimate Xbox one series X|S / PC / Andro / iOS,"1,6RB Terjual",Rp45.000,KOTA PEKANBARU
6,GPU Cloud Gaming Android IOS Windows Xbox One Xbox Series X Series S,"6,5RB Terjual",Rp46.000,KOTA BLITAR
7,Xbox Series S,424 Terjual,Rp4.159.000,KOTA JAKARTA UTARA
8,Xbox Game Pass Ultimate 2 Bulan,12 Terjual,Rp49.500,KOTA BEKASI
9,Stick Stik XBOX 360 Wired Original Pabrik For / PC / Xbox 360 / Laptop - Putih,"5,5RB Terjual",Rp103.900,KOTA JAKARTA UTARA
10,XBOX Game Pass Ultimate,172 Terjual,Rp45.000,KOTA PEKANBARU
11,XBOX GP Ultimate Xbox one series X|S / PC / Andro / iOS,104 Terjual,Rp45.000,KOTA JAKARTA BARAT
12,X-BOX 360 FULL GAMES / RGH / FREESTYLE / FSD,127 Terjual,Rp2.650.000,KOTA JAKARTA UTARA
13,"Xbox Game Pass ULTIMATE (Xbox One/PC Win 10,11/Android)",42 Terjual,Rp45.000,KOTA JAKARTA BARAT
14,XBOX One Fat Console Preowned Original,124 Terjual,Rp2.249.000,KOTA JAKARTA PUSAT
15,Xbox Series S Console Mesin XSS Microsoft XBOX Series S,328 Terjual,Rp5.050.000,KOTA JAKARTA PUSAT
16,Xbox Series X/S Wireless Controller – Robot White,83 Terjual,Rp788.000,KOTA JAKARTA UTARA
17,Stick Stik XBOX 360 Wired Original Pabrik For / PC / Xbox 360 / Laptop,243 Terjual,Rp99.000,KOTA TANGERANG
18,"[1 Bulan] Game Pass Ultimate For Xbox One, Xbox Series X|S, Android, PC",578 Terjual,Rp55.000,KAB. BANDUNG
19,Xbox Game Pass Ultimate Akun Baru / Perpanjangan Akun Lama,342 Terjual,Rp150.000,KOTA BANJARMASIN
20,Xbox Series S Console / Microsoft Xbox Series S / Xbox S Console,36 Terjual,Rp4.398.000,KOTA BANDUNG
21,Xbox Series X|S Wireless Controller - Stick Stik,46 Terjual,Rp929.000,KOTA BANDUNG
22,Rechargeable Charger Baterai Battery Kit Stick Stik Xbox Series X S,10 Terjual,Rp220.000,KOTA BEKASI
23,STIK PC MODEL XBOX,699 Terjual,Rp75.000,KOTA JAKARTA PUSAT
24,X-BOX 360 GAMES PALING LENGKAP SEDUNIA,436 Terjual,Rp19.000,KOTA JAKARTA TIMUR
25,PS4 PS5 Xbox Series Theme Analog Thumb Grip Cap Controller Stick Stik,260 Terjual,Rp7.500,KOTA JAKARTA SELATAN
26,Rexus Gamepad Daxa Asteria AX1,1RB Terjual,Rp395.000,KOTA JAKARTA UTARA
27,4K HD Game Stick TV Mini Console Box Retro Tv Video Wireless Gamepad PS 1 PS x Arcade Gen 1 Gen 2,62 Terjual,Rp279.000,KOTA MALANG
