,Title,Total,Price,Location
0,GOOJODOQ Detachable Acrylic Case For iPad mini6 iPad Gen9 Gen8 Gen7 10.2 11 inch 2020 2021 2018 Ipad Air4 10.9,10RB+ Terjual,Rp135.000,KOTA JAKARTA UTARA
1,Goojodoa Versi upgrade Casing iPad Air 4 Air 5 Case for iPad 9th Generation Case for iPad Pro 11 12 9 Cover Air 5 2022 10”2 8th 10th 9 Generation Case,"2,6RB Terjual",Rp89.900,KOTA JAKARTA UTARA
2,"iPAD Case Softcase Silicone iPad Air 4 Air 5 /AIR 2 /AIR 3 / IPAD GEN 9/8/7 10.2"" / SLIM Case PAD Mini 5 - Macaron pad Case - Standard Version",10RB+ Terjual,Rp58.000,KOTA JAKARTA BARAT
3,"LEVINO Case iPad Pro 360 Rotate Flip Case Compatible For iPad Gen 9 7/8/9 Air 3/4/5 Pro 10"" 2018/2020/2021","2,7RB Terjual",Rp128.000,KOTA JAKARTA BARAT
4,iPad Case for iPad Air 4 3 2 1 Protective Case Pencil Holder Auto Wake/Sleep Magnetic Case iPad 8,10RB+ Terjual,Rp79.000,KAB. TANGERANG
5,IPAD SOFT CASE FOR ALL IPAD SILICONE TRANSPARANT PENCIL SLOT - A,"1,5RB Terjual",Rp52.000,KOTA SURABAYA
6,FS Case Smart Cover Matte Stylus Flip Apple iPad 5 6 7 8 9 Pro 9.7 Air 1 2 3 4 5 Pro 10.5 2017/2019,"1,1RB Terjual",Rp74.800,KOTA JAKARTA PUSAT
7,FS Case Matte Smart Cover Stylus Flip iPad 5 6 7 8 9 10 | Air 1 2 3 4 5 Pro 10.5 | Pro 11 2020/21/22 | Pro 12.9 2020/21/22 | Mini 6,112 Terjual,Rp85.000,KOTA JAKARTA PUSAT
8,IPAD SOFT CASE FOR ALL IPAD FULL COLOUR PENCIL SLOT FLIP CASE - A,481 Terjual,Rp75.000,KOTA SURABAYA
9,FS Case Acrylic Smart Cover Stylus for iPad 5 6 7 8 9 10 Air 1 2 3 4 5 Pro 10.5 Pro 11 2020 Mini 4 5 6,280 Terjual,Rp138.000,KOTA JAKARTA PUSAT
10,DUX DUCIS DOMO SERIS FLIP CASE FLIP COVER IPAD PRO 11 M2 2022 / IPAD PRO 12.9 M2 2022 / IPAD PRO 2021 M1 11 / 12.9 INCH,193 Terjual,Rp189.000,KOTA JAKARTA PUSAT
11,CASE IPAD 10 2022 10.9 / IPAD 7 / 8 / 9 10.2 INC DUX DUCIS DOMO SERIES CASE FLIP CASE FLIP COVER,772 Terjual,Rp150.000,KOTA JAKARTA PUSAT
12,Hard Case iPad Mini ESR Classic Hybrid,110 Terjual,Rp119.000,KOTA JAKARTA BARAT
13,MILS Technologies Transparent Trifold Clear Case iPad 6 7 8 9 10.2 Air 4 Air 5 2022 Mini 5 6 Air 3 10.5 Pro 11 12.9 2018 2020 2021 M1,4RB Terjual,Rp195.000,KOTA JAKARTA UTARA
14,APPLE PENCIL SILICONE CASE GEN 1 & 2,"1,5RB Terjual",Rp15.000,KOTA SURABAYA
15,IPAD SOFT CASE FOR ALL IPAD SILICONE TRANSPARANT PENCIL SLOT - B,704 Terjual,Rp52.000,KOTA SURABAYA
