,Title,Total,Price,Location
0,Apple iPhone 11 128GB White,"2,9RB Terjual",Rp8.999.000,KOTA JAKARTA SELATAN
1,Apple iPhone 12 128GB Blue,413 Terjual,Rp11.499.000,KOTA JAKARTA SELATAN
2,Apple iPhone 12 128GB Black,460 Terjual,Rp11.649.000,KOTA JAKARTA SELATAN
3,"Apple iPhone 12 128GB, Blue",703 Terjual,Rp11.499.000,KAB. TANGERANG
4,"Apple iPhone 12 128GB, Black","1,3RB Terjual",Rp11.499.000,KAB. TANGERANG
5,Apple iPhone 12 128GB Purple,420 Terjual,Rp11.499.000,KOTA JAKARTA SELATAN
6,"Apple iPhone 13 256GB, Blue",212 Terjual,Rp14.499.000,KAB. TANGERANG
7,Apple iPhone 13 256GB Blue,146 Terjual,Rp14.499.000,KOTA JAKARTA SELATAN
8,"Apple iPhone 13 256GB, Green",117 Terjual,Rp14.499.000,KAB. TANGERANG
9,"Apple iPhone 12 128GB, White",713 Terjual,Rp11.499.000,KAB. TANGERANG
10,"Apple iPhone 12 128GB, Green",403 Terjual,Rp11.499.000,KAB. TANGERANG
11,"Apple iPhone 13 128GB, Blue",156 Terjual,Rp15.199.000,KAB. TANGERANG
12,IPHONE 12 256GB 128gb 64gb SECOND ORIGINAL GARANSI 1BULAN,277 Terjual,Rp7.899.000,KOTA JAKARTA TIMUR
13,IPHONE 11 PRO MAX 512GB/256GB/64GB Second ORI Fullset Mulus,844 Terjual,Rp8.149.110,KOTA JAKARTA TIMUR
14,habis,"4,7RB Terjual",Rp8.999.000,KAB. TANGERANG
15,iPhone 12 64GB/128GB/256GB Mulus like new Second/bekas Fullset Mulus like new 100% Original,263 Terjual,Rp7.890.000,KOTA JAKARTA BARAT
16,Iphon X,50 Terjual,Rp4.399.000,KOTA SURAKARTA (SOLO)
17,iphne Handphone 11 64GB / 128GB/ 256GB Garansi iBox,"1,1RB Terjual",Rp9.163.000,KOTA JAKARTA PUSAT
18,habis,366 Terjual,Rp7.999.000,KAB. TANGERANG
19,"Apple iPhone 14 128GB, Midnight",106 Terjual,Rp13.999.000,KAB. TANGERANG
20,Apple iPhone 14 Pro Max 128GB Deep Purple,266 Terjual,Rp20.499.000,KOTA JAKARTA SELATAN
21,iPhone 11 64 GB - FULLSET - Apple - 64 GB - IMEI TERDAFTAR BEACUKAI,69 Terjual,Rp7.550.000,KOTA JAKARTA TIMUR
22,[Second] Iphone 11 64GB 128GB,117 Terjual,Rp9.249.000,KOTA DENPASAR
23,Apple iPhone 12 128GB Green,229 Terjual,Rp11.499.000,KOTA JAKARTA SELATAN
