,Title,Total,Price,Location
0,Nintendo Switch Joycon Thumb Grip - Analog Joycon - Silikon Cap Joycon,Terjual 1 rb+,Rp7.499,Jakarta Utara
1,DOBE TRIGGER KIT 8IN1 THUMB GRIP ANALOG CAPS DUALSENSE CONTROLLER PS5,Terjual 100+,Rp45.000,Jakarta Utara
2,SS17833 - HAND GRIP SILICONE WITH ANALOG CAP CASE CONTROLLER PS5 BLACK,Terjual 80+,Rp119.700,Jakarta Barat
3,ANALOG CAPS/THUMBSTICK GRIP JOYCON MONSTER HUNTER RISE NINTENDO SWITCH,Terjual 100+,Rp75.000,Jakarta Utara
4,Oculus Quest 2 Thumb Grip Cover Thumbgrip Analog Cap Controller Meta - Hitam,Terjual 14,Rp7.499,Jakarta Utara
5,Analog Caps / Silicon Joy Con / Thumb Grip / For Switch V1 / V2 / Lite,Terjual 2 rb+,Rp7.999,Jakarta Utara
6,Nintendo Switch Joycon Thumb Grip / Analog Joycon / Silikon Cap Joycon,Terjual 2 rb+,Rp10.000,Jakarta Selatan
7,Karet Silikon Cap Cover Analog Thumb Grip Stik PS3 PS4 Xbox Standar,Terjual 2 rb+,Rp5.000,Surabaya
8,PS5 PS4 Battle Grip Ares Thumb Grip Analog Caps Pelindung Analog,Terjual 80+,Rp25.000,Jakarta Utara
9,Skull & Co Thumb Grip Set Analog Caps For Xbox Series Pro Con PS4 PS5,Terjual 250+,Rp99.000,Jakarta Utara
10,Skull & Co. Thumb grip Analog Caps Xbox Series / PS4 / PS5 / Pro con,Terjual 250+,Rp105.000,Jakarta Selatan
11,Tombol Analog Stick Thumb Grip Silicone Cap Joycon Joy-Con Joy Con,Terjual 4 rb+,Rp8.000,Jakarta Pusat
12,IINE Silicon Case Silicone Pelindung Stik Stick for PS5+2 Analog Caps,Terjual 90+,Rp175.000,Jakarta Utara
13,Thumb Grip Analog Cap Joy Con Joycon Nintendo Switch Zelda HORI CN,Terjual 250+,Rp9.900,Jakarta Utara
14,PS5 Xbox S | X IIne Analog Cap Thumb Grip Pelingdung Analog 4 pcs L430,Terjual 80+,Rp85.000,Jakarta Utara
15,PGTECH SILICON ANALOG CAPS/THUMBSTICK/THUMB GRIP NINTENDO SWITCH/LITE,Terjual 60+,Rp50.000,Jakarta Utara
16,SS20001 - STEAM DECK DUST DIRT PROTECTOR WITH ANALOG CAP - STICKER,Terjual 21,Rp119.700,Jakarta Barat
17,JoyCon Thumb Grip Nintendo Switch Analog Cap Silikon Caps Joy Con - AA,Terjual 100+,Rp8.999,Jakarta Utara
18,SS17805 - 2 PCS PREMIUM DIAMOND ANALOG GRIP CAPS FOR PS5 - DS5 GREEN,Terjual 9,Rp47.800,Jakarta Barat
19,IINE Thumb Grip PS5 PS4 Analog Caps XBOX SERIES Pro Controller Switch - L511,Terjual 3,Rp85.000,Surabaya
20,PS5 Xbox S | X IIne Analog Caps Thumb Grip Pelindung Analog 4 pcs L512,Terjual 100+,Rp85.000,Jakarta Utara
21,Thumb Grip Analog Caps All Character Nintendo Switch / Lite,Terjual 500+,Rp10.000,Jakarta Utara
22,nintendo switch analog cap / thumb grip / silicon joycon / grips,Terjual 250+,Rp7.500,Tangerang
23,"Skull & Co. Skin, CQC and FPS Thumb Grips Joystick Cap Analog 6 pcs",Terjual 100+,Rp175.000,Jakarta Utara
24,NEW Nintendo Switch Analog Caps / Thumb Grips / Silicon joycon,Terjual 1 rb+,Rp10.000,Jakarta Selatan
25,DOBE Nintendo Switch Joycon Joy Con Sillicon Analog Cap Silicone Karet,Terjual 29,Rp25.000,Jakarta Utara
26,PS4 PS5 Xbox Series Theme Analog Thumb Grip Cap Controller Stick Stik,Terjual 100+,Rp7.500,Jakarta Selatan
27,PS4 PS5 Xbox Series Theme Analog Thumb Grip Cap Controller Stick Stik,Terjual 100+,Rp7.500,Jakarta Selatan
28,6pcs Analog Controller PS Vita Cap Thumb Stick Grip Thumbstick Cover,Terjual 250+,Rp19.000,Jakarta Selatan
29,analog cap karet pelindung analog joystik gamepad logitech 1 set isi 2,Terjual 19,Rp12.000,Jakarta Barat
30,SS17802 - 2 PCS SILICONE ANALOG CAP PROTECTOR FOR PS4 - PS5 BLACK,Terjual 100+,Rp14.700,Jakarta Barat
31,NINTENDO SWITCH ANIMAL CROSSING CLAW THUMB GRIP ANALOG SILICONE CAP,Terjual 25,Rp45.000,Bandung
32,SS17807 - ORIGINAL DOBE FULL SET ANALOG CAP KITS FOR PS5 - DS5 BLACK,Terjual 16,Rp49.700,Jakarta Barat
33,THUMB GRIP ZELDA NINTENDO SWITCH ANALOG CAP SILICONE THUMBGRIP,Terjual 90+,Rp39.000,Bandung
34,SS20002 - STEAM DECK KICK STAND HOLDER CASE WITH GLASS - ANALOG CAPS,Terjual 1,Rp249.700,Jakarta Barat
35,Nintendo Switch V1 V2 OLED Lite Analog Thumb Grip - Controller Cap,Terjual 70+,Rp3.500,Jakarta Selatan
36,Nintendo Switch Joycon Thumb Grip - Analog Joycon - Silikon Cap Joycon,Terjual 1 rb+,Rp7.499,Jakarta Utara
