,Title,Total,Price,Location
0,CAR CHARGER BASEUS 30W TYPE-C PD3.0+USB QUICK CHARGE 4.0 - Hitam,Terjual 10 rb+,Rp258.000,Tangerang
1,USAMS C29 Car Fast Charger Mobil Dual Port Digital Display,Terjual 4 rb+,Rp349.000,Tangerang
2,Philips DLP2552P Car Charger 38W PD QC 2 Ports Type C / DLP 2552,Terjual 100+,Rp139.000,Jakarta Pusat
3,Vention Car Charger Fast Quick Charge Samsung Apple Xiaomi Huawei,Terjual 1 rb+,Rp112.000,Jakarta Barat
4,Charger Mobil Aukey CC-A4 2 Port (PD + Quick Charge) - 500593,Terjual 750+,Rp649.000,Jakarta Barat
5,JOYSEUS QC3.0 Car Charger 3.1A Dual USB FAST Charging Black - CM0001,Terjual 10 rb+,Rp69.900,Jakarta Utara
6,CAR CHARGER BASEUS 30W TYPE-C PD3.0+USB QUICK CHARGE 4.0,Terjual 10 rb+,Rp258.000,Tangerang
7,ROBOT Car Charger Dual Port RT-C07 Casan Mobil Quick Charging 2.4A,Terjual 500+,Rp90.000,Jakarta Utara
8,Car Charger V-GeN VCC4-02 Fast Charging QC3.0 4 USB Port VGEN,Terjual 1 rb+,Rp112.000,Jakarta Pusat
9,Car charger mobil Samsung Original 45w super fast charging dual output,Terjual 500+,Rp145.000,Jakarta Timur
10,Car Charger Mobil Fast Charging 3.1A 4 Port USB 1.8M Qualcomm QC 3.0,Terjual 500+,Rp53.500,Jakarta Timur
11,Charger Mobil Car Charger 60W Output Quick Charger 3.0 Jete JX2,Terjual 250+,Rp239.900,Jakarta Pusat
12,Terlaris,Terjual 500+,Baseus Car Charger 30W Type C 1 pcs,Rp89.000
13,Car Charger Anker Powerdrive 2 Alloy Metal Mini - A2727,Terjual 500+,Rp349.000,Jakarta Utara
14,Charger Mobil Aukey CC-Q1 Enduro Duo Series USB-A - 501245,Terjual 500+,Rp325.000,Dilayani Tokopedia
15,BASEUS 65W CAR CHARGER MOBIL FAST CHARGING TYPE C PD+USB QUICK CHARGE,Terjual 4 rb+,Rp459.000,Tangerang
16,BASEUS CAR CHARGER DUAL PORT CHARGER MOBIL SAVER FAST CHARGING 3.1A,Terjual 4 rb+,Rp55.000,Jakarta Utara
