,Title,Total,Price,Location
0,NINTENDO SWITCH CHARGING DOCK/DOCKING+AC ADAPTOR/ADAPTER+HDMI CABLE - DOCKING ONLY,Terjual 70+,Rp479.000,Jakarta Utara
1,Nintendo Switch DOBE Charging Dock Joy-Con Controller,Terjual 100+,Rp99.000,Jakarta Barat
2,DOBE MULTI CHARGING DOCK JOY CON / JOYCON NINTENDO SWITCH,Terjual 80+,Rp139.000,Jakarta Utara
3,Nintendo Switch Pro Controller Original Pabrik,Terjual 250+,Rp349.000,Jakarta Barat
4,JOYCON / JOY CON / JOY PAD WIRED CONTROLLER,Terjual 22,Rp265.000,Jakarta Utara
5,NINTENDO SWITCH DOBE Charging Dock Joy-Con & Pro Controller,Terjual 750+,Rp125.000,Jakarta Utara
6,Nintendo Switch Dobe Joycon Joy Con Stik Stick + Charging Dock Tns1191,Terjual 50+,Rp304.000,Jakarta Utara
7,Nintendo Switch Dobe Joycon Joy Con Stik Stick + Charging Dock Tns1191,Terjual 50+,Rp304.000,Jakarta Utara
8,Dock + Kabel HDMI + Adaptor Charger Nintendo Switch Original,Terjual 100+,Rp60.000,Madiun
9,Nintendo Switch Charging Dock Joycon,Terjual 40+,Rp145.000,Jakarta Pusat
10,Dobe Nintendo Switch Charging Dock TNS-855,Terjual 8,Rp70.000,Jakarta Utara
11,Dobe Nintendo Switch Charging Dock TNS-855,Terjual 8,Rp70.000,Jakarta Utara
12,Nintendo Switch Lite NSL Charging Dock (For Switch Lite Only),Terjual 30+,Rp89.000,Jakarta Utara
13,Desktop charger dock 6in1 ipega pg-9187 for nitendo switch joycon,Terjual 40+,Rp139.500,Jakarta Utara
14,Dobe Charging Charger Dock Dok Joycon Joy con Nintendo Switch,Terjual 100+,Rp99.000,Surabaya
15,Hagibis Switch Dock for Nintendo Switch 65W GaN fast charger 4K HDMI,Terjual 1,Rp720.000,Jakarta Barat
16,AC ADAPTOR / ADAPTER CHARGER NINTENDO SWITCH (SUPPORT DOCKING),Terjual 70+,Rp199.000,Jakarta Utara
17,nintendo switch travel storage eva case,Terjual 80+,Rp599.000,Jakarta Utara
18,FRONT COVER PLATE FOR CHARGING DOCK / DOCKING NINTENDO SWITCH OLED - SPLATON OLED,Terjual 14,Rp98.000,Jakarta Utara
19,Nintendo Switch Dobe Charging Dock Joycon + Pro Controller TNS-879,Terjual 30+,Rp119.000,Jakarta Utara
20,PROMO !! Gulikit Nintendo Switch Joycon Charging Dock Original 4 Ports,Terjual 23,Rp154.000,Jakarta Barat
21,Dudukan Wall Mount Charging Dock Nintendo Switch Stand Holder 3d print,Terjual 30+,Rp90.000,Surakarta
22,Nintendo Switch Charger Dock Joycon Joy-Con Pro Controller,Terjual 100+,Rp150.000,Jakarta Pusat
23,IPEGA PG9186 PG-9186 Charging Charger for Nintendo switch Joycon DOCK,Terjual 40+,Rp82.490,Jakarta Barat
24,IPEGA PG9186 PG-9186 Charging Charger for Nintendo switch Joycon DOCK,Terjual 40+,Rp82.490,Jakarta Barat
25,IPEGA PG9186 PG-9186 Charging Charger for Nintendo switch Joycon DOCK,Terjual 40+,Rp82.490,Jakarta Barat
26,Nintendo Switch Dobe Charging Dock with Game Card Slot TNS-0122,Terjual 70+,Rp109.000,Jakarta Utara
27,Nintendo Switch / Switch Lite Adjustable Charging Charging Stand Dock,Terjual 50+,Rp129.000,Jakarta Utara
28,DOBE Nintendo Switch Lite Charging Dock Portable,Terjual 18,Rp75.000,Jakarta Selatan
29,Dobe Original Nintendo Switch Charging Dock TNS-855,Terjual 21,Rp44.900,Tangerang
30,Charger Dock Joy-Con Nintendo Switch Docking Console Ipega PG-9186C,Terjual 7,Rp80.000,Jakarta Barat
31,nintendo switch lite,Terjual 80+,Rp3.300.000,Jakarta Selatan
32,Charging Dock Nintendo Switch Stand Holder Charge IPEGA PG-9186,Terjual 7,Rp125.000,Kab. Tangerang
