,Title,Total,Price,Location
0,iPlay Charging Dock For Controller PS5 VR2 / Tempat Cas stik PS 5 VR 2,Terjual 3,Rp175.000,Jakarta Utara
1,Dual Charging Dock USB Charger Station Stik Stick PS4 LED DOBE,Terjual 250+,Rp92.500,Jakarta Barat
2,KABEL USB 2.0 TO MINI USB PIN 5 CHARGE STICK PS3 ESIA,Terjual 2 rb+,Rp15.000,Jakarta Timur
3,Kabel USB Charger Stick PS4 Ori Original Foxcon,Terjual 500+,Rp27.500,Jakarta Pusat
4,Stik ps4 ori pabrik + charging dock ps4,Terjual 10,Rp192.500,Jakarta Barat
5,Stik ps4 ori pabrik + charging dock ps4,Terjual 10,Rp192.500,Jakarta Barat
6,DOBE charging dock charger stik stick dualshock DS4 PS4 PS 4 slim pro,Terjual 100+,Rp49.900,Surabaya
7,charging dock charger cas kabel usb stik stick PLAYSTATION PS 3 PS3,Terjual 250+,Rp49.900,Surabaya
8,Dobe PS5 Charging dock Stik TP5 0521B - Dobe Fast Charging dock PS 5,Terjual 7,Rp165.000,Jakarta Barat
9,PS5 PS 5 Sparkfox Dual Charge Dock Charging Cas Stik Charging Station,Terjual 12,Rp350.000,Jakarta Utara
10,Charging Dock Stik PS3 - Charger Stand Stick PS 3 High Quality 100%,Terjual 60+,Rp45.600,Bandung
11,charging dock charger docking usb controller stik stick PS 3 PS3 cfw,Terjual 9,Rp49.900,Surabaya
12,Controller Charging Seat for ps4 / Dual charging dock stick ps 4 ds4,Terjual 100+,Rp87.500,Jakarta Barat
13,OIVO charging dock charger stik stick DS4 PS4 PS 4 fat slim pro,Terjual 100+,Rp59.900,Surabaya
14,OIVO charging dock charger stik stick DS4 PS4 PS 4 fat slim pro,Terjual 100+,Rp59.900,Surabaya
15,Stick PS3 Wireless Ori Original Pabrik Warna Hitam + Charger USB,Terjual 4,Rp110.000,Tangerang Selatan
16,CHARGING DOCK MULTI FUNCTION STIK PS4,Terjual 50+,Rp99.900,Jakarta Barat
17,Kabel Usb Charger Stik Stick PS3 Sony ORIGINAL foxconn charging cash,Terjual 1 rb+,Rp7.490,Jakarta Barat
18,Kabel USB Charger Stik Stick PS4 PS 4 Original Foxconn PS3 PS 3 PSP,Terjual 13,Rp12.900,Jakarta Pusat
