,Title,Total,Price,Location
0,Deep Cool X6 Multi Core - Notebook Cooler Cooling Pad Laptop Deepcool,Terjual 100+,Rp279.000,Jakarta Barat
1,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Terjual 9 rb+,Rp147.900,Bandung
2,ICE COOREL Cooling Pad / Cooler Pad Laptop Gaming 6 Fan,Terjual 1 rb+,Rp238.000,Jakarta Barat
3,Deep Cool X8 Multi Core - Notebook Cooler Cooling Pad Laptop Deepcool,Terjual 90+,Rp395.000,Jakarta Barat
4,Cooling Pad | Kipas Pendingin | Cooler Laptop 2 Fan Q100,Terjual 500+,Rp149.000,Jakarta Barat
5,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Terjual 10 rb+,Rp58.888,Dilayani Tokopedia
6,NYK Nemesis Cooling Pad X8 ARTEMIS,Terjual 1 rb+,Rp380.000,Jakarta Pusat
7,Stand Cooling Pad Cooler Kipas pendingin Laptop Notebook 2 Kipas N99,Terjual 2 rb+,Rp88.888,Depok
8,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Terjual 9 rb+,Rp147.900,Bandung
9,M-Tech Original Cooling Pad Kipas Pendingin Laptop CP01,Terjual 1 rb+,Rp68.600,Jakarta Pusat
10,Cooler Master NOTEPAL X-SLIM II Cooling Pad Kipas Laptop Notebook,Terjual 2 rb+,Rp187.000,Jakarta Barat
11,NYK Nemesis Cooling Pad Winterstorm X-3,Terjual 2 rb+,Rp160.000,Jakarta Pusat
12,M-Tech Original Cooling Pad Kipas Pendingin Laptop Kepiting 919,Terjual 500+,Rp25.000,Jakarta Pusat
13,Unitech Cooling Pad Coolingpad Cooler Laptop 2 Fan LED A2 Maxcool 9,Terjual 750+,Rp249.000,Jakarta Utara
14,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Terjual 7 rb+,Rp120.000,Jakarta Barat
15,Cooling Pad Gaming LED RGB Kipas Pendingin Laptop Cooler Turbo Silent,Terjual 250+,Rp370.900,Bandung
16,cooling pad suncell x6 - silent,Terjual 250+,Rp800.000,Surabaya
17,Gaming Cooling Pad Laptop - Stand Kipas Pendingin Laptop 6 Fan - Q3,Terjual 250+,Rp135.000,Surabaya
18,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - NC-32,Terjual 2 rb+,Rp28.900,Jakarta Barat
19,UGREEN 20642 Foldable Holder Cooling Dudukan Pad Meja Laptop Stand,Terjual 100+,Rp275.000,Jakarta Utara
20,NYK Nemesis X8 / X-8 Artemis RGB Cooling Pad Cooler Pad,Terjual 100+,Rp335.000,Jakarta Utara
21,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Terjual 4 rb+,Rp72.000,Jakarta Utara
22,NYK Winterstorm X3 Gaming Cooler Pad 6 Fan Cooling Pad Notebook X-3,Terjual 500+,Rp159.000,Bandung
23,"Cooler Master Notepal CMC3 Silent Cooling Pad Fan Laptop 14 -15""",Terjual 250+,Rp115.000,Jakarta Pusat
24,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad,Terjual 2 rb+,Rp28.900,Jakarta Barat
25,Notebook Cooling Pad CLIPtec RZC180 6 Fan- Cooling Pad CLIPtec RZC 180,Terjual 250+,Rp150.000,Jakarta Barat
26,Deep Cool WindPal Mini Laptop Cooling Pad Fan Coolingpad Deepcool,Terjual 6 rb+,Rp109.000,Jakarta Barat
