,Title,Total,Price,Location
0,Gamepad Bluetooth Ipega 9023 Joystick Gaming Controller Android,Terjual 24,Rp550.000,Jakarta Utara
1,Joystick Bluetooth Android Gamepad Bluetooth VR Box Controller 050,Terjual 100+,Rp165.000,Jakarta Barat
2,Rexus Gladius GX300 / GX 300 Bluetooth Gamepad / Joystick / Stick,Terjual 50+,Rp395.000,Jakarta Pusat
3,Joystick Bluetooth Android Gamepad Bluetooth VR Box Controller 059,Terjual 2,Rp145.000,Jakarta Barat
4,Gamepad Bluetooth Controller for Android Terios T3 With Holder,Terjual 10 rb+,Rp79.500,Jakarta Utara
5,GAMEPAD X3 JOYSTICK Bluetooth WIRELESS SMARTPHONE ANDROID HOLDER HP PC,Terjual 6 rb+,Rp84.998,Jakarta Pusat
6,GAMEPAD X3 JOYSTICK Bluetooth WIRELESS SMARTPHONE ANDROID HOLDER HP PC,Terjual 6 rb+,Rp84.998,Jakarta Pusat
7,VR BOX Stick / Joystick Bluetooth Gamepad Remote Controller,Terjual 100+,Rp25.500,Jakarta Barat
8,Gamepad X3 Bluetooth Wireless / Joystick Gaming Bluetooth X3,Terjual 500+,Rp89.000,Surabaya
9,X3 gamepad joystick bluetooth plus holder HP - X3 Wireless controller,Terjual 1 rb+,Rp85.000,Jakarta Utara
10,Rexus Gladius GX300 / GX 300 Bluetooth Gamepad / Joystick / Stick,Terjual 50+,Rp395.000,Jakarta Pusat
11,Gamepad Joystick bluetooth Plus Holder HP/Stik GameBluetooth Hp Laptop,Terjual 100+,Rp88.900,Jakarta Barat
12,Gamepad Joystick bluetooth Plus Holder HP/Stik GameBluetooth Hp Laptop,Terjual 100+,Rp88.900,Jakarta Barat
13,Gamepad Joystick bluetooth Plus Holder HP/Stik GameBluetooth Hp Laptop,Terjual 100+,Rp88.900,Jakarta Barat
14,Gamepad Rexus GX300 Joystick Bluetooth GX-300 Wireless Dual Connection,Terjual 15,Rp375.000,Depok
15,Gamepad Ipega 9083S Bluetooth Joystick,Terjual 250+,Rp320.000,Jakarta Barat
16,X3 Gamepad Joystick Bluetooth Plus Holder HP - X3 Wireless Controller,Terjual 30+,Rp80.900,Jakarta Utara
17,Gamepad Android Foyu Bluetooth Joystick PC Wireless Controller,Terjual 500+,Rp200.000,Jakarta Pusat
18,HT-Joystick Bluetooth Android Gamepad Bluetooth VR Box Controller 050,Terjual 7,Rp158.888,Jakarta Barat
