,Title,Total,Price,Location
0,Backpack Recon Gaming Lenovo Legion 15.6 inch Original Free Cover Bag,Terjual 40+,Rp503.500,Jakarta Timur
1,Predator Gaming Utility Backpack,Terjual 2,Rp1.499.000,Jakarta Timur
2,Asus ROG Ranger Gaming Backpack BP2701 for 17 Inch Original,Terjual 30+,Rp2.095.000,Jakarta Timur
3,Redragon Gaming Backpack TARDIS 2 - GB-94,Terjual 30+,Rp670.000,Jakarta Utara
4,Backpack Targus Dell Gamer,Terjual 30+,Rp469.000,Jakarta Timur
5,Tas Gaming Dota 2 Dota2 CS:GO Big Bag Backpack Steelseries Black,Terjual 30+,Rp419.000,Jakarta Barat
6,Tas ransel urban factor - Aphelion Gaming | Tas laptop | Backpack,Terjual 100+,Rp634.666,Depok
7,Tas Rog Phone 6 Pro X Onic Limited Edition | Backpack Gaming Original,Terjual 17,Rp235.000,Tangerang Selatan
8,Tas Infinity Backpack Virtus Pro | Gaming Bag Dota 2 CS:GO Baju Kaos,Terjual 9,Rp250.000,Jakarta Barat
9,NEW Tas Ransel Laptop Backpack 15 Incs Acer Predator Nitro TUF Gaming,Terjual 30+,Rp109.999,Jakarta Pusat
10,Backpack Recon Gaming Lenovo Legion 15.6 inch Original Free Cover Bag,Terjual 40+,Rp503.500,Jakarta Timur
11,Tas Gaming Dota 2 Dota2 CS:GO Backpack Big ROG Republic of Gamer Bag,Terjual 40+,Rp419.000,Jakarta Barat
12,Lenovo Legion Active Gaming Backpack,Terjual 40+,Rp575.000,Jakarta Pusat
13,Lenovo Legion Active Gaming Backpack,Terjual 40+,Rp575.000,Jakarta Pusat
14,Lenovo Legion Active Gaming Backpack,Terjual 40+,Rp575.000,Jakarta Pusat
15,Torch Tas Ransel Lipat Gamer - Foldable Gaming Backpack Guild - Black + Loot,Terjual 10,Rp508.000,Depok
16,Gaming Backpack Dell GM1720PM Fit Up 17 Inch Original Free Rain Cover,Terjual 7,Rp799.111,Jakarta Timur
17,Lenovo Legion Active Gaming Backpack,Terjual 40+,Rp575.000,Jakarta Pusat
18,Tas Ransel gaming Laptop Backpack Asus ROG Backpack BP2500 Original,Terjual 5,Rp1.379.000,Jakarta Timur
19,Tas ransel urban factor - Aphelion Gaming | Tas laptop | Backpack,Terjual 100+,Rp634.666,Depok
20,Sisa 3,Digital Zone,DELL GAMING BACKPACK 15 - TAS RANSEL,Rp625.000
21,Sisa 3,Digital Zone,DELL GAMING BACKPACK 15 - TAS RANSEL,Rp625.000
22,Sisa 3,Digital Zone,DELL GAMING BACKPACK 15 - TAS RANSEL,Rp625.000
23,Tas Laptop Original HP Backpack Pavilion Gaming 300 17inch,Terjual 2,Rp291.000,Jakarta Selatan
24,TAS LAPTOP NOTEBOOK BACKPACK GAMING 14 15 17 IN HP PAVILION 300,Terjual 2,Rp249.999,Jakarta Pusat
25,TAS LAPTOP NOTEBOOK BACKPACK GAMING 14 15 17 IN HP PAVILION 300,Terjual 2,Rp249.999,Jakarta Pusat
26,TAS LAPTOP NOTEBOOK BACKPACK GAMING 14 15 17 IN HP PAVILION 300,Terjual 2,Rp249.999,Jakarta Pusat
27,TAS LAPTOP NOTEBOOK BACKPACK GAMING 14 15 17 IN HP PAVILION 300,Terjual 2,Rp249.999,Jakarta Pusat
28,Fantech BG-983 - Gaming Backpack,Terjual 1,Rp499.000,Cashback 5%
29,TAS LAPTOP GAMING BACKPACK PREDATOR UTILITY ORIGINAL,Terjual 16,Rp3.712.500,Jakarta Pusat
