,Title,Total,Price,Location
0,Monster USB connection 7.1 gaming Rgb headphones Computer Headset,Terjual 750+,Rp4.980.000,Jakarta Barat
1,Monster N1S Wired USB 7.1 Gaming Headset / Headphone,Terjual 100+,Rp1.660.000,Jakarta Barat
2,Xiberia Nubwo V20 Gaming Headset,Terjual 250+,Rp999.000,Jakarta Barat
3,Logitech G435 Headset Gaming Bluetooth Wireless Ultra-light,Terjual 1 rb+,Rp1.069.000,Dilayani Tokopedia
4,ONIKUMA X11 Cat Ears Gaming Headset,Terjual 30+,Rp669.000,Tangerang
5,Razer Kraken X - Multi Platform Black Gaming Headset,Terjual 4 rb+,Rp1.065.000,Dilayani Tokopedia
6,"Logitech Pro Gaming Headset Surround Sound, Noise Cancelling E-Sports",Terjual 1 rb+,Rp1.699.000,Dilayani Tokopedia
7,"Logitech Pro Gaming Headset Surround Sound, Noise Cancelling E-Sports",Terjual 1 rb+,Rp1.699.000,Dilayani Tokopedia
8,Mediatech Gaming Headset / Headphone Zeus MSH 016 - Merah,Terjual 5 rb+,Rp299.000,Jakarta Utara
9,Digital Alliance Headset Gaming Delta Art Plus Skarlet,Terjual 100+,Rp269.000,Jakarta Pusat
10,Cooler Master MasterPulse MH751 [MH-751] - Headset Gaming,Terjual 250+,Rp654.500,Jakarta Utara
11,Razer BlackShark V2 X 7.1 Surround Sound Gaming Headset Black Shark,Terjual 250+,Rp1.299.000,Jakarta Barat
12,Fantech ALTO 7.1 HG26 RGB Headset Gaming Multiplatform,Terjual 40+,Rp649.000,Jakarta Pusat
13,Razer Barracuda X - Wireless Multi-platform Gaming Headset (2022),Terjual 250+,Rp1.699.000,Dilayani Tokopedia
14,Headset Gaming Komic HG-K602-RGB Breathing PC/Mobile Free Spliter Jack,Terjual 500+,Rp399.000,Jakarta Pusat
15,Monster N3 Wired USB 7.1 Gaming Headset / Headphone RGB,Terjual 60+,Rp1.918.000,Jakarta Barat
16,Razer Hammerhead True Wireless X TWS Bluetooth Headset Gaming Earbuds,Terjual 250+,Rp1.199.000,Jakarta Barat
17,HEADSET GAMING SOYTO SY830MV STEREO BASS WITH LED LIGHT FOR PC LAPTOP - W-160,Terjual 8,Rp79.900,Jakarta Barat
18,"LOGITECH G435 LightSpeed Wireless Gaming Headset G 435 - White, Headset Only",Terjual 250+,Rp999.000,Jakarta Barat
19,HEADSET GAMING ONIKUMA K5 PRO SUPER BASS,Terjual 60+,Rp660.000,Tangerang
20,HEADSET GAMING ONIKUMA K5 PRO SUPER BASS,Terjual 60+,Rp660.000,Tangerang
21,Kingston HyperX Cloud II Pro Gaming Headset 7.1 Surround Sound Cloud 2,Terjual 1 rb+,Rp1.280.000,Jakarta Barat
22,Earphone Gaming | Headset Gaming JETE-X HX10 Mic Adjustable - Original,Terjual 90+,Rp249.900,Jakarta Pusat
