,Title,Total,Price,Location
0,JOYCON / JOY CON / JOY PAD WIRED CONTROLLER,Terjual 22,Rp265.000,Jakarta Utara
1,"I-ND PRO JOYCON / JOY CON WIRELESS CONTROLLER SWITCH V1,V2,OLED",Terjual 100+,Rp599.000,Jakarta Utara
2,JOYCON / JOY CON / JOYPAD Nintendo Switch Wireless Controller Original,Terjual 100+,Rp400.000,Jakarta Barat
3,IINE JOYCON / JOY CON / JOYPAD WIRELESS CONTROLLER NINTENDO SWITCH,Terjual 100+,Rp625.000,Jakarta Utara
4,Nintendo Switch DOBE Charging Dock Joy-Con Controller,Terjual 100+,Rp99.000,Jakarta Barat
5,Nintendo Switch DOBE Charging Dock Joy-Con Controller,Terjual 100+,Rp99.000,Jakarta Barat
6,Nintendo Switch DOBE Charging Dock Joy-Con Controller,Terjual 100+,Rp99.000,Jakarta Barat
7,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
8,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
9,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
10,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
11,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
12,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
13,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
14,Joy Pad L R Joy Con Joycon L R Wired Controller Grip Nintendo Switch,Terjual 3,Rp248.500,Rp399.000
15,JOYCON/JOY CON/JOYPAD WIRELESS CONTROLLER 3rd PARTY NINTENDO SWITCH,Terjual 250+,Rp449.000,Jakarta Utara
