,Title,Total,Price,Location
0,Vention Kabel Data Micro Usb 3A Fast Charging Quick Charge Android,Terjual 10 rb+,Rp18.000,Jakarta Barat
1,"KABEL DATA LED BASEUS HALO FAST CHARGING IPHONE/MICRO USB/TYPE-C 1M - Hitam, TYPE C",Terjual 50 rb+,Rp109.000,Tangerang
2,USAMS U71 Kabel Data Fast Charging Type C to Type C PD 100W,Terjual 10 rb+,Rp175.000,Tangerang
3,HYDRA+ Kabel Data USB to Micro USB 2.4A Fast Charging Android 1M,Terjual 1 rb+,Rp69.000,Jakarta Barat
4,USAMS U26 KABEL DATA TYPE C FAST CHARGING & LED INDIKATOR,Terjual 10 rb+,Rp39.000,Tangerang
5,BASEUS KABEL DATA TYPE-C TO TYPE-C PD 2.0 60W FAST CHARGING 2M,Terjual 3 rb+,Rp59.000,Dilayani Tokopedia
6,KABEL DATA LED BASEUS HALO FAST CHARGING TYPE C,Terjual 750+,Rp45.000,Dilayani Tokopedia
7,KABEL DATA LED BASEUS HALO FAST CHARGING TYPE C,Terjual 750+,Rp45.000,Dilayani Tokopedia
8,SAMSUNG Original Super Fast Charging Data Cable USB 3.1 Type C to C,Terjual 1 rb+,Rp50.000,Jakarta Barat
9,BASEUS CAFULE USB TYPE C KABEL DATA FAST CHARGING XIAOMI SAMSUNG CABLE,Terjual 2 rb+,Rp50.000,Jakarta Utara
10,BASEUS KABEL DATA TYPE-C TO TYPE-C PD 2.0 60W FAST CHARGING 1M,Terjual 3 rb+,Rp48.000,Dilayani Tokopedia
11,Baseus Kabel Data Charger 2M 20W USB TYPE C - LIGHTNING iPhone 12 PD,Terjual 1 rb+,Rp89.000,Kab. Tangerang
12,Kabel Data Oppo F11 F11 Pro ORIGINAL 100% VOOC Flash Charge Micro USB,Terjual 1 rb+,Rp25.000,Jakarta Pusat
13,Kabel Data Macaron V8 Micro USB Support Fast Charging,Terjual 9 rb+,Rp6.500,Jakarta Barat
14,Kabel Data Macaron V8 Micro USB Support Fast Charging,Terjual 9 rb+,Rp6.500,Jakarta Barat
15,CIJI KABEL DATA 6A FAST CHARGING 120W MICRO TYPE-C IOS /KABEL CHARGER,Terjual 100+,Rp199.000,Tangerang
16,USAMS Icy Series Kabel Data Fast Charging Type C to Type C PD 100W,Terjual 2 rb+,Rp199.000,Tangerang
17,Kabel Data Charger Fast Charge USB to Type C Samsung Original 100%,Terjual 1 rb+,Rp199.000,Tangerang
18,Kabel Data Samsung Fast Charging Ori USB 100% samsung Type C - Hitam,Terjual 4 rb+,Rp15.000,Jakarta Pusat
19,UGREEN Kabel Data USB to Type C Fast Charging Data Cable 3A,Terjual 100+,Rp84.900,Bandung
20,UNEED Kabel Data Type C to Lightning Iphone Fast Charging - UCB53Ci,Terjual 750+,Rp159.000,Jakarta Pusat
21,USAMS U26 KABEL DATA TYPE C FAST CHARGING & LED INDIKATOR,Terjual 10 rb+,Rp39.000,Tangerang
22,Uneed Nylon Kabel Data Micro USB 2M Fast Charging 2.1A - UCB01.1M,Terjual 4 rb+,Rp99.000,Jakarta Pusat
23,Uneed Nylon Kabel Data Micro USB 2M Fast Charging 2.1A - UCB01.1M,Terjual 4 rb+,Rp99.000,Jakarta Pusat
24,"UNEED Kabel Data Type C, Micro USB Fast Charging 2A - UCB49",Terjual 10 rb+,Rp49.000,Jakarta Pusat
25,KABEL DATA BASEUS USB TYPE C FAST CHARGER CABLE PREMIUM ORIGINAL TIPE,Terjual 4 rb+,Rp50.000,Tangerang Selatan
26,Kabel Data Fast Charging Xiaomi Ori 100% USB Original Type C,Terjual 2 rb+,Rp25.000,Jakarta Pusat
27,Vivan SM200S 2m Kabel Data Cable Micro USB Fast Charging 2A Android,Terjual 1 rb+,Rp26.750,Jakarta Pusat
28,Vivan SM200S 2m Kabel Data Cable Micro USB Fast Charging 2A Android,Terjual 1 rb+,Rp26.750,Jakarta Pusat
29,Kabel Data Charger iPhone 11 Pro Max USB Type C to Lightning Cable 12W,Terjual 3 rb+,Rp12.000,Jakarta Utara
30,KABEL DATA XIAOMI REDMI TYPE USB C 5A TURBO CHARGE 33W ORIGINAL 100%,Terjual 750+,Rp92.000,Jakarta Barat
31,Ugreen Kabel Data USB-A to Micro USB Fast Charging 0.25/1m/2m/3m US289 - 0.25m,Terjual 750+,Rp23.000,Dilayani Tokopedia
32,Kabel Data Fast Charging USB Type-C Tipe C 2 Meter - OneFiber OF19,Terjual 1 rb+,Rp52.750,Bandung
33,Kabel Data Micro USB Support Fast Charging,Terjual 2 rb+,Rp6.500,Jakarta Barat
