,Title,Total,Price,Location
0,Kepala Charger LENYES LCH019 12W 2.4A 2 USB Adaptor Original,Terjual 4 rb+,Rp129.000,Tangerang
1,Adaptor Kepala Charger GAN PD Type C FAST Charging 33W 65W 100W -200W,Terjual 250+,Rp239.000,Kab. Tangerang
2,ROBOT Charger RT-L1 Single Port Quick Charging Micro USB Original,Terjual 750+,Rp60.000,Jakarta Utara
3,ROBOT RT-K4 KEPALA CHARGER SINGLE USB PORT 1A SAMSUNG ANDROID CHARGING,Terjual 2 rb+,Rp49.000,Jakarta Utara
4,Vention Adaptor Kepala Charger Quick Charger 3.0 Type C PD Fast Charge,Terjual 500+,Rp116.500,Jakarta Barat
5,Kepala Charger 3 Port USB Fast Quick Charge 2.4A 18W Qualcomm QC 3.0,Terjual 6 rb+,Rp22.888,Depok
6,Kepala Charger 3 Port USB Fast Quick Charge 2.4A 18W Qualcomm QC 3.0,Terjual 6 rb+,Rp22.888,Depok
7,ROBOT Adaptor Kepala Charger RT-K8 Batok Casan HP 10W Quick Charging,Terjual 1 rb+,Rp59.000,Jakarta Utara
8,"ADAPTOR CHARGER 25W SAMSUNG ORIGINAL, KEPALA CHARGER SAMSUNG 25W ORI",Terjual 500+,Rp160.000,Tangerang
9,Terlaris,Terjual 1 rb+,Baseus Kepala Charger Type C 20W + Kabel Data Type C to IPhone 1 pcs,Rp159.000
10,Robot RT-K6 Adaptor Kepala Charger 2.4A Dual USB Output Fast Charging,Terjual 4 rb+,Rp23.900,Jakarta Barat
11,ROBOT Adaptor Kepala Charger RT-K4 Travel Charger Batok Casan HP,Terjual 2 rb+,Rp49.000,Jakarta Utara
12,Batok Adaptor Kepala Charger USB C iPhone 11 12 Pro Max Ori 99,Terjual 3 rb+,Rp23.000,Jakarta Utara
13,Adapter / Kepala Charger Baseus 24 W Quick Charger QC 3.0,Terjual 1 rb+,Rp95.000,Dilayani Tokopedia
14,KEPALA CHARGER BASEUS 65W GAN FAST CHARGER 4.0 3.0 PD AFC SCP TYPE C,Terjual 10 rb+,Rp1.399.000,Tangerang
15,KEPALA CHARGER BASEUS 65W GAN FAST CHARGER 4.0 3.0 PD AFC SCP TYPE C,Terjual 10 rb+,Rp1.399.000,Tangerang
16,Vention Kepala Charger Multi 65W Mac Android Gan Fast Charger PD Usb C,Terjual 500+,Rp298.800,Jakarta Barat
17,KEPALA CHARGER BASEUS 100W GAN3 PRO FAST CHARGE 4IN1 ADAPTOR USB TYPEC,Terjual 1 rb+,Rp1.999.000,Tangerang
18,Kepala Charger GAN MCDODO Dual Port FAST Charging 33W 65W 100W - 120W - CH-0151 GAN 33W,Terjual 80+,Rp170.000,Kab. Tangerang
19,KEPALA CHARGER TYPE C PD BASEUS QUICK CHARGER 25W SAMSUNG XIAOMI PAD,Terjual 10 rb+,Rp419.000,Tangerang
20,Adaptor Kepala Charger Robot 10W 2A USB Adapter Oppo Vivo Samsung,Terjual 3 rb+,Rp22.500,Jakarta Barat
21,Terlaris,Terjual 500+,Baseus Kepala Charger Type C 25W Quick Charge 1 pcs,Rp169.000
22,Robot Charger RT-K8 10W 5V2A / 5V 2A Kepala Adaptor RT K8 Gadget CCTV,Terjual 250+,Rp39.900,Jakarta Barat
23,ROBOT Adaptor Kepala Charger Dual Port RT-K6 Casan HP Quick Charging,Terjual 250+,Rp59.000,Jakarta Utara
24,Kepala Charger Samsung Note 10 25W USB-C to Type C Fast Charging,Terjual 100+,Rp50.000,Jakarta Pusat
25,Wall Charger Kepala Adaptor iPhone 20W/10W UGREEN USB Type C PD 4.0 QC,Terjual 6 rb+,Rp75.000,Jakarta Barat
26,Wall Charger Kepala Adaptor iPhone 20W/10W UGREEN USB Type C PD 4.0 QC,Terjual 6 rb+,Rp75.000,Jakarta Barat
27,Kepala Charger PROLiNK 33W 2 Port QC 3.0 Fast Charging iPhone PTC23301,Terjual 250+,Rp460.000,Jakarta Utara
28,VIVAN ROBOT RT-K8 Charger Adaptor 10W 5V/2A Kepala Charger - ORIGINAL,Terjual 100+,Rp20.000,Kab. Tangerang
