,Title,Total,Price,Location
0,Paket Combo Gaming Keyboard RGB with Mouse Gaming Bundle,Terjual 1 rb+,Rp99.500,Bandung
1,Paket Keyboard Gaming dan Mouse ZENOM G21B RGB USB Cable,Terjual 80+,Rp200.000,Jakarta Pusat
2,"LEAVEN K620 hotswap keyboard mechanical gaming TKL RGB typec mekanikal - hitam putih, blue switch",Terjual 500+,Rp269.000,Kab. Tangerang
3,Rexus Daiva RX-D68SF South Facing Keyboard Gaming RXD68 SF/ D68 RGB,Terjual 100+,Rp549.000,Jakarta Barat
4,Logitech G213 Prodigy Gaming Keyboard,Terjual 500+,Rp619.000,Jakarta Utara
5,GAMEN Titan Elite Mechanical Pluggable Switch Gaming Keyboard WiredRGB,Terjual 3 rb+,Rp500.000,Jakarta Utara
6,Keyboard Gaming / Gaming Keyboard HP K300 - RGB Membrane Keyboard USB,Terjual 2 rb+,Rp245.000,Jakarta Pusat
7,Logitech G213 Prodigy Keyboard Gaming RGB Lighting,Terjual 3 rb+,Rp1.099.000,Dilayani Tokopedia
8,Keyboard Gaming NYK TKL K-01,Terjual 1 rb+,Rp145.000,Jakarta Pusat
9,KEYBOARD INFORCE GAMING KB1822 1822 ILLUMINATED WATERPROOF WIRED,Terjual 250+,Rp106.000,Dilayani Tokopedia
10,Redragon Mechanical Gaming Keyboard DRAGONBORN WHITE - K630W,Terjual 2 rb+,Rp450.000,Jakarta Utara
11,Keyboard Gaming MSI Mechanical Vigor GK30 RGB,Terjual 80+,Rp415.000,Jakarta Pusat
12,Keyboard Gaming Multimedia Membrane AULA F2028 – RGB Macro Software,Terjual 1 rb+,Rp335.000,Jakarta Pusat
13,Aula Gaming Keyboard 61% Wired Membrane F3061 Led RGB Running,Terjual 60+,Rp745.000,Jakarta Pusat
14,Rexus Legionare MX5.2 - Gaming Keyboard,Terjual 250+,Rp379.000,Jakarta Barat
15,Rexus Keyboard Gaming K9E,Terjual 500+,Rp269.000,Jakarta Utara
16,Keyboard Gaming NYK Nemesis Eris K-06 RGB Wired With Phone Holder - Putih,Terjual 25,Rp135.000,Jakarta Pusat
17,Redragon Mechanical Gaming Keyboard 60% WHITE GREY RAINBOW FIZZ-K617-R,Terjual 750+,Rp420.000,Jakarta Utara
18,Redragon Mechanical Gaming Keyboard 60% WHITE GREY RAINBOW FIZZ-K617-R,Terjual 750+,Rp420.000,Jakarta Utara
19,Logitech G213 Prodigy Keyboard Gaming RGB Lighting,Terjual 3 rb+,Rp1.099.000,Dilayani Tokopedia
20,"Keyboard Gaming NYK Eris K06, NYK K-06 Eris / NYK K06 Eris / NYK K 06",Terjual 250+,Rp120.000,Jakarta Pusat
21,Gamen Titan III / 3 RGB Mechanical Gaming Keyboard,Terjual 750+,Rp352.000,Jakarta Utara
22,SKU-1233 KEYBOARD GAMING ONE HAND T-WOLF T19 BACKLIGHT SINGLE HAND,Terjual 100+,Rp83.000,Jakarta Barat
