,Title,Total,Price,Location
0,THINKCENTRE M900 i5-6500T/8GB RAM / 500GB SSHDO/ MINI PC/ TINY DESKTOP,Terjual 3,Rp2.100.000,Kab. Bogor
1,Mini PC Core i7 / Ram 16 GB / SSD / VGA GT1030 / Untuk Profesional,Terjual 90+,Rp2.750.000,Jakarta Utara
2,BEELINK SER3 AMD Ryzen 7 3750H MINI PC RAM 16GB DDR4 ROM 500GB Win 11,Terjual 70+,Rp5.799.000,Jakarta Pusat
3,Mini PC Z85 Z83 4GB/64GB Windows 10 Intel X5 Quadcore Z8350,Terjual 250+,Rp1.550.000,Bandung
4,Mini PC Core i5 + 8GB RAM + SSD 120GB,Terjual 250+,Rp3.000.000,Jakarta Pusat
5,INTEL NUC 7CJYH Mini PC Kosongan,Terjual 500+,Rp1.900.000,Dilayani Tokopedia
6,Mini PC Beelink GK35 8/128GB SSD Intel Quad J4105 Dual HDMI Windows 10,Terjual 1 rb+,Rp2.250.000,Jakarta Barat
7,Mini PC Beelink T4 Pro N3350 4/64GB Dual HDMI WiFi Windows 10,Terjual 750+,Rp1.550.000,Jakarta Barat
8,Mini PC Beelink T4 Pro N3350 4/64GB Dual HDMI WiFi Windows 10,Terjual 750+,Rp1.550.000,Jakarta Barat
9,ASROCK X300 Mini Pc Desktop/ Deskmini AM4 AMD,Terjual 19,Rp2.350.000,Jakarta Pusat
10,Intel Nuc Mini Pc NUC10I3FNH Kit Barebone - Intel Core i3 10110U,Terjual 100+,Rp5.390.000,Jakarta Pusat
11,ASROCK DESKMEET X300 SERIES MINI PC BAREBONE CASE PSU MATHEBOARD WIFI,Terjual 24,Rp3.075.000,Jakarta Pusat
12,Mini PC Beelink SER5 Ryzen 5560U 16/500GB NVMe WiFi 6E Windows 11 Pro,Terjual 70+,Rp5.799.000,Jakarta Barat
13,Mini PC N9N N100 Intel Alderlake Gen12 8GB DDR5 256GB SSD Windows 11,Terjual 13,Rp2.999.000,Jakarta Barat
14,mini pc hp thinclient t630 quad core auto on ddr4,Terjual 20,Rp900.000,Jakarta Barat
15,Mini PC Dell Optiplex 3000 Intel Core I3-12100T GEN12 Ram 8Gb Ssd 512b,Terjual 1,Rp5.200.000,Jakarta Pusat
16,Mini PC BareBone Asrock Jupiter X300,Terjual 4,Rp3.190.000,Jakarta Selatan
17,"Mini PC Rakitan Intel Core i5 / Ram 8GB / SSD / Layar 22"" / Slim",Terjual 100+,Rp1.750.000,Jakarta Utara
18,"PC MINI LENOVO THINKCENTRE M700 BAREBONE SUPORT I7,I5,I3 GEN6 BAGUS",Terjual 1,Rp1.000.000,Jakarta Pusat
19,Mini PC Asus PN51-S1 BB5300U-MT AMD Ryzen 3 5300 - BareBone AMD 5300,Terjual 8,Rp5.570.000,Jakarta Pusat
20,mini pc dell optiplex 3020/7020 core i5 G4 ram 4 gb/500gb/dvd,Terjual 250+,Rp1.200.000,Jakarta Pusat
21,Pc Mini Lenovo Thinkcentre M720q Kosongan Gen8 No Ram No Hdd No Proces,Terjual 11,Rp1.250.000,Jakarta Pusat
22,Mini PC Z85 Z83 4GB/64GB Windows 10 Intel X5 Quadcore Z8350,Terjual 750+,Rp1.550.000,Jakarta Utara
23,MINI PC INTEL NUC i5 GEN 12 FULLSET WIN11 +RAM +SSD |INTEL NUC12WSHI5,Terjual 30+,Rp7.845.000,Jakarta Pusat
24,Asus Vivo Mini Pc VM65 BB7200WL - Intel Core i5 7200U,Terjual 12,Rp6.450.000,Jakarta Pusat
25,ENLIGHT AMD MINI PC BAREBONE WITH WIFI MODULE GARANSI 3THN,Terjual 6,Rp2.350.000,Jakarta Pusat
26,ASUS MINI PC PN41-S1-BB5105-AC | Intel Celeron N5105,Terjual 30+,Rp2.399.000,Jakarta Pusat
27,Mini PC AsRock Deskmini X300 - Asrock X300 Mini PC Amd AM4,Terjual 25,Rp2.330.000,Jakarta Pusat
28,Mini PC AMD ASRock Jupiter X300 AM4 -Barebone AMD Mini PC Jupiter X300,Terjual 13,Rp3.230.000,Jakarta Pusat
29,MINI PC ASUS RYZEN 7 5700U FULLSET +RAM +SSD +WIN 11 | ASUS PN51-S1,Terjual 27,Rp7.330.000,Jakarta Pusat
30,Mini PC Lenovo M93p core i5 4570T RAM 8GB SSD Mulus Bergaransi Murah - Harddisk 320GB,Terjual 7,Rp1.699.000,Jakarta Barat
31,Chuwi RZBox Mini PC AMD RYZEN 7 5800H DDR 16GB SSD 512GB,Terjual 1,Rp9.500.000,Rp11.499.000
32,CHUWI LARKBOX PRO 4K MINI PC INTEL QUAD CORE J4125 6GB/128GB WIN 10 - 4GB / 128GB,Tech Gadgets Store,Rp2.180.000,38%
33,ASUS MINI PC PN63-S1-BB1115G4 | Intel Core i3 1115G4,Terjual 3,Rp4.759.000,Jakarta Pusat
34,Mini Pc Intel (Core i5-12400 / RAM 8GB / SSD 256GB) Admin Office DLL,MEGA COMPUTER JAKARTA,Rp6.500.000,Cashback 182 rb
35,Mini PC Beelink U59 PRO 8/500GB SSD Intel N5105 HDMI 4K Windows 11 Pro,Terjual 100+,Rp3.199.000,Jakarta Barat
36,MINI PC HP T620 RAM 4GB SSD 128GB BARANG OBRAL SUPER MURAH MANTP,Terjual 10,Rp780.000,Jakarta Pusat
37,STB Mini PC Armbian Linux,Terjual 22,Rp200.000,Kab. Tangerang
38,STB Mini PC Armbian Linux,Terjual 22,Rp200.000,Kab. Tangerang
39,Beelink GK35 8/128GB SSD Mini PC Intel Quad J3455 Dual HDMI Windows 10,Terjual 250+,Rp1.799.000,Jakarta Pusat
40,ASROCK DESKMEET B660 SERIES MINI PC BAREBONE CASE PSU MATHEBOARD WIFI,Terjual 27,Rp3.655.000,Jakarta Pusat
41,Asrock DESKMINI X300 BAREBONE Mini PC,Terjual 50+,Rp2.350.000,Malang
42,ANDROID MINI PC USB STICK RAM 1GB ROM 4GB,Terjual 2,Rp195.000,Jakarta Pusat
43,Mini PC Core i5 + 8GB RAM + SSD 120GB,Terjual 250+,Rp3.000.000,Jakarta Pusat
44,PC MINI INTEL NUC NUC5CPYH CELERON N3060-RAM DDR3 4GB-SSD 128GB-MULUS,Terjual 100+,Rp1.400.000,Jakarta Pusat
45,MINI PC INTEL NUC6CAYH CELERON J3455 1.5Ghz 4Gb SSD 120 Gb,Terjual 2,Rp1.600.000,Jakarta Pusat
46,PC MINI DELL OPTIPLEX 704O CORE I5 6500 GEN6-RAM 8GB-SSD 256GB-WIN10,Terjual 50+,Rp2.290.000,Jakarta Pusat
47,Mini PC CK2 Intel Core i7 7500U HDMI VGA DP 4K WiFi SSD Windows 11 Pro,Terjual 30+,Rp4.999.000,Jakarta Barat
48,Industrial Mini PC G30 Intel N5105 Fanless 4x LAN i225V3 2.5G Router,Terjual 17,Rp2.850.000,Jakarta Barat
