,Title,Total,Price,Location
0,PowerBank ROBOT 10000mAh RT180 Dual Input Port Type C & Micro USB - Ungu,Terjual 10 rb+,Rp250.000,Jakarta Utara
1,ACMIC MINIMAX SuperMini 10000mAh AiCharge Power Bank (QC4 + PD + VOOC) - White PB Only,Terjual 6 rb+,Rp799.000,Tangerang
2,POWERBANK MINI 10.000 mah ODOPO,Terjual 60+,Rp188.000,Kab. Tangerang
3,ACMIC DIGIMAX SuperMini Digital AiCharge Power Bank (QC4 + PD + VOOC),Terjual 10 rb+,Rp799.000,Tangerang
4,KIVEE Power Bank 10000mAh Fast Charging Dual USB Port 2.1A PT62,Terjual 8 rb+,Rp249.000,Jakarta Utara
5,UNEED Powerbank 10000mAh Built in Cable Fast Charging 2.1A - UPB234,Terjual 4 rb+,Rp399.000,Jakarta Pusat
6,"Reve 10000mAh Powerbank Real Capacity, Dual Output USB + Type-C Output",Terjual 4 rb+,Rp320.000,Jakarta Utara
7,UNEED Powerbank Manabox 10000 20000 30000mAh Quick Charge 3.0 PD22.5w,Terjual 7 rb+,Rp199.000,Jakarta Pusat
8,Anker Power Bank PowerCore Slim 10K PD - A1245,Terjual 1 rb+,Rp999.000,Jakarta Utara
9,Robot RT180 10000mAh Dual Input Type-C & Micro USB Power bank,Terjual 10 rb+,Rp162.500,Dilayani Tokopedia
10,Powerbank Aukey PB-N83S 10.000mAh PD 3.0 - 500824,Terjual 3 rb+,Rp999.000,Dilayani Tokopedia
11,Powerbank Aukey PB-N83S 10.000mAh PD 3.0 - 500824,Terjual 3 rb+,Rp999.000,Dilayani Tokopedia
12,Xiaomi Official Redmi Powerbank 18W Fast Charge 20.000mAh 2 Port,Terjual 2 rb+,Rp299.000,Jakarta Utara
13,Vivan VPB-M10 10000mAh Powerbank 2 Way Fast Charge 3A Type C Original,Terjual 2 rb+,Rp150.500,Jakarta Pusat
14,ACMIC MAGBANK 5000mAh Magsafe Wireless PowerBank Apple & Android,Terjual 250+,Rp799.000,Dilayani Tokopedia
15,USAMS PB55 Power Bank 10000mAh Dual USB Digital Display,Terjual 10 rb+,Rp275.000,Dilayani Tokopedia
16,Kivee Powerbank 10000mah Dual USB Digital Display With LED Light,Terjual 250+,Rp399.000,Jakarta Utara
17,Aukey Powerbank PB-N73 Basic Slim 10000mAh - 500489,Terjual 3 rb+,Rp649.000,Dilayani Tokopedia
18,ACMIC C10PRO Slim 10000mAh AiCharge Power Bank (QC4 + PD + VOOC) - C10Pro PB Only,Terjual 50 rb+,Rp799.000,Tangerang
19,USAMS BJ Series Powerbank Fast Charging Transparent Dual Port 9000mAh,Terjual 500+,Rp439.000,Tangerang
20,Aukey Powerbank PB-N73 Basic Slim 10000mAh - 500489,Terjual 3 rb+,Rp649.000,Dilayani Tokopedia
21,Powerbank Sniper 10000 mAh Powershoot S412201,Terjual 7 rb+,Rp500.000,Jakarta Barat
22,PowerBank ROBOT 20000mah RT22 Dual Port Input & Output Original Led,Terjual 1 rb+,Rp350.000,Jakarta Utara
23,Anker Powerbank 10000mAh 22W 20W PD Dual Port USB Type A & C - A1245,Terjual 250+,Rp329.000,Jakarta Utara
24,Ultimate Power M10 Pro QC+PD Mini Powerbank 10000mAh Fast Charging,Terjual 750+,Rp459.000,Jakarta Pusat
25,Xiaomi Mi Power Bank 20000mAh Fast Charge Redmi 18W PowerBank,Terjual 100+,Rp268.500,Jakarta Pusat
26,USAMS PB58 Powerbank 10000mAh Broad LED Display Dual Input 2A,Terjual 8 rb+,Rp389.000,Dilayani Tokopedia
27,Anker 633 Wireless Powerbank 10000mAh 20W 18W Dual Port USB A C A1641,Terjual 250+,Rp799.000,Jakarta Utara
28,Powerbank Aukey PB-N99 PD 10.000mAh - 501683,Terjual 100+,Rp699.000,Dilayani Tokopedia
29,SOUL SE200 Portable Powerbank 10000mAh 20W MicroType-C Fast Charging,Terjual 250+,Rp390.000,Jakarta Barat
30,Powerbank 20000mah BASIKE Dual Input Dual output Port 5V2.1A,Terjual 1 rb+,Rp980.000,Jakarta Utara
31,KIIP WIRELESS POWER BANK MAGNETIC MAGSAFE 20W FAST CHARGING TYPE C PD,Terjual 6 rb+,Rp1.109.000,Tangerang
