,Title,Total,Price,Location
0,HP realme c55 6GB+128GB | 8GB+256GB smartphone 90Hz FHD+ | 5000mAh,Terjual 100+,Rp9.899.000,Kab. Tangerang
1,Vivo V15 Ram 8 256GB 6.53 inch hp smartphone baru original,Terjual 250+,Rp1.385.000,Jakarta Pusat
2,Original XIAOMI MI MIX(6/256GB) 6.4-inch Smartphone Garansi 1 tahun,Terjual 8,Rp1.515.000,Jakarta Barat
3,"Smartphone HP 5G Y15S 7,5 inci 8GB + 256GB Ponsel Asli 4G / 5G HD",Terjual 40+,Rp750.000,Jakarta Barat
4,"Xiaomi Mi MIX 2 HP murah Android Smartphone Layar5.99"" Snapdragon 835",Terjual 14,Rp1.515.000,Jakarta Barat
5,Xiaomi 12 Lite 8/256GB 5G Smartphone Snapdragon Garansi Resmi,Terjual 250+,Rp5.999.000,Jakarta Pusat
6,Xiaomi Official Xiaomi 12 8/256GB Smartphone,Terjual 500+,Rp8.999.000,Jakarta Utara
7,"OPPO A16 Smartphone ram 6/128GB,8MP+13MP kamera,6.52 inches big screen",Terjual 250+,Rp1.099.000,Bekasi
8,Xiaomi Official Redmi 10A 4/64GB Smartphone,Terjual 1 rb+,Rp1.699.000,Jakarta Utara
9,Smartphone Geniora Gen 1 Ram 2Gb Rom 16Gb New,Terjual 30+,Rp500.000,Jakarta Pusat
10,"XIAOMI OFFICIAL Redmi 10 5G 6/128GB Smartphone FHD+ 6,58” Kamera 50MP",Terjual 1 rb+,Rp2.799.000,Jakarta Utara
11,OPPO A57 RAM 4/64 GB | A 57 4/64GB SMARTPHONE - GARANSI RESMI,Terjual 100+,Rp2.010.000,Jakarta Timur
12,OPPO A16 Smartphone 3GB/32GB (Garansi Resmi) - Flash Promo,Terjual 2 rb+,Rp1.999.000,Tangerang
13,OPPO A55 4GB/64GB Smartphone (Garansi Resmi) - Promo Sale,Terjual 1 rb+,Rp2.699.000,Tangerang
14,Xiaomi 12 Lite 8/256GB 5G Smartphone Snapdragon 778G Garansi Resmi,Terjual 70+,Rp5.799.000,Jakarta Pusat
15,Xiaomi Official Redmi 10C 4/128GB Smartphone - Graphite Gray,Terjual 3 rb+,Rp2.149.000,Jakarta Utara
16,ADVAN smartphone NASA PRO 2GB/32GB Android 11 - Hitam,Terjual 100+,Rp1.299.000,Jakarta Utara
17,"XIAOMI OFFICIAL POCO C40 4/64GB OctaCore 6,71"" Kamera 13MP Smartphone",Terjual 4 rb+,Rp1.849.000,Jakarta Utara
18,"OPPO A16 Smartphone ram 6/128GB,8MP+13MP kamera,6.52 inches big screen",Terjual 250+,Rp1.099.000,Bekasi
19,HP VIVO Y15s Ram 6/128GB Smartphone LET 6.51 inches Dual SIM 13MP+8MP ,Terjual 3,Rp1.299.000,Jakarta Barat
20,Xiaomi Official Redmi Note 11 4/128GB Smartphone,Terjual 3 rb+,Rp2.599.000,Jakarta Utara
21,Xiaomi Redmi Note 10s Smartphone 6GB/64GB,Terjual 250+,Rp2.500.000,Jakarta Utara
22,OPPO Reno8 T 4G Smartphone 8GB/256GB (Garansi Resmi),Terjual 100+,Rp4.899.000,Tangerang
23,OPPO A96 8/256GB Smartphone (Garansi Resmi),Terjual 500+,Rp4.299.000,Tangerang
24,Xiaomi 12 8GB 256GB 8/256 GB Smartphone,Terjual 4,Rp7.999.000,Jakarta Pusat
25,Xiaomi 12 8GB 256GB 8/256 GB Smartphone,Terjual 4,Rp7.999.000,Jakarta Pusat
26,OPPO A17 4GB/64GB Smartphone (Garansi Resmi),Terjual 250+,Rp2.099.000,Tangerang
27,OPPO A57 Smartphone 4GB/64GB (Garansi Resmi),Terjual 500+,Rp2.399.000,Tangerang
28,OPPO A77s 8GB/128GB Smartphone (Garansi Resmi),Terjual 250+,Rp3.499.000,Tangerang
29,OPPO A16 RAM 3/32 Smartphone - Garansi Resmi,Terjual 750+,Rp1.396.000,Jakarta Timur
30,Xiaomi MI A3 RAM 6GB ROM 128GB QualcommSnapdragon 665 Smartphone HP,Terjual 3,Rp1.750.000,Jakarta Barat
31,Poco M4 Pro 6GB+128GB Garansi Resmi Bluetooth 5.0 Protokol Smartphone ,Terjual 20,Rp2.649.000,Kab. Tangerang
32,Galaxy S22 Ultra Hp Smartphone RAM 12GB+512GB Handphone Android,Terjual 21,Rp1.025.000,Jakarta Barat
33,Smartphone Xiaomi Redmi Note 12 LTE 8/128GB Garansi Resmi Indonesia,Terjual 4,Rp2.999.000,Denpasar
34,Xiaomi Redmi Note 11 Pro 5G Smartphone (8/128GB) Garansi Resmi,Terjual 50+,Rp4.299.000,Jakarta Pusat
35,OPPO A16 Smartphone 3GB/32GB (Garansi Resmi),Terjual 4 rb+,Rp1.999.000,Tangerang
36,OPPO A16 Smartphone 3GB/32GB (Garansi Resmi),Terjual 4 rb+,Rp1.999.000,Tangerang
37,OPPO Reno8 T 5G Smartphone 8GB/256GB (Garansi Resmi),Terjual 100+,Rp6.499.000,Tangerang
38,OPPO Reno8 T 5G Smartphone 8GB/256GB (Garansi Resmi),Terjual 100+,Rp6.499.000,Tangerang
