,Title,Total,Price,Location
0,Stik Stick Xbox 360 PC Controller Wired,Terjual 5 rb+,Rp110.000,Jakarta Barat
1,Stick Xbox Series X S XBOX One Wireless Controller Hitam Carbon Black,Terjual 500+,Rp799.000,Jakarta Pusat
2,Stik XBox 360 Stik X Box Stik Komputer Stik Laptop Stick PC Ori Pabrik - Biru,Terjual 750+,Rp100.000,Jakarta Barat
3,Fantech WGP12 Revolver Wireless Gamepad / Joystick / Stick Xbox 360 - Hijau Army,Terjual 5,Rp279.000,Medan
4,Single GAMEPAD Stik joyStick PC Computer Laptop XBOX 360 USB Kabel,Terjual 90+,Rp145.000,Kab. Sleman
5,Single GAMEPAD Stik joyStick PC Computer Laptop XBOX 360 USB Kabel,Terjual 90+,Rp145.000,Kab. Sleman
6,Stick Stik Xbox One S Wireless Controller,Terjual 1 rb+,Rp699.000,Jakarta Pusat
7,Stick Xbox Elite Wireless Controller Series 2,Terjual 100+,Rp2.399.000,Jakarta Utara
8,STICK / STIK XBOX ONE SERIES X/S WIRELESS CONTROLLER PULSE RED,Terjual 750+,Rp910.000,Jakarta Selatan
9,Stick XBOX1 - XBOX One Series S - X Wireless Controller,Terjual 750+,Rp798.000,Surabaya
10,Fantech WGP12 Revolver Wireless Gamepad / Joystick / Stick Xbox 360,Terjual 250+,Rp269.000,Bandung
11,Fantech WGP12 Revolver Wireless Gamepad / Joystick / Stick Xbox 360,Terjual 250+,Rp269.000,Bandung
12,Stick Stik Xbox One Series X S Wireless Controller,Terjual 40+,Rp699.000,Jakarta Pusat
13,Stick Xbox Series X S XBOX One Wireless Controller Hitam Carbon Black,Terjual 500+,Rp799.000,Jakarta Pusat
14,Stick Xbox Series X S XBOX One Wireless Controller Hitam Carbon Black,Terjual 500+,Rp799.000,Jakarta Pusat
15,Stik Stick XBOX 360 Controller Wired Kabel Ori Pabrik Joystick Gamepad,Terjual 100+,Rp130.000,Denpasar
16,Stik Stick Xbox 360 PC Wired/ Kabel Original Pabrik Warna Hitam,Terjual 250+,Rp130.000,Depok
17,Stick Xbox Series X S XBOX One Wireless Controller Putih Robot White,Terjual 250+,Rp799.000,Jakarta Pusat
18,Stick Xbox 360 Controller Wired for Computer / Laptop Stik Kabel USB,Terjual 13,Rp100.000,Kab. Bekasi
19,Stik XBOX 360 Wireless /Stick PC Komputer Plus Receiver Microsoft - stik xbox 360,Terjual 40+,Rp279.000,Malang
20,Stik Stick Xbox One S Wireless Controller ORIGINAL BLUETOOTH WINDOWS,Terjual 500+,Rp795.000,Jakarta Barat
21,Stik XBox 360 Wireless Controller Original,Terjual 50+,Rp200.000,Bekasi
22,Kabel Charger Stik Xbox 360 Wireless USB Cable Charging,Terjual 250+,Rp27.500,Kab. Tangerang
23,Kabel Charger Stik Xbox 360 Wireless USB Cable Charging,Terjual 250+,Rp27.500,Kab. Tangerang
24,8Bitdo Wireless Receiver Adapter Stick PS3 PS4 XBOX One 360 Switch,Terjual 90+,Rp175.000,Jakarta Pusat
25,LF-X006 Lucky Fox Controller Stik Wireless For Xbox Series / PC / PS3,Terjual 50+,Rp449.000,Jakarta Selatan
26,controller joystick stick stik PC XBOX 360 XBOX360 original wireless,Terjual 70+,Rp259.900,Surabaya
27,TOMBOL RB LB STIK XBOX 360 KABEL / WIRELESS,Terjual 250+,Rp2.500,Kab. Bogor
