,Title,Total,Price,Location
0,Clear Soft Case Sam Tab S8 S8+ S8 Ultra S7 S7+ S7 FE With Slot Pencil,Terjual 30+,Rp63.500,Jakarta Barat
1,Samsung Tab a7 Lite 2021 8.7 SM-T225 T220 Casing Anak Soft Cover Lucu,Terjual 80+,Rp55.000,Bekasi
2,SAMSUNG GALAXY TAB A8 10.5 2022 X200 X205 FLIP CASE LEATHER COVER,Terjual 2 rb+,Rp110.000,Jakarta Pusat
3,TRIPLEDI Case Samsung Tab A8 10.5 2021 SM-X200 X205 Keyboard Stylus,Terjual 70+,Rp394.600,Kab. Tangerang
4,CASE ARMOR STAND CASE FREE TALI SAMSUNG GALAXY TAB A7 LITE T220 /T225,Terjual 1 rb+,Rp175.000,Tangerang
5,CASE ARMOR STAND CASE FREE TALI SAMSUNG GALAXY TAB A7 LITE T220 /T225,Terjual 1 rb+,Rp175.000,Tangerang
6,Case Samsung Galaxy Tab S8 | S8 Plus Ultra Dux Ducis Toby Cover Casing,Terjual 250+,Rp160.000,Jakarta Barat
7,"Case Flip Samsung Galaxy Tab A7 Lite 8.7"" SM-T225 Flip + Keyboard",Terjual 500+,Rp239.999,Jakarta Pusat
8,"Case Flip Samsung Galaxy Tab A7 Lite 8.7"" SM-T225 Flip + Keyboard",Terjual 500+,Rp239.999,Jakarta Pusat
9,UGREEN 90435 POUCH TAS SARUNG IPAD TAB TABLET SLEEVE STORAGE CASE BAG,Terjual 500+,Rp150.000,Jakarta Utara
10,SAMSUNG TAB S6 LITE FLIP CASE BOOK COVER SAMSUNG WITH SLOT PEN,Terjual 2 rb+,Rp125.000,Jakarta Pusat
11,SAMSUNG TAB S6 LITE DUX DUCIS KEYBOARD CASE ORIGINAL,Terjual 250+,Rp499.000,Jakarta Pusat
12,Case Samsung Galaxy Tab S6 Lite Dux Ducis Domo Book Cover Casing - Hit,Terjual 4 rb+,Rp155.000,Jakarta Barat
13,SAMSUNG TAB S6 LITE P610 / P615 DUX DUCIS TOBY COVER CASING CASE,Terjual 250+,Rp169.000,Jakarta Pusat
14,Case Samsung Galaxy Tab S6 Lite Dux Ducis Toby Cover Casing s6 lite,Terjual 1 rb+,Rp170.000,Jakarta Barat
15,Clear Soft Case Tab S6 T865 Tab S6 Lite P615 with Slot Pencil Holder - Tab S6,Terjual 80+,Rp57.500,Jakarta Barat
16,"SOFT CASE SAMSUNG TAB A7 LITE T220/T225 , A8 2019 T290/T295 A 8",Terjual 100+,Rp28.800,Jakarta Pusat
