,Title,Total,Price,Location
0,iPad Air 5 2022 M1 Chip 256GB 64GB CELL Cellular WIFI Only Apple,Terjual 1 rb+,Rp8.220.000,Jakarta Pusat
1,iBox | iPad Mini 6 6th Wifi Cellular 256GB 256 64GB Gray Pink Purple,Terjual 14,Rp4.019.000,Tangerang Selatan
2,"Apple iPad 10th Gen 2022 256GB 64GB WiFi Only 10.9"" Inch Gen 10",Terjual 100+,Rp5.055.000,Jakarta Pusat
3,"Baru Tablet 12/512GB 11.2inch Galaxy tab pro11 murah Garansi Resmi E - Putih, 12GB+128GB",Terjual 100+,Rp1.130.000,Jakarta Barat
4,iPad 9 2021 10.2 Inch 256GB 64GB WiFi-Cellular Silver Space Grey Resmi,Terjual 250+,Rp4.509.000,Tangerang Selatan
5,Hp Samsung Galaxy Tab S6 Lite 4/128 4 128 GB 4GB 128GB Garansi Resmi,Terjual 2 rb+,Rp6.299.000,Jakarta Pusat
6,Xiaomi Redmi Pad 6/128GB 4/128GB Tablet Redmi Pad 90 Hz Garansi Resmi,Terjual 250+,Rp4.499.000,Jakarta Pusat
7,Samsung Galaxy Tab A7 Lite Wifi 3GB/32GB - Gray,Terjual 100+,Rp2.099.000,Jakarta Utara
8,Samsung Galaxy Tab A7 Lite Wifi 3GB/32GB - Gray,Terjual 100+,Rp2.099.000,Jakarta Utara
9,iPad Air 5 2022 M1 Chip 256GB 64GB CELL Cellular WIFI Only Apple,Terjual 1 rb+,Rp8.220.000,Jakarta Pusat
10,"Apple iPad Pro M2 2022 11"" Inch WiFi Only 128GB Space Grey Silver 128",Terjual 250+,Rp16.499.000,Jakarta Pusat
11,"iPad Pro M2 2022 11"" Inch WiFi Only 1TB 512GB 256GB 128GB",Terjual 500+,Rp12.135.000,Jakarta Pusat
12,"iPad 9 2021 10.2"" 256GB Wifi Cellular Cell 64GB Grey Silver Resmi 8",Terjual 4 rb+,Rp5.055.000,Jakarta Pusat
13,"Apple iPad Gen 10 2022 10.9"" 256GB / 64GB Silver Blue Pink Yellow IBOX",Terjual 250+,Rp7.499.000,Jakarta Pusat
14,"Apple iPad Gen 10 2022 10.9"" 256GB / 64GB Silver Blue Pink Yellow IBOX",Terjual 250+,Rp7.499.000,Jakarta Pusat
15,iPad Mini 3 / 2 Wifi Cellular 128GB 64GB 32GB 16GB Second Original,Terjual 100+,Rp1.475.000,Tangerang Selatan
16,iPad Mini 6 5 4 3 2 256GB 128GB 64GB 32GB 16GB Wifi Cellular Second,Terjual 60+,Rp1.475.000,Tangerang Selatan
17,Apple iPad 9 2021 IBOX 256GB Cellular Wifi 64GB Gen 9th Support Pencil,Terjual 750+,Rp5.499.000,Jakarta Pusat
18,IBOX iPad Pro 2022 M2 11 12.9 Inch WiFi Cell 128GB 256GB 512GB 1TB 2TB,Terjual 250+,Rp11.989.000,Jakarta Utara
19,Baru Tablet 11.2inch Galaxy tab 12/512GB Belajar Office SIM/WiFi,Terjual 250+,Rp1.400.000,Jakarta Barat
20,Apple iPad Pro 11 inch 2021 M1 Chip Cellular 128GB 256GB 512GB 1TB 2TB,Terjual 2 rb+,Rp12.440.000,Jakarta Pusat
21,Apple iPad Pro M2 2022 11 inch 512GB 2TB 256GB 1TB 128GB Wifi & Cell,Terjual 100+,Rp12.038.000,Jakarta Barat
22,iBox Apple iPad Pro 6th Gen 2022 11 Inch 128GB Wifi Only M2 Chip,Terjual 250+,Rp13.366.220,Jakarta Barat
23,SAMSUNG GALAXY TAB A7 LITE T225 RAM 3/32GB GRS RESMI SEIN,Terjual 1 rb+,Rp1.955.000,Jakarta Barat
24,"HUAWEI MatePad SE 10.4"" Tablet [3+32GB] | 2K Display | Surround Sound",Terjual 250+,Rp2.599.000,Jakarta Selatan
