,Title,Total,Price,Location
0,Navy Club Tas Ransel Laptop 3 in 1 HJI- Backpack Up To 15.6 Inch,Terjual 750+,Rp1.039.000,Jakarta Utara
1,Tas Laptop Bodypack Seattle 1.0 - Black 21L,Terjual 100+,Rp639.000,Tangerang Selatan
2,TAS LAPTOP WATERPROFF 11 12 13 14 15 16 INCH ANTI AIR SLEEVE CASE MAC,Terjual 1 rb+,Rp150.000,Jakarta Pusat
3,NavyClub Tas Laptop Anti air Waterproof Tas Kerja HFFF Up To 15inch,Terjual 2 rb+,Rp418.000,Jakarta Utara
4,Case/Tas Laptop Macbook Cover Laptop 13/13.3/14/14.1/15.4/15.6 inch,Terjual 2 rb+,Rp62.000,Jakarta Barat
5,Bruno Cavalli Tas Ransel Laptop Waterproof 18320 Tas Punggung up 16Inc,Terjual 1 rb+,Rp420.000,Dilayani Tokopedia
6,Backpack Vegas 1.0 - Tas Ransel - Tas Laptop Unisex - Tas Punggung,Terjual 250+,Rp199.000,Bandung
7,Tas Ransel Laptop Backpack Waterproof Franzen Rapid Rulle Series 601,Terjual 5 rb+,Rp372.500,Jakarta Barat
8,Tas Ransel Laptop Backpack Waterproof Franzen Rapid Rulle Series 601,Terjual 5 rb+,Rp372.500,Jakarta Barat
9,Tas Ransel Laptop Daily Backpack Sierra Series,Terjual 100+,Rp200.000,Tangerang
10,Tas Laptop / Backpack Laptop Lenovo B210 Original,Terjual 500+,Rp120.000,Jakarta Barat
11,Tas Laptop / Backpack Laptop Lenovo B210 Original,Terjual 500+,Rp120.000,Jakarta Barat
12,Huawei HONOR Backpack 16 inch Bag Tas Laptop WaterProof Canvas Ransel,Terjual 30+,Rp148.000,Kab. Tangerang
13,TAS RANSEL LAPTOP PRIA BACKPACK PRIA DIXON TAS PUNGGUNG PRIA DISTRO,Terjual 2 rb+,Rp239.000,Tangerang
14,BACKPACK PRESIDENT USB ORIGINAL TAS RANSEL LAPTOP SEKOLAH KULIAH KERJA,Terjual 100+,Rp225.000,Jakarta Pusat
15,Journic Tas Laptop Slim Ramping 14inch Unisex,Terjual 100+,Rp159.000,Tangerang
16,Tas Laptop Handle / sofcase laptop jinjing - Hitam,Terjual 100+,Rp85.000,Jakarta Barat
17,Tas Laptop 13.3 inch 14inch 15.6inch - Tas Kantor Tas Jinjing laptop,Terjual 2 rb+,Rp72.500,Jakarta Barat
18,"Tas Laptop / sleeve case softcase laptop - Cokelat, 14 inch",Terjual 250+,Rp75.000,Jakarta Barat
19,Tas Ransel Pria Laptop Backpack Kapasitas Besar slim mpde hm 06,Terjual 8 rb+,Rp75.000,Jakarta Utara
20,"Mark Ryden MR9813 Backpack Bag - Tas Ransel Laptop 15.6"" - BLACK",Terjual 250+,Rp550.000,Jakarta Utara
21,NavyClub Tas Laptop Anti air Waterproof Tas Kerja HFFF Up To 15inch,Terjual 2 rb+,Rp418.000,Jakarta Utara
22,TAS LAPTOP WATERPROFF 11 12 13 14 15 16 INCH ANTI AIR SLEEVE CASE MAC,Terjual 1 rb+,Rp150.000,Jakarta Pusat
23,Freeknight Tas Ransel Pria Backpack Laptop Tas Punggung Sekolah TR709,Terjual 100+,Rp399.000,Tangerang
24,Tas Laptop Bodypack Work Weston 1.0 - Black 21L,Terjual 500+,Rp759.000,Tangerang Selatan
25,Tas Laptop Backpack Original Lenovo 14 - 15.6 inch,Terjual 250+,Rp99.500,Jakarta Barat
26,Tas Bange BG2517 Bag Ransel Kerja Kantor Backpack Pria Laptop 15.6 USB,Terjual 250+,Rp459.000,Jakarta Barat
27,"Tas Laptop Exsport Everyday Laptop Compartment Bag 14"" - Salem",Terjual 250+,Rp299.000,Tangerang Selatan
28,Tas Laptop Sleeve Waterproof Oxford Sarung Macbook Pro Air 11 13 15,Terjual 500+,Rp179.000,Jakarta Selatan
29,Bange Tas Laptop Kerja Ransel Backpack Pria Lock TSA 15.6 Inc BG22201,Terjual 750+,Rp580.000,Kab. Tangerang
30,UGREEN Tas Ransel Laptop Macebook Backpack 15.6 inch Waterproof 90798,Terjual 6,Rp450.000,Kab. Tangerang
31,Tas Laptop Canvas Waterproof Handle Jinjing 13inch 14inch 15.6inch,Terjual 80+,Rp180.000,Jakarta Barat
32,Huawei Honor Tas Ransel Laptop Backpack 16 Inch Canvas Waterproof AD60,Terjual 60+,Rp159.900,Surabaya
