,Title,Total,Price,Location
0,HYDRA+ Semua Tipe Anti Gores Hydrogel - Tempered Glass Full,Terjual 10 rb+,Rp118.000,Jakarta Barat
1,Hydrogel Anti Spy Samsung Note 10 10 plus Screen Not Tempered Glass,Terjual 250+,Rp50.000,Jakarta Barat
2,HYDRA+ Extra Back Cover Semua Tipe Anti Gores Hydrogel -Tempered Glass,Terjual 2 rb+,Rp80.000,Jakarta Barat
3,ICOVER Samsung Galaxy S21 FE Anti Gores Hydrogel Not Tempered Glass,Terjual 100+,Rp59.000,Jakarta Barat
4,Samsung A50 - HYDRA+ Armored Tempered Glass - Anti Gores-TG,Terjual 50+,Rp129.000,Jakarta Barat
5,Xiaomi Poco X3 NFC Hikaru Full Cover Tempered Glass Anti Gores Kaca,Terjual 2 rb+,Rp30.000,Jakarta Pusat
6,SAMSUNG A14 5G Hikaru Premium Tempered Glass Anti Gores,Terjual 100+,Rp25.000,Jakarta Pusat
7,SAMSUNG A14 5G Hikaru Premium Tempered Glass Anti Gores,Terjual 100+,Rp25.000,Jakarta Pusat
8,SAMSUNG A14 5G Hikaru Premium Tempered Glass Anti Gores,Terjual 100+,Rp25.000,Jakarta Pusat
9,POCO M4 PRO 4G TEMPERED GLASS PRIVACY ANTI SPY FULL COVER,Terjual 100+,Rp30.000,Jakarta Pusat
10,Poco F3 - COPPER Tempered Glass FULL GLUE PREMIUM GLOSSY,Terjual 1 rb+,Rp59.900,Jakarta Barat
11,Poco F3 - COPPER Tempered Glass FULL GLUE PREMIUM GLOSSY,Terjual 1 rb+,Rp59.900,Jakarta Barat
12,HighQuality Tempered Glass Anti Gores Bening iPhone X XR XS 11 Pro Max,Terjual 8 rb+,Rp39.000,Jakarta Selatan
13,SUPERFIT TEMPERED GLASS IPHONE 11 12 13 14 PRO MAX PLUS XR X XS MAX,Terjual 2 rb+,Rp30.000,Jakarta Pusat
14,IPHONE 12 13 14 PRO MAX 14 PLUS TEMPERED GLASS CLEAR ANTI GORES KACA,Terjual 7 rb+,Rp15.000,Jakarta Pusat
15,Tempered Glass Full Cover Ceramic Anti Spy Matte Non-Packing Grosir,Terjual 4 rb+,Rp4.725,Jakarta Barat
16,MATTE PRIVACY AntiSpy Nano Ceramic Shield Tempered Glass iPhone Series,Terjual 2 rb+,Rp22.000,Jakarta Utara
17,Tempered Glass Kamera Samsung Galaxy A54 A34 A14 Getgard Camera Lens,Terjual 60+,Rp90.000,Jakarta Barat
18,Myroots Tempered Glass Blue Samsung A54 A34 5G Anti Gores,Terjual 6,Rp65.000,Jakarta Barat
19,Samsung A14 5G - Privacy Anti Spy Tempered Glass-Anti Gores-TG-Frame,Terjual 24,Rp149.000,Jakarta Barat
20,iCover Tempered Glass iPhone 13 Pro Max Mini Anti Gores Screen Guard,Terjual 2 rb+,Rp99.000,Jakarta Barat
21,Brooklyn Tempered Glass iPhone 14 13 12 11 X XR XS MAX MINI PRO MAX,Terjual 9 rb+,Rp98.000,Jakarta Barat
22,Brooklyn Tempered Glass iPhone 14 13 12 11 X XR XS MAX MINI PRO MAX,Terjual 9 rb+,Rp98.000,Jakarta Barat
23,Brooklyn Tempered Glass iPhone 14 13 12 11 X XR XS MAX MINI PRO MAX,Terjual 9 rb+,Rp98.000,Jakarta Barat
24,Brooklyn Tempered Glass iPhone 14 13 12 11 X XR XS MAX MINI PRO MAX,Terjual 9 rb+,Rp98.000,Jakarta Barat
25,HUAWEI MATEPAD 10.4 2022 TEMPERED GLASS SCREEN PROTECTOR ANTI GORES,Terjual 250+,Rp50.000,Jakarta Pusat
26,Iphone 11 Pro Max - COPPER Tempered Glass Full Glue PREMIUM Glossy,Terjual 2 rb+,Rp100.000,Jakarta Barat
27,Iphone 11 Pro Max - COPPER Tempered Glass Full Glue PREMIUM Glossy,Terjual 2 rb+,Rp100.000,Jakarta Barat
28,iPhone 11 - COPPER TEMPERED GLASS FULL CLEAR,Terjual 1 rb+,Rp100.000,Jakarta Barat
29,Ringke iPhone 12 / 12 Pro IDFULL Cover Tempered Glass Screen Protector,Terjual 500+,Rp215.000,Jakarta Utara
30,Ring Tempered Glass Kamera Samsung Galaxy Z Fold 4 Camera Protector,Terjual 100+,Rp90.000,Jakarta Barat
31,HYDRA+ Samsung A31 2020 - Anti Gores Hydrogel - Tempered Glass Full,Terjual 500+,Rp118.000,Jakarta Barat
32,"Uneed Hybrid Pro Anti Break Screen Protector Handphone Full Cover - CLEAR, BACK COVER",Terjual 10 rb+,Rp199.000,Jakarta Pusat
33,HYDRA+ Huawei Nova 5T - Anti Gores Hydrogel - Tempered Glass Full,Terjual 1 rb+,Rp118.000,Jakarta Barat
34,ALL TYPE Grosir Tempered glass bening Anti gores kaca tg,Terjual 10 rb+,Rp1.999,Jakarta Barat
35,tempered glass / screen protector iphone X / XR / XS MAX,Terjual 3 rb+,Rp35.000,Jakarta Utara
36,SAMSUNG GALAXY A13 A23 4G TEMPERED GLASS CLEAR ANTI GORES KACA,Terjual 1 rb+,Rp10.000,Jakarta Pusat
37,Samsung A33/A53/A73 5G Hikaru Full Cover Tempered Glass Anti Gores,Terjual 500+,Rp30.000,Jakarta Pusat
38,SAMSUNG GALAXY A33 A53 A73 5G TEMPERED GLASS CLEAR ANTI GORES KACA,Terjual 1 rb+,Rp10.000,Jakarta Pusat
39,SAMSUNG GALAXY A33 A53 A73 5G TEMPERED GLASS CLEAR ANTI GORES KACA,Terjual 1 rb+,Rp10.000,Jakarta Pusat
40,SAMSUNG GALAXY A33 A53 A73 5G TEMPERED GLASS CLEAR ANTI GORES KACA,Terjual 1 rb+,Rp10.000,Jakarta Pusat
41,Iphone 11 - COPPER Tempered Glass Full Glue ANTI GLARE - MATTE,Terjual 2 rb+,Rp130.000,Jakarta Barat
42,Tempered Glass 5D IPHONE 5 6 6+ 7 8 X XS XR XS MAX,Terjual 1 rb+,Rp10.000,Jakarta Pusat
43,Tempered Glass 5D IPHONE 5 6 6+ 7 8 X XS XR XS MAX,Terjual 1 rb+,Rp10.000,Jakarta Pusat
44,Tempered Glass 5D IPHONE 5 6 6+ 7 8 X XS XR XS MAX,Terjual 1 rb+,Rp10.000,Jakarta Pusat
45,Samsung Galaxy A70 - COPPER Tempered Glass Full Glue PREMIUM Glossy,Terjual 1 rb+,Rp59.900,Jakarta Barat
46,Iphone X / XS / XR / XS Max Tempered Glass Privacy Anti Spy Full Cover,Terjual 1 rb+,Rp29.000,Jakarta Pusat
47,Iphone X / XS / XR / XS Max Tempered Glass Privacy Anti Spy Full Cover,Terjual 1 rb+,Rp29.000,Jakarta Pusat
48,Iphone X / XS / XR / XS Max Tempered Glass Privacy Anti Spy Full Cover,Terjual 1 rb+,Rp29.000,Jakarta Pusat
49,Iphone 11 Pro Max - COPPER Tempered Glass PRIVACY/ANTI SPY(Full Glue),Terjual 1 rb+,Rp130.000,Jakarta Barat
50,Iphone 11 Pro Max - COPPER Tempered Glass PRIVACY/ANTI SPY(Full Glue),Terjual 1 rb+,Rp130.000,Jakarta Barat
51,TEMPERED GLASS antigores full 5D 9D IPHONE XS 6 6s 6g 6plus 8 plus,Terjual 250+,Rp10.000,Jakarta Pusat
52,Iphone 7 plus / 8 plus -COPPER Tempered Glass Full Glue PREMIUM Glossy,Terjual 2 rb+,Rp100.000,Jakarta Barat
53,Iphone 7 plus / 8 plus -COPPER Tempered Glass Full Glue PREMIUM Glossy,Terjual 2 rb+,Rp100.000,Jakarta Barat
54,TEMPERED GLASS 5D 9D SAMSUNG A10 A12 A21 A21S FULL LEM FULL GLUE,Terjual 750+,Rp10.000,Jakarta Pusat
55,High Quality Tempered Glass Anti Gores Bening iPhone 6 6S 7 8 X Plus,Terjual 3 rb+,Rp39.000,Jakarta Selatan
56,TEMPERED GLASS temperglass antigores 5D IPHONE 7 PLUS FULL LEM,Terjual 100+,Rp10.000,Jakarta Pusat
57,TEMPERED GLASS temperglass antigores 5D IPHONE 7 PLUS FULL LEM,Terjual 100+,Rp10.000,Jakarta Pusat
58,TEMPERED GLASS temperglass antigores 5D IPHONE 7 PLUS FULL LEM,Terjual 100+,Rp10.000,Jakarta Pusat
