,Title,Total,Price,Location
0,Stir Setir PXN Steering Wheel Racing PXN V3 V3II For PS3 PS4 PC XBox,Terjual 100+,Rp1.100.000,Jakarta Barat
1,Game Pass Ultimate 3 tahun / 36 bulan Xbox One Series X|S Gamepass GPU,Terjual 40+,Rp100.000,Bandung
2,Gamesir X2 Pro Type C Gamepad Game Controller Andorid Nintendo XBOX,Terjual 100+,Rp1.658.000,Jakarta Barat
3,XBOX Gamepass Game Pass Ultimate,Terjual 30+,Rp65.000,Bekasi
4,8Bitdo Sn30 Pro for Xbox Cloud Gaming on Android includes Phone Clip,Terjual 50+,Rp399.000,Jakarta Utara
5,5%,Terjual 1 rb+,Rp4.199.000,Jakarta Utara
6,Console Xbox Series S,Terjual 750+,Rp4.190.000,Jakarta Utara
7,Xbox Series S Console Mesin XSS Microsoft XBOX Series S,Terjual 1 rb+,Rp4.300.000,Jakarta Pusat
8,FIRST HAND !! CONSOLE XBOX SERIES S / SERIS S ORIGINAL BNIB,Terjual 500+,Rp4.500.000,Jakarta Barat
9,Rp4.853.000,Terjual 500+,Cashback 1%,Jakarta Utara
10,Rp3.920.000,Terjual 500+,7%,Jakarta Utara
11,XBOX One Fat Console Preowned Original + 1 Controller,Terjual 100+,Rp1.899.000,Jakarta Pusat
12,Console Xbox Series X READY!!!,Terjual 27,Rp8.199.000,Jakarta Utara
13,Xbox Live Gift Card USD 10 DIgital,Terjual 100+,Rp167.000,Jakarta Utara
14,Xbox Series X Console – 1 TB,Terjual 100+,Rp8.878.000,Jakarta Utara
15,Xbox Series S Pendingin tahan 24/7 jamin Cool,Terjual 30+,Rp245.000,Surabaya
16,Microsoft Xbox Gamepass PC 1 Year (1 Tahun),Terjual 4,Rp375.000,Denpasar
17,Game Pass Ultimate 5 Bulan for Xbox one series X|S Win,Terjual 5 rb+,Rp40.000,Bekasi
18,XBOX WIRELESS ADAPTER RECEIVER FOR WINDOWS 10,Terjual 100+,Rp269.000,Jakarta Utara
19,Razer Controller Xbox Wolverine V2 - Black,Terjual 6,Rp1.999.000,Surabaya
20,FIRST HAND !! CONSOLE XBOX SERIES X / SERIES X ORIGINAL BNIB,Terjual 250+,Rp8.049.000,Jakarta Barat
21,XBOX 360 Slim E Console (4GB / Non RGH) PREOWNED,Terjual 40+,Rp799.000,Jakarta Pusat
22,(Tukar Tambah Console) Xbox Series X Console 1 TB,Terjual 4,Rp8.389.000,Jakarta Utara
23,PASTI ORI !! Xbox Series X 1TB,Terjual 100+,Rp8.095.000,Jakarta Barat
24,Baterai Battery Batre Stick Stik Xbox Series X & S Play & Charge Kit,Terjual 1 rb+,Rp234.000,Jakarta Utara
25,X Box Series S XBox S Microsoft Digital Edition,Terjual 250+,Rp4.090.000,Malang
26,X Box Series S XBox S Microsoft Digital Edition,Terjual 250+,Rp4.090.000,Malang
27,xbox 360 rgh,Terjual 60+,Rp1.000.000,Jakarta Utara
28,The new Xbox Series X,Terjual 29,Rp8.878.000,Jakarta Utara
29,Stick Xbox Series X S XBOX One Wireless Controller Hitam Carbon Black,Terjual 500+,Rp799.000,Jakarta Pusat
30,Single GAMEPAD Stik joyStick PC Computer Laptop XBOX 360 USB Kabel,Terjual 90+,Rp145.000,Kab. Sleman
31,Hardisk XBOX 360 Slim 500GB HDD Full Game Bebas Request,Terjual 2,Rp5.000,Jakarta Utara
32,Tas Penyimpanan Travel Xbox Series S Konsol Case Game Bag Gaming Kuat,Terjual 60+,Rp499.000,Bekasi
33,GameSir G7 Wired Gamepad Controller XBOX Series One / S / X PC Windows,Terjual 90+,Rp1.050.000,Jakarta Barat
34,Xbox Series S Dobe Cooling FAN Vertical Stand TYX-0658 Kipas Pendingin - Dobe TYX-0658,Terjual 80+,Rp249.000,Jakarta Utara
35,Xbox 360 slim S RGH normal satu set HDD 320 gb,Terjual 50+,Rp3.080.000,Bekasi
36,Rp4.069.000,Terjual 750+,Cashback 1%,Depok
37,DOBE Multifunctional Cooling Fan Stand For Xbox Series S TYX-0663,Terjual 100+,Rp299.000,Jakarta Utara
38,Xbox Series S Console,Terjual 250+,Rp4.145.000,Surabaya
