,Title,Total,Price,Location
0,"MILS Full Surface Detachable Acrylic iPad Case Pro 11 M1 Mini 6 Air 4 - Mini 6, Black",Terjual 750+,Rp325.000,Jakarta Utara
1,Wanderland Ipad Case & Sleeve - Case 7/8/9,Terjual 100+,Rp215.000,Jakarta Barat
2,Smart Case iPad 2 iPad 3 iPad 4 with Slot Pencil Holder - Hitam,Terjual 13,Rp85.000,Jakarta Barat
3,"Piyoni Transparent Soft Case iPad 5/6/7/8/9 mini4/5/6 Air 3/4/5 Pro 11 - Tempered Glass, iPad 7/8/9",Terjual 750+,Rp80.000,Jakarta Barat
4,MILS Soft Silicone iPad Case / Cover Pro 11 12.9 2021 M1 Mini 6 Air 4,Terjual 1 rb+,Rp185.000,Jakarta Utara
5,"SOFTCASE NEW IPAD 6 9.7 2018 SMART COVER ORIGINAL CASE 2017 9,7 INCH",Terjual 1 rb+,Rp115.000,Jakarta Barat
6,"CASE IPAD 9 2021 SMART CASE IPAD 9 10,2 inch book cover ipad 9 2021",Terjual 1 rb+,Rp57.500,Jakarta Barat
7,Case iPad Air 5/ 4 10.9 2022/ 2020 Spigen Ultra Hybrid Pro Flip Cover,Terjual 500+,Rp545.000,Jakarta Barat
8,Magnetic Detachable Acrylic Case iPad Pro 11 Pro 12.9,Terjual 100+,Rp219.000,Tangerang
9,Hardcase Ipad Mini 1/2 Casing ipad Mini/ Case Ipad Mini 7.9,Terjual 2 rb+,Rp58.000,Jakarta Barat
10,Case iPad 9 /8 /7 10.2 (2021/2019) Spigen Smart Fold Flip Cover Casing,Terjual 250+,Rp375.000,Jakarta Barat
11,Case iPad 9 /8 /7 10.2 (2021/2019) Spigen Smart Fold Flip Cover Casing,Terjual 250+,Rp375.000,Jakarta Barat
12,Leather Case iPad Air ESR Ascend Trifold with Clasp Flip,Terjual 500+,Rp699.000,Jakarta Barat
13,Leather Case iPad Air ESR Ascend Trifold with Clasp Flip,Terjual 500+,Rp699.000,Jakarta Barat
14,Leather Case iPad Air ESR Ascend Trifold with Clasp Flip,Terjual 500+,Rp699.000,Jakarta Barat
15,"Sarung Soft Case iPad Air1/Air2 Gen 5/6 2017 2018 9.7"" TPU High Qlity",Terjual 2 rb+,Rp90.000,Jakarta Barat
16,MILS Keyboard Case iPad 6 7 Mini 4 5 Air 3 4 10.2 10.9 Pro 11 12.9,Terjual 1 rb+,Rp405.000,Jakarta Utara
17,Case Cover Smart Case IPAD NEW PRO 9.7 / IPAD 6 2018 Original Autolock,Terjual 750+,Rp70.000,Jakarta Utara
18,MILS Touchpad Keyboard Case iPad 7 8 9 Air 10.9 3 4 5 Pro 11 2021 2022,Terjual 1 rb+,Rp500.000,Jakarta Utara
19,Smart Case iPad Pro 12.9 2015 iPad Pro 12.9 2017 (HOME BUTTON) - Black,Terjual 100+,Rp160.000,Jakarta Barat
20,SMART CASE IPAD 9 8 7 10.2 INCH PENCIL HOLDER FLIP COVER,Terjual 1 rb+,Rp85.000,Jakarta Pusat
21,Leather Case iPad Pro 11 ESR Rebound Hybrid Case 360,Terjual 100+,Rp1.575.000,Jakarta Barat
