,Title,Total,Price,Location
0,Apple iPhone 14 Plus 5G 512GB 256GB 128GB Midnight Starlight Purple,Terjual 26,Rp13.599.000,Jakarta Pusat
1,RESMI iPhone 14 5G 128 / 256 / 512 Midnight Starlight Purple Blue,Terjual 30+,Rp13.199.000,Jakarta Pusat
2,Iphone 14 ( 6GB/128GB ) - Garansi TAM,Terjual 7,Rp15.999.000,Surabaya
3,Iphone 11 64GB second ori 100%/fullset Like new /mulus 99~100%,Terjual 1 rb+,Rp6.290.000,Jakarta Timur
4,IPHONE 11 PRO MAX 64/256 FULLSET SECOND ORIGINAL 100% MULUS - LIKE NEW,Terjual 100+,Rp6.235.000,Jakarta Utara
5,Apple iPhone 11 64 GB - Garansi Resmi iBox Apple Indonesia,Terjual 2 rb+,Rp8.499.000,Jakarta Utara
6,Apple iPhone 14 Pro Max Garansi Resmi - 128GB 256GB 512GB 1TB Promax,Terjual 500+,Rp21.999.000,Jakarta Pusat
7,Apple iPhone 14 Pro Max Garansi Resmi - 128GB 256GB 512GB 1TB Promax,Terjual 500+,Rp21.999.000,Jakarta Pusat
8,Iphone 14 Pro 128 Gb | 256 Gb | 512 Gb | 1 Tb Garansi Resmi IBOX,Terjual 250+,Rp18.660.000,Jakarta Pusat
9,Iphone 14 Pro 128 Gb | 256 Gb | 512 Gb | 1 Tb Garansi Resmi IBOX,Terjual 250+,Rp18.660.000,Jakarta Pusat
10,Apple iPhone 14 Pro Garansi Resmi - 128GB 256GB 512GB 1TB,Terjual 500+,Rp19.999.000,Jakarta Pusat
11,Iphone 14 Pro Max 128 Gb | 256 Gb | 512 Gb | 1 Tb Garansi Resmi IBOX,Terjual 250+,Rp20.620.000,Jakarta Pusat
12,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,Terjual 250+,Rp18.999.000,Jakarta Pusat
13,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,Terjual 250+,Rp18.999.000,Jakarta Pusat
14,Apple iPhone 14 Garansi Resmi - 128GB 256GB 512GB,Terjual 250+,Rp18.999.000,Jakarta Pusat
15,RESMI iPhone 14 Pro 128 / 256 / 512 / 1TB Purple Black Gold Silver,Terjual 100+,Rp17.999.000,Jakarta Pusat
16,iPhone 13 2021 5G Dual Sim 1TB Midnight Starlight Pink Blue Green,Terjual 80+,Rp15.999.000,Jakarta Pusat
17,iPhone 11 128GB Garansi Resmi Ibox Indonesia,Terjual 100+,Rp5.799.000,Tangerang Selatan
18,Produk Terbaru,Jingers,IPHONE XS 256GB,Rp5.000.000
19,iPhone 13 128GB - Garansi Resmi iBox,OkeShop_Surabaya,Rp11.999.000,21%
20,Apple iPhone 11 128 GB - Garansi Resmi iBox Apple Indonesia,Terjual 2 rb+,Rp9.649.000,Jakarta Utara
21,Apple iPhone 11 Garansi Resmi - 64GB 128GB,Terjual 500+,Rp7.999.000,Jakarta Pusat
22,iPhone 11 64gb Garansi Resmi Ibox,Terjual 100+,Rp7.149.000,Jakarta Pusat
23,IPhone 12 Garansi Resmi Ibox,Terjual 1 rb+,Rp11.449.000,Jakarta Barat
24,IPhone 12 Garansi Resmi Ibox,Terjual 1 rb+,Rp11.449.000,Jakarta Barat
25,Iphone 11 64Gb Garansi Resmi TAM/IBOX,Terjual 250+,Rp7.099.000,Jakarta Pusat
26,Iphone 11 64 GB Mulus Like New Gojek/Grab,Terjual 100+,Rp5.300.000,Jakarta Barat
27,Apple iPhone 14 Pro - Garansi Resmi iBox Apple Indonesia,Terjual 500+,Rp19.699.000,Jakarta Utara
28,Apple iPhone 14 Plus - Garansi Resmi iBox Apple Indonesia,Terjual 100+,Rp17.999.000,Jakarta Utara
29,Apple iPhone 14 Plus - Garansi Resmi iBox Apple Indonesia,Terjual 100+,Rp17.999.000,Jakarta Utara
30,[ RESMI IBOX ] Apple iPhone 14 Pro & 14 Pro Max 128GB 256GB 512GB 1TB,Terjual 100+,Rp25.999.000,Jakarta Pusat
31,IBOX| iPhone XS MAX Dual Nano 512GB 512 256GB 256 64GB 64 Second,Terjual 100+,Rp4.095.000,Tangerang Selatan
32,iBox iPhone Xs Max | Xr | X 64GB 128GB 256GB 512GB Second Original,Terjual 100+,Rp3.799.000,Tangerang Selatan
33,APPLE IPHONE 12 PRO 256 / 512 GB SECOND/BEKAS FULLSET,Terjual 12,Rp12.900.000,Jakarta Barat
34,RESMI iPhone 14 Plus 5G 128 / 256 / 512 Midnight Starlight Purple Blue,Terjual 5,Rp13.499.000,Jakarta Pusat
35,Apple iPhone 14 - Garansi Resmi iBox Apple Indonesia,Terjual 250+,Rp15.999.000,Jakarta Utara
36,Iphone 14 128 Gb | 256 Gb | 512 Gb Garansi Resmi IBOX,Terjual 100+,Rp15.999.000,Jakarta Pusat
37,Iphone 13 128Gb/256Gb/512Gb Garansi Resmi IBOX/TAM,Terjual 250+,Rp15.999.000,Jakarta Pusat
38,Apple iPhone 11 IBOX Dual Sim 64GB 128GB 256GB Black White Red Purple,Terjual 750+,Rp8.999.000,Jakarta Pusat
39,Apple iPhone 12 128GB - Garansi Resmi iBox Apple Indonesia,Terjual 750+,Rp13.299.000,Jakarta Utara
40,iPhone 11 64 GB Garansi Resmi,Terjual 100+,Rp8.999.000,Jakarta Pusat
41,Apple iPhone 14 Pro Max 5G 1TB 512GB 256GB 128GB Black Purple ProMax,Terjual 250+,Rp20.639.000,Jakarta Pusat
42,Iphone 11 64GB - Garansi Resmi Ibox,Terjual 100+,Rp7.085.000,Jakarta Pusat
43,Apple iPhone 14 Pro 5G 1TB 512GB 256GB 128GB Black SIlver Gold Purple,Terjual 250+,Rp18.714.000,Jakarta Pusat
44,Apple iPhone 14 Pro Max - Garansi Resmi iBox Apple Indonesia,Terjual 250+,Rp21.649.000,Jakarta Utara
45,Apple iPhone 14 Pro Max - Garansi Resmi iBox Apple Indonesia,Terjual 250+,Rp21.649.000,Jakarta Utara
46,[ RESMI IBOX ] Apple iPhone 14 Pro & 14 Pro Max 128GB 256GB 512GB 1TB,Terjual 100+,Rp25.999.000,Jakarta Pusat
47,Iphone Xr 64 Gb 128 Gb 256 Gb Inter Second Like New,Terjual 100+,Rp4.150.000,Jakarta Barat
48,APPLE IPHONE 13 128GB GRS RESMI IBOX INDONESIA,Terjual 100+,Rp11.999.000,Jakarta Pusat
49,iphone 11 pro 64gb 256gb second fullset mulus no minus,Terjual 1 rb+,Rp6.246.000,Jakarta Utara
50,Apple iPhone 11 64GB 128GB 256GB Garansi Resmi iBox TAM,Terjual 60+,Rp7.999.000,Jakarta Pusat
51,Apple iPhone 11 64GB 128GB 256GB Garansi Resmi iBox TAM,Terjual 60+,Rp7.999.000,Jakarta Pusat
52,Apple iPhone 11 64GB 128GB 256GB Garansi Resmi iBox TAM,Terjual 60+,Rp7.999.000,Jakarta Pusat
53,Apple iPhone Xs 256GB Original (Garansi 1 Tahun),Terjual 250+,Rp4.938.000,Jakarta Pusat
54,Iphone 11 64gb Bekas Fullset,Terjual 2 rb+,Rp5.350.000,Jakarta Barat
55,Iphone 11 Pro 64gb 256gb second fullset mulus terawat,Terjual 250+,Rp6.248.000,Jakarta Utara
56,"(IBOX) Apple iPhone 14 Pro 1TB 512GB 256GB 128GB 6.1"" inch Resmi TAM",Terjual 250+,Rp19.990.000,Jakarta Pusat
57,Iphone 12 64Gb/128Gb/256Gb Garansi Resmi IBOX/TAM,Terjual 250+,Rp12.999.000,Jakarta Pusat
58,Iphone 11 Pro 256 Gb Original Zpa Gojek Grab,Terjual 100+,Rp7.220.000,Jakarta Barat
59,iphone 12 pro 128gb 256gb second fullset mulus terawat,Terjual 100+,Rp9.046.000,Jakarta Utara
60,IPhone 13 - Garansi Resmi Ibox,Terjual 100+,Rp11.850.000,Jakarta Pusat
61,Apple iphone 7 Plus 128GB Garansi Distributor PLATINUM,Terjual 1 rb+,Rp3.418.000,Jakarta Pusat
62,IPHONE 11 64 GB FULLSET SECOND/BEKAS ORIGINAL 100% MULUS,Terjual 750+,Rp4.100.000,Jakarta Utara
63,iPhone 11 64 / 64gb Garansi Resmi TAM / IBOX,Terjual 250+,Rp7.069.000,Jakarta Pusat
64,Apple iPhone 14 512GB 256GB 128GB Midnight Purple Starlight Red Blue,Terjual 100+,Rp13.789.000,Jakarta Pusat
65,IBOX Apple iPhone 14 Pro Max 5G 128GB Black Silver Gold Purple ProMax,Terjual 60+,Rp25.999.000,Jakarta Pusat
66,IBOX Apple iPhone 14 Pro Max 5G 128GB Black Silver Gold Purple ProMax,Terjual 60+,Rp25.999.000,Jakarta Pusat
67,iphone 11 64gb garansi resmi ibox new,Terjual 30+,Rp7.135.000,Jakarta Barat
68,Iphone 12 Pro 128gb / 256gb /512gb Bekas Fullset,Terjual 750+,Rp9.200.000,Jakarta Barat
69,Iphone 12 64gb 128gb second fullset mulus terawat,Terjual 90+,Rp7.148.000,Jakarta Utara
70,Iphone 12 64gb 128gb second fullset mulus terawat,Terjual 90+,Rp7.148.000,Jakarta Utara
71,Apple iPhone 11 128 GB Garansi Resmi,Terjual 250+,Rp9.499.000,Jakarta Pusat
72,iPhone 11 Internal 64 GB iBox - Garansi Resmi,Terjual 40+,Rp7.268.000,Jakarta Pusat
73,IBOX iPhone 14 Pro 128GB 256GB 256 512GB 1TB Deep Purple Black Gold 5G,Terjual 100+,Rp17.479.000,Jakarta Utara
74,(iBox) Apple iPhone 14 Pro 5G 1TB 512GB 256GB 128GB Deep Purple Black,Terjual 100+,Rp26.999.000,Jakarta Pusat
75,iBox iPhone 13 Pro ProMax Max 1TB Blue 512GB 256GB 128GB not 12 mini,Terjual 1 rb+,Rp16.574.000,Jakarta Pusat
76,Apple iPhone 13 Pro Max Garansi Resmi - 128GB 256GB 512GB 1TB ProMax,Terjual 24,Rp20.199.000,Jakarta Pusat
77,IPHONE 11 PRO SECOND ORIGINAL FULLSET 64GB /256GB,Terjual 750+,Rp7.050.000,Jakarta Timur
78,IBOX iPhone 14 128GB 256GB 256 512GB Midnight Starlight Purple Blue 5G,Terjual 18,Rp13.790.000,Jakarta Utara
79,"New iPhone 13 Pro Max 256 / 512 / 1TB Graphite,Gold,Silver,Sierra Blue",Terjual 750+,Rp17.499.000,Jakarta Pusat
